time,T_in
0,775.469175
1,775.4634070000001
2,775.468175
3,775.462337
4,775.466642
5,775.461063
6,775.442536
7,775.4362940000001
8,775.424749
9,775.398003
10,775.417757
11,775.390561
12,775.379158
13,775.366742
14,775.3584519999999
15,775.380774
16,775.352104
17,775.348619
18,775.339034
19,775.339154
20,775.3150870000001
21,775.298666
22,775.304788
23,775.2870690000001
24,775.281209
25,775.2812190000001
26,775.2688410000001
27,775.268055
28,775.2580690000001
29,775.2544780000001
30,775.263715
31,775.236009
32,775.236209
33,775.239468
34,775.219183
35,775.216743
36,775.211583
37,775.1964820000001
38,775.20376
39,775.195948
40,775.2038200000001
41,775.189099
42,775.192
43,775.185933
44,775.174767
45,775.149988
46,775.162022
47,775.141035
48,775.140984
49,775.127929
50,775.126715
51,775.120269
52,775.114419
53,775.088746
54,775.107666
55,775.084144
56,775.076929
57,775.059661
58,775.080599
59,775.086211
60,775.06533
61,775.063119
62,775.049492
63,775.0516309999999
64,775.0446860000001
65,775.0248889999999
66,775.02138
67,775.034935
68,775.016172
69,775.006491
70,775.0185730000001
71,775.024517
72,775.00379
73,774.992401
74,775.003778
75,774.99813
76,774.997654
77,774.982006
78,774.9789969999999
79,774.9692610000001
80,774.951258
81,774.963111
82,774.960662
83,774.958497
84,774.931056
85,774.9375110000001
86,774.935408
87,774.912731
88,774.901911
89,774.911053
90,774.9125650000001
91,774.900793
92,774.874506
93,774.871127
94,774.878914
95,774.871351
96,774.8636
97,774.874038
98,774.861375
99,774.840046
100,774.810024
101,774.8241820000001
102,774.8332330000001
103,774.8146839999999
104,774.808595
105,774.799037
106,774.812721
107,774.8036490000001
108,774.7838889999999
109,774.783319
110,774.784007
111,774.790378
112,774.765721
113,774.764697
114,774.764827
115,774.7483599999999
116,774.757016
117,774.749883
118,774.743604
119,774.7343900000001
120,774.731653
121,774.737421
122,774.725186
123,774.724496
124,774.719964
125,774.719382
126,774.712939
127,774.694915
128,774.685141
129,774.688196
130,774.687602
131,774.6710059999999
132,774.6782440000001
133,774.662136
134,774.6626
135,774.6441
136,774.628537
137,774.6251990000001
138,774.628465
139,774.621974
140,774.6076730000001
141,774.593429
142,774.607209
143,774.579816
144,774.585571
145,774.5721589999999
146,774.579482
147,774.5830980000001
148,774.572433
149,774.560627
150,774.568535
151,774.5773690000001
152,774.563659
153,774.547681
154,774.5454940000001
155,774.526351
156,774.5214990000001
157,774.496308
158,774.4883769999999
159,774.503868
160,774.49042
161,774.500883
162,774.4876519999999
163,774.498874
164,774.494001
165,774.4823
166,774.4697219999999
167,774.45775
168,774.464467
169,774.4577019999999
170,774.433223
171,774.444053
172,774.452851
173,774.430598
174,774.4188519999999
175,774.423629
176,774.407416
177,774.417651
178,774.413467
179,774.416663
180,774.4024559999999
181,774.382545
182,774.372798
183,774.372488
184,774.354869
185,774.349544
