time,T_in
0,771.08157
1,771.091691
2,771.098369
3,771.088016
4,771.084061
5,771.077434
6,771.064414
7,771.046895
8,771.041953
9,771.018386
10,770.99867
11,770.991495
12,770.979628
13,770.964593
14,770.961541
15,770.953123
16,770.944582
17,770.928607
18,770.928372
19,770.911197
20,770.894163
21,770.90275
22,770.892812
23,770.868637
24,770.829996
25,770.828539
26,770.824025
27,770.812944
28,770.786943
29,770.77743
30,770.759293
31,770.754354
32,770.766933
33,770.750354
34,770.735446
35,770.733881
36,770.707865
37,770.680215
38,770.661461
39,770.651163
40,770.626731
41,770.602705
42,770.581824
43,770.555456
44,770.559555
45,770.536547
46,770.520029
47,770.503054
48,770.47481
49,770.452623
50,770.441675
51,770.410817
52,770.380636
53,770.364615
54,770.349199
55,770.307771
56,770.310813
57,770.277415
58,770.253148
59,770.246419
60,770.235042
61,770.202996
62,770.17497
63,770.130727
64,770.120099
65,770.111241
66,770.058841
67,770.049877
68,770.018191
69,769.985614
70,769.974511
71,769.935924
72,769.917446
73,769.888066
74,769.872426
75,769.835493
76,769.799151
77,769.771838
78,769.739775
79,769.711629
80,769.678735
81,769.661574
82,769.639231
83,769.610097
84,769.581268
85,769.541805
86,769.527689
87,769.477859
88,769.45399
89,769.418863
90,769.390343
91,769.348532
92,769.318761
93,769.29955
94,769.236519
95,769.203972
96,769.180047
97,769.138452
98,769.092949
99,769.060806
100,769.033591
101,768.9929
102,768.966518
103,768.929509
104,768.896985
105,768.868989
106,768.826957
107,768.785212
108,768.744721
109,768.696077
110,768.666325
111,768.629469
112,768.587012
113,768.552325
114,768.508062
115,768.484138
116,768.432112
117,768.387937
118,768.348984
119,768.319424
120,768.27141
121,768.239501
122,768.19904
123,768.155282
124,768.103925
125,768.04852
126,768.022024
127,767.964494
128,767.923436
129,767.884388
130,767.844314
131,767.800686
132,767.759937
133,767.727993
134,767.693286
135,767.646502
136,767.594567
137,767.558366
138,767.513187
139,767.452981
140,767.414598
141,767.380721
142,767.332957
143,767.281516
144,767.233335
145,767.199594
146,767.13726
147,767.095028
148,767.049748
149,766.990378
150,766.943665
151,766.891065
152,766.844836
153,766.779489
154,766.720159
155,766.693563
156,766.643377
157,766.583228
158,766.518741
159,766.483057
160,766.415451
161,766.371315
162,766.311446
163,766.27258
164,766.23118
165,766.186501
166,766.131712
167,766.064881
168,766.001821
169,765.964969
170,765.911632
171,765.862852
172,765.813121
173,765.768461
174,765.708564
175,765.636614
176,765.584312
177,765.543556
178,765.482237
179,765.428182
180,765.367376
181,765.329955
182,765.274798
183,765.206985
184,765.160194
185,765.116331
186,765.072342
187,764.993628
188,764.947004
189,764.883855
190,764.827471
191,764.767043
192,764.703824
193,764.64481
194,764.584582
195,764.527974
196,764.481478
197,764.413624
198,764.342798
199,764.2979
200,764.240637
201,764.184246
202,764.129521
203,764.078991
204,764.00631
205,763.955863
206,763.883587
207,763.822042
208,763.768625
209,763.698077
210,763.651244
211,763.599761
212,763.523384
213,763.46571
214,763.412643
215,763.35726
216,763.293421
217,763.233677
218,763.193333
219,763.126011
220,763.046739
221,762.992581
222,762.949691
223,762.886371
224,762.806365
225,762.748466
226,762.690803
227,762.618451
228,762.5657
229,762.493215
230,762.455383
231,762.381301
232,762.336165
233,762.284069
234,762.207263
235,762.143891
236,762.080973
237,762.02391
238,761.945781
239,761.899168
240,761.829697
241,761.759906
242,761.687212
243,761.625913
244,761.558636
245,761.488755
246,761.433432
247,761.376962
248,761.318569
249,761.254893
250,761.185183
251,761.135221
252,761.059146
253,761.008417
254,760.934882
255,760.859772
256,760.77449
257,760.706994
258,760.631494
259,760.553381
260,760.515087
261,760.446526
262,760.356007
263,760.283927
264,760.214682
265,760.166045
266,760.103744
267,760.027071
268,759.9778
269,759.903865
270,759.82166
271,759.766631
272,759.705688
273,759.63548
274,759.560226
275,759.50347
276,759.428441
277,759.3573
278,759.272809
279,759.227491
280,759.162407
281,759.096247
282,759.036025
283,758.975209
284,758.891434
285,758.8154
286,758.766896
287,758.699868
288,758.637373
289,758.569042
290,758.506492
291,758.42172
292,758.349718
293,758.278868
294,758.219296
295,758.136461
296,758.076366
297,758.025907
298,757.948793
299,757.875569
300,757.809169
301,757.731858
302,757.650049
303,757.581553
304,757.525026
305,757.430095
306,757.373415
307,757.312987
308,757.247991
309,757.173654
310,757.093191
311,757.029677
312,756.938041
313,756.872541
314,756.804377
315,756.726471
316,756.648694
317,756.596707
318,756.507782
319,756.429377
320,756.372448
321,756.307003
322,756.224345
323,756.138086
324,756.089625
325,756.00749
326,755.922281
327,755.853031
328,755.787819
329,755.703701
330,755.621218
331,755.555005
332,755.48145
333,755.39779
334,755.330159
335,755.248298
336,755.176941
337,755.116251
338,755.04699
339,754.969101
340,754.899832
341,754.83595
342,754.753352
343,754.696977
344,754.63995
345,754.560009
346,754.481631
347,754.410348
348,754.331925
349,754.256664
350,754.201537
351,754.122278
352,754.038133
353,753.958214
354,753.902986
355,753.807995
356,753.740884
357,753.67349
358,753.597802
359,753.514899
360,753.436563
361,753.359685
362,753.290168
363,753.221507
364,753.137235
365,753.053842
366,752.978167
367,752.924938
368,752.856351
369,752.798456
370,752.716704
371,752.634974
372,752.548858
373,752.474147
374,752.408537
375,752.334467
376,752.257796
377,752.175023
378,752.103381
379,752.03296
380,751.937415
381,751.871573
382,751.802315
383,751.707947
384,751.660172
385,751.582155
386,751.499226
387,751.426522
388,751.352219
389,751.267164
390,751.195632
391,751.137549
392,751.044863
393,750.97048
394,750.884587
395,750.82749
396,750.736401
397,750.670897
398,750.598051
399,750.513947
400,750.438844
401,750.395483
402,750.295664
403,750.225319
404,750.161539
405,750.071644
406,749.985896
407,749.92796
408,749.857725
409,749.77341
410,749.700471
411,749.625687
412,749.548023
413,749.470701
414,749.385884
415,749.306319
416,749.234345
417,749.149509
418,749.07061
419,748.988685
420,748.912178
421,748.831945
422,748.744271
423,748.67448
424,748.607894
425,748.515232
426,748.439321
427,748.369561
428,748.28819
429,748.213633
430,748.124216
431,748.049141
432,747.963099
433,747.92068
434,747.824203
435,747.751991
436,747.683928
437,747.598506
438,747.530164
439,747.453571
440,747.361454
441,747.289995
442,747.213454
443,747.148518
444,747.054446
445,746.990458
446,746.914302
447,746.826707
448,746.758505
449,746.682957
450,746.601153
451,746.519391
452,746.449125
453,746.3724
454,746.294019
455,746.218216
456,746.124017
457,746.05188
458,745.985664
459,745.898843
460,745.814871
