% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_parallel_vary_flowrate_charge.mph
% Version,COMSOL 6.0.0.405
% Date,"Mar 2 2023, 10:41"
% Table,Accumulated Probe Table 2 - 
% charge_hrs (h),base_flowrate_factor,max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T","massflowrate (kg/s), mass_flowrate","P_out (W), P_out"
4,1,1,0,2673.0000000000014,2172.999999999992,2173.1920879976597,2672.999999999996,2172.9999999999613,2673.0000000000027,2172.999999999998,2173.0000004879917,2173.000000001063,2173.0000000000123,15.583333333333373,-1901166.6666665992
4,1,1,7.2,2673.0000000000014,2173.00000001113,2175.283347453621,2672.999999999996,2173.0000000034333,2673.0000000000027,2172.9999999988618,2173.0021109773934,2173.000051885701,2173.0000002228157,15.58333333330207,-1901166.6666670912
4,1,1,14.4,2673.0000000000014,2173.000000336883,2176.415089933004,2672.999999999996,2173.0000001384838,2673.0000000000023,2173.0000000144455,2173.0471875382923,2173.000131783554,2173.0000020749044,15.583333333328866,-1901166.6666111152
4,1,1,21.6,2673.0000000000014,2173.000001658717,2177.440319698481,2672.9999999999955,2173.000000847046,2673.000000000002,2173.0000003229306,2173.2104024575137,2173.0027394670233,2173.0000067753244,15.583333333334723,-1901166.6654388523
4,1,1,28.8,2673.0000000000014,2173.000004075341,2178.44917926071,2672.9999999999955,2173.0000023174084,2673.000000000002,2173.0000011524485,2173.4913534340944,2173.0115943200412,2173.0000144171936,15.583333333333865,-1901166.662284676
4,1,1,36,2673.0000000000014,2173.000008807729,2179.449406721559,2672.9999999999955,2173.000005677034,2673.000000000002,2173.0000035236226,2173.9415417837286,2173.0538174124013,2173.000027883547,15.583333333333494,-1901166.6532686187
4,1,1,43.2,2673.0000000000014,2173.0000140671173,2180.448004906523,2672.9999999999955,2173.0000094713596,2673.000000000002,2173.0000062532367,2174.429161574536,2173.104005230168,2173.000042668103,15.583333333333373,-1901166.6428897043
4,1,1,50.4,2673.0000000000014,2173.0000208734964,2181.4438996508043,2672.9999999999955,2173.0000146005996,2673.000000000002,2173.0000100832317,2174.9890818597405,2173.1811892002584,2173.0000613538723,15.583333333333352,-1901166.6283267809
4,1,1,57.6,2673.0000000000014,2173.0000294783767,2182.4376863723614,2672.9999999999955,2173.0000213086696,2673.0000000000014,2173.000015298548,2175.6026894313627,2173.295769909258,2173.0000842506342,15.583333333333508,-1901166.6084964112
4,1,1,64.8,2673.0000000000014,2173.0000399084647,2183.4279894199126,2672.9999999999955,2173.000029694971,2673.000000000002,2173.0000220470556,2176.2269702113445,2173.4538587729203,2173.0001113219064,15.58333333333338,-1901166.582836317
