% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_parallel_vary_flowrate_charge_constP.mph
% Version,COMSOL 6.0.0.405
% Date,"Feb 2 2024, 10:00"
% Table,Accumulated Probe Table 2 - 
% discharge_hrs (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T","massflowrate (kg/s), mass_flowrate",Global Variable Probe 1
4,1,0,2673.0000000000014,2172.999999999992,2173.1920879972117,2672.999999999996,2172.999999999961,2673.0000000000027,2172.999999999998,2173.0000004879917,2173.000000001063,2173.0000000000123,15.583333333333359,-1901166.6666665925
4,1,144,2673.0000000000014,2173.0243390790874,2194.1082727866483,2672.9999999999955,2173.0217596911084,2673.0000000000027,2173.019211608505,2183.020948405674,2177.0427542039592,2173.001542009639,15.583333333333693,-1901093.6177272275
4,1,288,2673.0000000000014,2173.766764616993,2212.7547853468104,2672.999999999996,2173.7225004715297,2673.0000000000027,2173.6784525169555,2195.228486801373,2184.504840421711,2173.0468017816906,15.58333333333355,-1898586.9640462864
4,1,432,2673.0000000000014,2175.1545676282326,2230.5573706376827,2672.999999999996,2175.084712969484,2673.0000000000027,2175.0148672779087,2207.253657244625,2192.1027071904145,2173.184112184854,15.583333333333401,-1893505.469653554
4,1,576,2673.0000000000014,2176.4470582386816,2247.565590341051,2672.999999999996,2176.379545994249,2673.0000000000027,2176.3121087873074,2219.0738745906992,2199.7849375741657,2173.4060717169305,15.583333333333366,-1888572.9250210018
4,1,720,2673.0000000000014,2177.5499110573983,2263.880423303141,2672.999999999996,2177.4937066918255,2673.0000000000027,2177.437546777776,2230.699616734323,2207.5240146038427,2173.690801826078,15.583333333333362,-1884293.6346352238
4,1,864,2673.0000000000014,2178.5642194081447,2279.5572007000933,2672.999999999996,2178.515675744079,2673.0000000000027,2178.4669573482674,2242.130372869651,2215.300318778017,2174.0262293617443,15.583333333333366,-1880379.4725093595
4,1,1008,2673.0000000000014,2179.585697838716,2294.6010993631508,2672.999999999996,2179.5376843770123,2673.0000000000027,2179.4892041239586,2253.3569168286995,2223.1064905074927,2174.412421759872,15.583333333333362,-1876492.5495192618
4,1,1152,2673.0000000000014,2180.6689087122963,2309.0180853071383,2672.999999999996,2180.615395300636,2673.0000000000027,2180.5614438726298,2264.37005238325,2230.934961923858,2174.851942517194,15.583333333333357,-1872415.536581545
4,1,1296,2673.0000000000014,2181.8114173469526,2322.934730770237,2672.999999999996,2181.7508990081437,2673.0000000000027,2181.690263794458,2275.2068719066856,2238.778275176147,2175.3367521853324,15.583333333333368,-1868123.3869654597
4,1,1440,2673.0000000000014,2183.0228521578547,2336.267882764818,2672.999999999996,2182.957252714287,2673.0000000000027,2182.8919253216986,2285.832970070336,2246.634836041949,2175.8777610266025,15.583333333333359,-1863554.2692850472
4,1,1584,2673.0000000000014,2184.3047526012583,2349.0549046259903,2672.999999999996,2184.2361141574224,2673.0000000000027,2184.1681004063075,2296.2528501218444,2254.492570686607,2176.4746805831696,15.583333333333348,-1858701.8262216786
4,1,1728,2673.0000000000014,2185.66204507509,2361.3027883949867,2672.999999999996,2185.5904152677,2673.0000000000027,2185.5196608755487,2306.454197885141,2262.337942604378,2177.12892774384,15.583333333333353,-1853562.742797457
4,1,1872,2673.0000000000014,2187.094307517496,2373.032580313316,2672.999999999996,2187.0185649181617,2673.0000000000027,2186.943787578475,2316.431681531405,2270.1568535814376,2177.84085428971,15.583333333333359,-1848147.7383640325
4,1,2016,2673.0000000000014,2188.598718684589,2384.2682092665277,2672.999999999996,2188.518201099282,2673.0000000000027,2188.4387784454457,2326.1833981219984,2277.936748268272,2178.611348510971,15.583333333333352,-1842463.284757519
4,1,2160,2673.0000000000014,2190.170509601346,2395.051286540541,2672.999999999996,2190.086008213042,2673.0000000000027,2190.002829656475,2335.710391123894,2285.667405605031,2179.4398054760927,15.583333333333357,-1836516.2407027804
