% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_discharge.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 3 2022, 18:08"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1
72,10,0,2173.27466394094,2673.000000279803,2672.9846665082055,2671.046307454505,2673.0000000000014,0.06454392781171249,32.254236034339236
72,10,180,2173,2673.0000010839804,2671.6831737669104,2656.205482093902,2673.000000003676,0.06441310803003429,32.20655408483969
72,10,360,2173,2673.0000012733612,2670.338489927478,2652.3835222661887,2673.000000030785,0.06441310800544732,32.20655408474478
72,10,540,2173,2673.00000139098,2668.988935943573,2649.994232468688,2673.0000000765212,0.06441310799260724,32.206554085900954
72,10,720,2173,2673.0000014861444,2667.6381943709957,2648.057452358025,2673.000000131299,0.06441310797886013,32.20655408515724
72,10,900,2173,2673.000001568582,2666.2870173966717,2646.3712367653634,2673.000000191215,0.06441310796722716,32.20655408465083
72,10,1080,2173,2673.000001641359,2664.9357276163914,2644.8602642456735,2673.000000254718,0.06441310795813895,32.206554084794526
72,10,1260,2173,2673.0000017070756,2663.584613568318,2643.4451148627527,2673.000000320101,0.06441310795032536,32.206554085120665
72,10,1440,2173,2673.0000017658786,2662.233845430705,2642.0751214826532,2673.000000386163,0.06441310794297268,32.20655408523203
72,10,1620,2173,2673.0000018139945,2660.8835596622507,2640.7254335370903,2673.0000004520425,0.0644131079369653,32.206554085327646
72,10,1800,2173,2673.0000018464452,2659.533748629083,2639.3826080531962,2673.00000051703,0.06441310793207494,32.206554084972716
72,10,1980,2173,2673.0000018551577,2658.1843683953452,2638.040404892529,2673.0000005802876,0.06441310792897188,32.20655408398242
72,10,2160,2173,2673.0000018220653,2656.8354692625385,2636.697917994849,2673.0000006401747,0.06441310793327479,32.20655408400218
72,10,2340,2173,2673.0000017323223,2655.486973876052,2635.3549902625173,2673.000000694995,0.0644131079429143,32.20655408304138
