% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_discharge_halfDC.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 3 2022, 18:26"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1
72,10,0,2173.253331086592,2673.0000003838554,2672.9711973153658,2670.0179754667975,2672.9999999999977,0.06453722700387109,32.252264240865955
72,10,180,2173.000000000021,2673.0000010936024,2671.666257953084,2656.012462349291,2673.000000003025,0.06441310803000982,32.20655408544583
72,10,360,2173.0000000000005,2673.000001281554,2670.321363877306,2652.2172583047222,2673.0000000283485,0.06441310800540037,32.20655408524903
72,10,540,2173,2673.000001397126,2668.9716114717166,2649.8795004643885,2673.000000075268,0.06441310799129896,32.20655408564275
72,10,720,2173,2673.0000014890597,2667.620679205976,2648.0129249523548,2673.0000001315893,0.06441310797890187,32.20655408536587
72,10,900,2173,2673.0000015694422,2666.2693743218915,2646.3723753315667,2673.0000001925355,0.06441310796824615,32.20655408521578
72,10,1080,2173,2673.0000016416175,2664.9180857790197,2644.878445140644,2673.000000256459,0.0644131079593878,32.206554085435556
72,10,1260,2173,2673.0000017074844,2663.5670356370856,2643.4646377715076,2673.0000003219106,0.06441310795115839,32.20655408556357
72,10,1440,2173,2673.0000017669636,2662.2163607120183,2642.0822828231253,2673.000000387755,0.06441310794299841,32.20655408531479
72,10,1620,2173,2673.0000018152323,2660.8661632894314,2640.7221554187936,2673.000000453471,0.06441310793677896,32.2065540853142
72,10,1800,2173,2673.0000018475002,2659.5163917014597,2639.371860313499,2673.0000005183774,0.06441310793183469,32.20655408492055
72,10,1980,2173,2673.0000018555243,2658.1670056545854,2638.0248963154445,2673.000000581586,0.06441310792882311,32.20655408393161
72,10,2160,2173,2673.000001820863,2656.818081289673,2636.6807834347705,2673.0000006413875,0.06441310793357062,32.20655408407272
72,10,2340,2173,2673.0000017295492,2655.469569517146,2635.338212257906,2673.0000006961254,0.06441310794302495,32.206554082918075
72,10,2520,2173,2673.000001550015,2654.121470133833,2633.995828833302,2673.000000742105,0.06441310796555234,32.20655408261742
72,10,2700,2173,2673.000001245135,2652.773758039451,2632.653044849072,2673.000000774402,0.06441310800541042,32.2065540829082
72,10,2880,2173,2673.0000007932854,2651.4263383554935,2631.310068037305,2673.0000007891213,0.06441310805431325,32.20655407825457
72,10,3060,2173,2673.000000119252,2650.0792532902474,2629.967777361008,2673.000000775198,0.0644131081455628,32.20655408046276
72,10,3240,2173,2672.999999183052,2648.7324766011457,2628.6259474034414,2673.0000007251388,0.06441310825755069,32.20655407615315
72,10,3420,2173,2672.999997884859,2647.386001039687,2627.2838335874007,2673.0000006215705,0.06441310841924268,32.206554073378534
72,10,3600,2173,2672.9999961624467,2646.0397887038544,2625.941393984112,2673.0000004517215,0.06441310862411923,32.20655406487084
72,10,3780,2173,2672.999993933066,2644.69380285986,2624.598873232442,2673.000000198005,0.06441310887599064,32.20655404720518
72,10,3960,2173,2672.99999096865,2643.348081555766,2623.2566827908286,2672.9999998170038,0.06441310927296375,32.20655405474453
72,10,4140,2173,2672.999987197001,2642.0025948217344,2621.914889699075,2672.9999992894045,0.06441310974556952,32.206554048103776
72,10,4320,2173,2672.9999824927804,2640.6573213333722,2620.5732357279608,2672.9999985843497,0.0644131102890104,32.20655401681067
72,10,4500,2173,2672.999976413335,2639.3122886030246,2619.2311021314513,2672.999997607713,0.06441311115798745,32.206554059703286
72,10,4680,2173,2672.999968743087,2637.9674666320593,2617.8889742522756,2672.9999963032255,0.06441311219537822,32.206554084334016
72,10,4860,2173,2672.9999594907554,2636.622807795899,2616.547123677335,2672.999994658833,0.06441311325175687,32.206554016551834
72,10,5040,2173,2672.99994834739,2635.2783120371055,2615.2053205502098,2672.999992595786,0.06441311452727985,32.2065539365344
72,10,5220,2173,2672.9999348618726,2633.9339855897997,2613.8635197677872,2672.9999900001085,0.06441311616955166,32.20655388902606
72,10,5400,2173,2672.999918616483,2632.5898209587585,2612.521689478616,2672.9999867583674,0.06441311820257105,32.20655385911941
72,10,5580,2173,2672.999899153861,2631.2458086047973,2611.1798537478826,2672.9999827417732,0.06441312064602615,32.20655382719852
72,10,5760,2173,2672.999875960193,2629.901940773519,2609.838078114347,2672.9999778016986,0.06441312355421326,32.20655378731522
