% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_discharge_reverse_2.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 3 2022, 17:12"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1
72,10,0,2203.5734863109833,2673.000000345587,2672.973800108118,2670.2186263571894,2672.9999999999986,0.06428158834259524,30.17548193227188
72,10,180,2180.9401145158613,2673.0000010953977,2671.6900915893025,2656.182864994329,2673.0000000021328,0.06441310803074186,31.69510663184227
72,10,360,2179.8199477564845,2673.0000012809423,2670.3599884980163,2652.45763109785,2673.000000027813,0.06441310800710288,31.76726005461968
72,10,540,2179.2570852279337,2673.000001398586,2669.023819424206,2650.0817044369333,2673.0000000741356,0.06441310799094783,31.8035157790657
72,10,720,2178.8333769637034,2673.0000014888315,2667.6851849284235,2648.254239396235,2673.0000001311205,0.06441310798002169,31.83080814565988
72,10,900,2178.548549080351,2673.0000015682276,2666.345606742473,2646.6350657662297,2673.000000192436,0.06441310796937127,31.849154794714032
72,10,1080,2178.208281493117,2673.0000016402414,2665.005422665258,2645.1496687802055,2673.0000002564707,0.06441310796011117,31.871072487605876
72,10,1260,2177.9332560021267,2673.000001705602,2663.664911247272,2643.738918906752,2673.000000321917,0.06441310795194925,31.888787734418123
72,10,1440,2177.716581429465,2673.0000017645348,2662.3242829081496,2642.35430271636,2673.0000003876453,0.06441310794370478,31.90274441677019
72,10,1620,2177.4297324251283,2673.000001811987,2660.983559018997,2640.9908545795756,2673.000000453146,0.064413107937852,31.921221252806117
72,10,1800,2177.2071886960784,2673.0000018392743,2659.6427841248164,2639.6389142202406,2673.0000005175957,0.06441310793506817,31.935555986423704
72,10,1980,2177.03107632141,2673.000001840713,2658.3019869681607,2638.2908789610387,2673.000000580218,0.06441310793237427,31.946899930578617
72,10,2160,2176.8009985550834,2673.0000017963935,2656.9611717799526,2636.946855490503,2673.0000006390705,0.0644131079388682,31.961719954941344
72,10,2340,2176.6124465462462,2673.0000016790395,2655.62035373995,2635.6043378661525,2673.0000006911373,0.06441310795817615,31.973865177863757
72,10,2520,2176.460917170905,2673.0000014811903,2654.279533213841,2634.2620734626184,2673.0000007348467,0.06441310797625258,31.98362565210797
72,10,2700,2176.264228496965,2673.0000011517895,2652.9387066054524,2632.9210320732172,2673.0000007636577,0.06441310802068632,31.996294981754293
72,10,2880,2176.1041863291143,2673.000000636404,2651.5978821176745,2631.5798977964623,2673.000000769562,0.0644131080942934,32.006603798577395
72,10,3060,2175.974611182901,2672.9999999249276,2650.257056905846,2630.238536182836,2673.0000007492968,0.0644131081679167,32.01495012724105
72,10,3240,2175.8147102506687,2672.9999989099606,2648.9162278348867,2628.8977997849233,2673.000000685881,0.06441310830334328,32.02524984523996
72,10,3420,2175.649061207555,2672.9999975585783,2647.5754000215165,2627.557304753795,2673.0000005716824,0.0644131084586343,32.03591980518183
72,10,3600,2175.539679650962,2672.9999957236746,2646.234574510633,2626.2161451457496,2673.0000003802393,0.0644131087041701,32.042965415202445
72,10,3780,2175.423234752394,2672.999993269398,2644.8937465939107,2624.875174464916,2673.0000000842515,0.06441310903546302,32.050465999868095
72,10,3960,2175.2972646854696,2672.9999901818946,2643.5529187762595,2623.5344302099547,2672.999999675554,0.06441310938183083,32.05858009703655
72,10,4140,2175.1832490482357,2672.999986306625,2642.2120934400423,2622.1936183666826,2672.9999991207574,0.06441310981288023,32.065924163714385
72,10,4320,2175.0900298356723,2672.99998129017,2640.871269394545,2620.8526098157336,2672.9999983463345,0.06441311049409122,32.071928719146165
