% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_discharge_reverse_2_halfduty.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 3 2022, 17:53"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1
72,10,0,2203.569877108799,2673.0000003456526,2672.9737971272534,2670.2183107397127,2672.9999999999986,0.06428889917716167,30.17914586349662
72,10,180,2180.927478674624,2673.000001088728,2671.6894783042403,2656.318406595391,2673.0000000033388,0.0644131080304285,31.695920545065125
72,10,360,2179.8095202744607,2673.000001275712,2670.3595424064924,2652.5561700008157,2673.000000029651,0.06441310800541467,31.767931719976005
72,10,540,2179.2006971476267,2673.00000139796,2669.0237862356166,2650.0881676153986,2673.000000074766,0.06441310798912135,31.807147909629723
72,10,720,2178.855432626554,2673.0000014861794,2667.6849799803367,2648.2977010282407,2673.00000013198,0.06441310798159007,31.829387472471318
72,10,900,2178.461874122373,2673.000001566419,2666.3454677901227,2646.663603794503,2673.0000001929534,0.06441310796904129,31.85473779786083
72,10,1080,2178.159559644154,2673.0000016390877,2665.0054082322044,2645.1521085916406,2673.000000256399,0.06441310795941131,31.874210812902454
72,10,1260,2177.9298662721985,2673.00000170383,2663.6649188985607,2643.7357587479473,2673.0000003216687,0.06441310795196337,31.889006077350796
72,10,1440,2177.6544135613267,2673.000001761516,2662.3242756271343,2642.353660726413,2673.000000387317,0.0644131079441469,31.906748842395736
72,10,1620,2177.400784062772,2673.000001808938,2660.983563094673,2640.987745061119,2673.000000452717,0.06441310793695319,31.923085906153375
72,10,1800,2177.178746049181,2673.0000018395813,2659.6427986769872,2639.633988631372,2673.000000517279,0.06441310793180946,31.937388064112398
72,10,1980,2176.984660496634,2673.000001844354,2658.3020027142693,2638.2871421968434,2673.000000580079,0.06441310792976186,31.949889717048336
72,10,2160,2176.8039952804625,2673.0000018104047,2656.9611871096063,2636.943743815034,2673.000000639761,0.06441310793214598,31.96152692411298
72,10,2340,2176.6154568511165,2673.0000017148586,2655.6203586890133,2635.6021542776743,2673.0000006938485,0.0644131079443449,31.97367127021279
72,10,2520,2176.4142629944695,2673.0000015336364,2654.279526158321,2634.261484325851,2673.0000007393787,0.06441310796698506,31.98663079138834
72,10,2700,2176.2292133544497,2673.0000012362784,2652.9386984852977,2632.920796357865,2673.0000007720514,0.06441310800211003,31.998550412125496
72,10,2880,2176.075118597091,2673.000000779031,2651.597876082945,2631.5798368432543,2673.000000785712,0.06441310805814679,32.008476132767136
72,10,3060,2175.9414535153087,2673.000000133226,2650.257054011594,2630.2386912123484,2673.000000774942,0.06441310812684911,32.01708590867437
72,10,3240,2175.8058686991967,2672.999999206407,2648.916228487685,2628.89769049081,2673.0000007253966,0.0644131082483051,32.02581934878285
72,10,3420,2175.654733128081,2672.99999792477,2647.5754002179897,2627.557034138924,2673.0000006238265,0.06441310841934011,32.03555446319452
72,10,3600,2175.5175816361652,2672.999996214165,2646.2345740988508,2626.2162869024846,2673.00000045475,0.0644131086243252,32.044388808904344
72,10,3780,2175.4029957402336,2672.9999939474606,2644.8937507637556,2624.8753213023406,2673.0000001940807,0.06441310890672403,32.051769637181046
72,10,3960,2175.302125478021,2672.9999910717947,2643.5529271818796,2623.5342350810693,2672.999999827194,0.06441310923238985,32.05826698121903
72,10,4140,2175.1971763520764,2672.9999873183056,2642.2121007208066,2622.1932962695523,2672.999999300666,0.06441310973585197,32.06502708958329
72,10,4320,2175.0787406381023,2672.999982512473,2640.8712724516895,2620.852647068574,2672.999998574738,0.06441311039246622,32.07265591960773
72,10,4500,2174.981135578097,2672.999976481716,2639.5304462145864,2619.511779507556,2672.999997604377,0.06441311116842256,32.078942963093766
72,10,4680,2174.9022351358158,2672.9999688050048,2638.18962039765,2618.1707237386404,2672.9999962946654,0.06441311222258433,32.0840252166484
72,10,4860,2174.809472831525,2672.99995952809,2636.848792644464,2616.8299327474165,2672.9999946398925,0.06441311328199115,32.09000025559611
72,10,5040,2174.7200934592333,2672.9999484145515,2635.507965312359,2615.4891564336644,2672.999992577166,0.0644131145326182,32.095757366533284
72,10,5220,2174.6376500326173,2672.999934979035,2634.167139147272,2614.1483457481804,2672.999989985336,0.06441311615564425,32.10106774784589
72,10,5400,2174.5645210441935,2672.999918800145,2632.82631400884,2612.807456946112,2672.999986750351,0.06441311817871247,32.10577818010764
72,10,5580,2174.499123337344,2672.9998994222524,2631.4854887251663,2611.466503644949,2672.999982743971,0.06441312061348223,32.10999061587174
72,10,5760,2174.436649831133,2672.9998763346093,2630.144661940524,2610.12555476895,2672.999977818422,0.06441312350957426,32.114014686100276
72,10,5940,2174.3707479832465,2672.999848605891,2628.8038333782765,2608.784712766132,2672.9999717112087,0.06441312717206316,32.11825967009792
72,10,6120,2174.300866257835,2672.9998156166002,2627.4630046618167,2607.4439908988834,2672.999964230892,0.06441313153380976,32.122761020818885
72,10,6300,2174.2373212772445,2672.99977694338,2626.1221777583905,2606.103227910677,2672.9999552215486,0.06441313641237248,32.12685409419263
72,10,6480,2174.1846296952435,2672.9997314481984,2624.7813524755284,2604.7623525204717,2672.999944341326,0.06441314224202722,32.13024810168434
72,10,6660,2174.137789972314,2672.999679157209,2623.440526961843,2603.421424629438,2672.9999315486007,0.06441314851752043,32.133264957797465
72,10,6840,2174.0906206168443,2672.9996178959805,2622.099699609614,2602.0805365412916,2672.9999161841024,0.06441315641219555,32.13630327719264
72,10,7020,2174.038389429844,2672.9995465359834,2620.75887051473,2600.739759966148,2672.999897867281,0.0644131658343648,32.13966775758426
72,10,7200,2173.985226117518,2672.9994653251947,2619.418041986113,2599.3990344628724,2672.999876600748,0.06441317567741332,32.14309185561488
72,10,7380,2173.9412361798018,2672.9993709304654,2618.0772149874283,2598.0582086419863,2672.9998513197897,0.06441318816125223,32.145925537098094
72,10,7560,2173.909266414682,2672.9992618649317,2616.7363883536864,2596.7172298373266,2672.9998214930033,0.06441320291182975,32.1479851482011
72,10,7740,2173.870715312099,2672.99913789387,2615.395560618066,2595.376380699629,2672.9997869365407,0.06441321838789028,32.15046808736284
72,10,7920,2173.824318530813,2672.998996036013,2614.05473296989,2594.035689753507,2672.999746627139,0.06441323655421842,32.153456584018144
72,10,8100,2173.7870306542864,2672.99883500026,2612.7139063242207,2592.694888141721,2672.999700022463,0.06441325714402835,32.15585832267162
72,10,8280,2173.7589469079253,2672.998649995649,2611.3730794228004,2591.353971732807,2672.9996454381635,0.06441328187635981,32.1576677188597
72,10,8460,2173.726299994762,2672.9984412187464,2610.0322513261185,2590.0131485797233,2672.9995827794583,0.06441330799068781,32.15977020383063
72,10,8640,2173.692003879913,2672.9982113238134,2608.6914233293473,2588.67236932861,2672.999512869413,0.06441333769724648,32.16197935441536
72,10,8820,2173.664938930396,2672.9979581935477,2607.35059638661,2587.3314873131576,2672.999434901228,0.06441337133000864,32.1637231871317
72,10,9000,2173.6392475642433,2672.9976774093516,2606.0097694367387,2585.990610173463,2672.9993472302904,0.06441340720621423,32.16537788346869
72,10,9180,2173.6040760808028,2672.9973630747168,2604.6689414511056,2584.6499279488203,2672.9992476309453,0.06441344784909184,32.167643447969034
72,10,9360,2173.581191011948,2672.9970042951986,2603.3281145810147,2583.309071593047,2672.999131969507,0.06441349174226416,32.169116364876814
72,10,9540,2173.5578430651026,2672.9966028135073,2601.987287487818,2581.968235078661,2672.99900060979,0.06441353885066352,32.17061795458108
72,10,9720,2173.532693959949,2672.9961496166707,2600.646460067996,2580.627437722341,2672.998849991352,0.06441359927583759,32.17223888559709
72,10,9900,2173.5077160945207,2672.995637283835,2599.3056327594254,2579.2866521905285,2672.998677030155,0.064413670825097,32.173850536600476
72,10,10080,2173.489125779595,2672.99507290616,2597.9648059642604,2577.945794646595,2672.9984840713723,0.0644137411349573,32.175046773582274
72,10,10260,2173.4696611921204,2672.9944512584852,2596.6239786132737,2576.6049631081764,2672.9982688340374,0.06441381796735028,32.17629889751369
72,10,10440,2173.4480039496584,2672.9937618061995,2595.283150733354,2575.264178563266,2672.9980269782013,0.06441390654978194,32.177693763911265
72,10,10620,2173.426130550697,2672.993008040732,2593.942323258894,2573.923412555936,2672.9977595304194,0.06441399954348782,32.17910061858478
72,10,10800,2173.40674761638,2672.992172538416,2592.6014965520394,2572.5826244837376,2672.997459236961,0.06441410747126575,32.180349252006
72,10,10980,2173.3911533161877,2672.991248653991,2591.2606703494016,2571.2417932548788,2672.9971230485035,0.0644142291002721,32.18135499960709
72,10,11160,2173.3771125266903,2672.9902428143846,2589.9198440315363,2569.9009513718315,2672.996753119136,0.06441435384104356,32.18225695798302
72,10,11340,2173.3616117320225,2672.989132092833,2588.579017152568,2568.5601378900237,2672.9963396038797,0.06441449867382824,32.183256247689535
72,10,11520,2173.3436929681575,2672.9879086134165,2587.2381900637856,2567.2193652868305,2672.995878758289,0.06441466130852387,32.18441292555242
72,10,11700,2173.3281133191385,2672.986574600862,2585.897363508337,2565.8785711098644,2672.9953708852304,0.06441482926436352,32.18541447395677
72,10,11880,2173.3157831726694,2672.9851126882695,2584.556537329261,2564.5377419077604,2672.9948081577413,0.06441501625804498,32.18620798439386
72,10,12060,2173.30473146329,2672.9835312367563,2583.2157111139586,2563.196905832931,2672.994193558762,0.06441521220971733,32.18691592410468
