% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_parallel_vary_flowrate_discharge_3.mph
% Version,COMSOL 6.0.0.405
% Date,"Feb 7 2024, 08:58"
% Table,Accumulated Probe Table 2 - 
% discharge_hrs (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T","massflowrate (kg/s), mass_flowrate",Global Variable Probe 1
20,1.25,0,2173,2672.9999999999677,2672.8085025118407,2172.999999999966,2672.999999999962,2173.0000000000014,2673,2672.9999789060826,2672.9999998533253,2672.9999999963843,3.116666666666634,380233.33333334007
20,1.25,144,2173,2672.999736893532,2663.8144339840296,2172.999999999966,2672.9998030271345,2173.0000000000014,2672.9998515506863,2672.4471495582115,2672.979290732006,2672.9993863467066,3.1166674077011014,380233.31084877456
20,1.25,288,2173,2672.998717329239,2655.4343161953043,2172.999999999966,2672.998905779282,2173.0000000000014,2672.999044872847,2671.2356942983006,2672.886916089826,2672.9976904051705,3.116672325355068,380233.2973496531
20,1.25,432,2173,2672.997177768007,2647.2675641236888,2172.999999999966,2672.9974928042448,2173.0000000000014,2672.9977252758245,2669.7858584851365,2672.7388819699377,2672.995336902303,3.116680673646302,380233.3123251822
20,1.25,576,2173,2672.9952381519684,2639.2539205250973,2172.999999999966,2672.9956730430686,2173.0000000000014,2672.9959942635355,2668.198148301197,2672.547933593521,2672.9925129963212,3.1166916469646417,380233.33467622823
20,1.25,720,2173,2672.992849665624,2631.395802562056,2172.999999999966,2672.9934074112966,2173.0000000000014,2672.9938228766923,2666.502988002807,2672.311825067488,2672.9891805498005,3.1167040593339554,380233.19768602983
20,1.25,864,2173,2672.989963689758,2623.7099593709113,2172.999999999966,2672.9906479127835,2173.0000000000014,2672.991158529741,2664.7012812057583,2672.027138478551,2672.9853078468236,3.1167204235320156,380233.16791153443
20,1.25,1008,2173,2672.9865529990348,2616.1991588171895,2172.999999999966,2672.987370641427,2173.0000000000014,2672.9879809755316,2662.8016443074525,2671.6927157068276,2672.980879991811,3.1167402109748226,380233.1654557938
20,1.25,1152,2173,2672.9826054671857,2608.860680800382,2172.999999999966,2672.9835611619656,2173.0000000000014,2672.984274676245,2660.8118221528593,2671.3081492322917,2672.9759080607832,3.116763294709779,380233.16299931327
20,1.25,1296,2173,2672.9782808151986,2601.6442399131793,2172.999999999966,2672.9793622677203,2173.0000000000014,2672.9801698241017,2658.756006981973,2670.8877703822773,2672.97057719095,3.1167875117867023,380232.9956655159
20,1.25,1440,2173,2672.973379560782,2594.614497944967,2172.999999999966,2672.9745909019794,2173.0000000000014,2672.975492125665,2656.6088192311636,2670.409335612314,2672.9646916076445,3.1168178129850226,380233.1348588438
20,1.25,1584,2173,2672.968097778509,2587.7078596851125,2172.999999999966,2672.96943328339,2173.0000000000014,2672.9704247047434,2654.402112011013,2669.8929930129107,2672.958453002341,3.116848503392616,380233.0250755133
20,1.25,1728,2173,2672.9624176764037,2580.9328334983616,2172.999999999966,2672.9638672194283,2173.0000000000014,2672.9649397547123,2652.1304023205794,2669.333989225151,2672.9518546048816,3.1168819357411874,380232.93217101676
20,1.25,1872,2173,2672.9562875637316,2574.3000709002076,2172.999999999966,2672.957871134589,2173.0000000000014,2672.9590386886484,2649.798786824828,2668.726050037132,2672.944830525723,3.116921239528347,380233.2389662246
20,1.25,2016,2173,2672.949572408721,2567.843517265142,2172.999999999966,2672.951323395554,2173.0000000000014,2672.9526159037105,2647.4063453454455,2668.0599693622376,2672.9372647347805,3.116962400666373,380233.37543636287
20,1.25,2160,2173,2672.942208920912,2561.57062094489,2172.999999999966,2672.9441371618277,2173.0000000000014,2672.9455666281524,2644.9554655323204,2667.3326583174357,2672.929153091629,3.117005365224006,380233.25529399374
20,1.25,2304,2173,2672.9342158853124,2555.4696481740116,2172.999999999966,2672.9363041647894,2173.0000000000014,2672.937855557953,2642.4513454053867,2666.546297378408,2672.9205600589075,3.1170531160191666,380233.2155178343
