% Model,LargeGraphiteBlockCharge_v3_mdotbnd_discharge_full_gridindep.mph
% Version,COMSOL 6.0.0.405
% Date,"Aug 30 2024, 14:08"
% Table,Accumulated Probe Table 25 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
1,1,0,2173,2673.000007913284,2672.994363947043,2669.303163287659,2672.9999999999754,1.2238480060731134
1,1,36,2173,2658.7564417125,2668.6847695093866,2500.647822972922,2672.999997357533,1.223849055257928
1,1,72,2173,2622.27045176924,2664.195671699963,2456.672956817915,2672.999631911743,1.2238490552578876
1,1,108,2173,2597.2565607898255,2659.95262660808,2434.6244155834925,2672.9835216883125,1.2238490552579344
1,1,144,2173,2578.8320456060615,2655.862535487592,2419.6396649445883,2672.9279104441976,1.223849055257928
1,1,180,2173,2565.3253881271166,2651.9199518240216,2409.199696354717,2672.7701979141266,1.2238490552579249
1,1,216,2173,2553.917335736837,2648.0487177400964,2400.585446638373,2672.5478496995042,1.2238490552579258
1,1,252,2173,2544.37410850748,2644.253478744881,2393.516488842242,2672.223806233452,1.2238490552579238
1,1,288,2173,2536.4580380318507,2640.5342291881775,2387.758989044352,2671.769651013046,1.2238490552579238
1,1,324,2173,2529.7810946946984,2636.8824543409473,2382.9728433650243,2671.1711488056053,1.223849055257928
1,1,360,2173,2524.017983380538,2633.285051929972,2378.891736011134,2670.443502899842,1.2238490552579286
1,1,396,2173,2518.941111518003,2629.7369208861896,2375.32341323234,2669.576355092218,1.223849055257926
1,1,432,2173,2514.400148462278,2626.234602302043,2372.144468891095,2668.563995100645,1.2238490552579238
1,1,468,2173,2510.2962221428725,2622.7746074413108,2369.278380894689,2667.4118562844815,1.2238490552579226
1,1,504,2173,2506.556866653899,2619.353470739558,2366.6712043488374,2666.133259534643,1.2238490552579238
1,1,540,2173,2503.121208839702,2615.968054038011,2364.2774486752796,2664.7446121237554,1.2238490552579273
1,1,576,2173,2499.9357215992886,2612.6156932435774,2362.056615605165,2663.262005952614,1.2238490552579262
1,1,612,2173,2496.9545316213657,2609.294197897749,2359.9744917021585,2661.6995940811266,1.2238490552579229
1,1,648,2173,2494.1400080328744,2606.001785380882,2358.0040895412685,2660.06926178928,1.2238490552579226
1,1,684,2173,2491.462422851937,2602.737001405432,2356.124759089073,2658.3809572224827,1.2238490552579258
1,1,720,2173,2488.8982687332864,2599.498650404146,2354.3205546731915,2656.643171138009,1.2238490552579284
1,1,756,2173,2486.4287888061253,2596.285738788954,2352.578947108945,2654.863288025077,1.2238490552579258
1,1,792,2173,2484.0391887088645,2593.0974308471577,2350.889727582496,2653.047754935245,1.2238490552579249
1,1,828,2173,2481.7160463930327,2589.9330270107657,2349.244513468786,2651.2021437291246,1.2238490552579233
1,1,864,2173,2479.444712619183,2586.7918289294043,2347.6357703635135,2649.332149300628,1.2238490552579242
1,1,900,2173,2477.221530444152,2583.67343661348,2346.0597374967733,2647.440930603315,1.2238490552579266
1,1,936,2173,2475.0413998143717,2580.5775237763387,2344.513050455128,2645.5310127158696,1.2238490552579262
1,1,972,2173,2472.900533221792,2577.5078749262457,2342.9949322308903,2643.604122838604,1.2238490552579253
1,1,1008,2173,2470.790251383686,2574.4607114119303,2341.499445811151,2641.664540895889,1.2238490552579249
1,1,1044,2173,2468.70617638336,2571.4350608915524,2340.0238609467256,2639.7146399217863,1.2238490552579249
1,1,1080,2173,2466.645398534999,2568.4305403867215,2338.5664322567186,2637.7561369238992,1.2238490552579249
1,1,1116,2173,2464.6058156858935,2565.446902649181,2337.125714082194,2635.790421202821,1.223849055257924
1,1,1152,2173,2462.5853475499375,2562.4839451754547,2335.700545261554,2633.8186592784186,1.2238490552579258
1,1,1188,2173,2460.582146751702,2559.5414882917253,2334.2901015232674,2631.8418427944425,1.2238490552579266
1,1,1224,2173,2458.5950146390446,2556.619365553202,2332.893719055397,2629.860819409676,1.2238490552579249
1,1,1260,2173,2456.623117163427,2553.717420211494,2331.51079482827,2627.876316679027,1.2238490552579253
1,1,1296,2173,2454.665707323989,2550.835503581463,2330.1408212772462,2625.8889617300733,1.2238490552579273
1,1,1332,2173,2452.722062311838,2547.9734743563617,2328.7833835636948,2623.8992977507296,1.2238490552579284
1,1,1368,2173,2450.791594199817,2545.131197189157,2327.4381259186152,2621.9077978230225,1.2238490552579249
1,1,1404,2173,2448.8738180696428,2542.3085417115963,2326.1047528487766,2619.9148764924157,1.2238490552579253
1,1,1440,2173,2446.968314390834,2539.5053818882,2324.783019783952,2617.920899411676,1.2238490552579242
1,1,1476,2173,2445.0748130389256,2536.7215944610425,2323.4727256939127,2615.926191370077,1.2238490552579253
1,1,1512,2173,2443.1930844116628,2533.9570588729007,2322.173678035935,2613.931042983764,1.2238490552579233
1,1,1548,2173,2441.3229109042504,2531.211656843621,2320.885701931964,2611.935716275402,1.2238490552579249
1,1,1584,2173,2439.4640932056573,2528.485272048814,2319.6086452385957,2609.9404493237344,1.2238490552579249
1,1,1620,2173,2437.6164504899816,2525.7777899713524,2318.342374701436,2607.9454601251423,1.2238490552579229
1,1,1656,2173,2435.779876298833,2523.089097175832,2317.0867682899666,2605.950949787231,1.2238490552579242
1,1,1692,2173,2433.95428508074,2520.419081260824,2315.8417088134643,2603.957105162235,1.2238490552579253
1,1,1728,2173,2432.139557406419,2517.767631112901,2314.607082196996,2601.9641010171936,1.2238490552579273
1,1,1764,2173,2430.3355918714997,2515.1346365962163,2313.3827860658876,2599.9721018295,1.2238490552579289
1,1,1800,2173,2428.542317010096,2512.5199882907846,2312.1687212633365,2597.9812632762937,1.2238490552579249
1,1,1836,2173,2426.7596806302754,2509.923577297649,2310.9648021364383,2595.9917334707097,1.2238490552579233
1,1,1872,2173,2424.987593291156,2507.3452957239756,2309.7709376404177,2594.0036539836487,1.2238490552579242
1,1,1908,2173,2423.2260105599485,2504.785036046038,2308.587041331378,2592.0171606843396,1.223849055257924
