% Model,LargeGraphiteBlockCharge_v3_mdotbnd_discharge_full_gridindep.mph
% Version,COMSOL 6.0.0.405
% Date,"Aug 30 2024, 14:22"
% Table,Accumulated Probe Table 25 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
1,1,0,2173.0000000000005,2673.000011078223,2672.995311047427,2669.290366041165,2673,1.223850811423505
1,1,36,2173.0000000000005,2656.803412947582,2668.7059433962136,2498.3892196821043,2672.99999976835,1.2238490552588523
1,1,72,2173.0000000000005,2620.237860467002,2664.2334459781127,2454.781401981636,2672.9992610395175,1.2238490552584578
1,1,108,2173.0000000000005,2595.3473092029294,2660.0025605627197,2432.7938824938974,2672.9800559256532,1.2238490552576524
1,1,144,2173.0000000000005,2577.1099602610543,2655.92648496988,2418.000636975851,2672.916986508338,1.223849055257866
1,1,180,2173.0000000000005,2564.536666009293,2652.0306122885954,2408.35141316984,2672.700844214553,1.223849055257926
1,1,216,2173.0000000000005,2552.9540799452066,2648.167789815846,2399.5765859918993,2672.454123685615,1.2238490552579446
1,1,252,2173.0000000000005,2543.848690107639,2644.4028519129924,2392.879105965562,2672.0793396025524,1.2238490552579244
1,1,288,2173.0000000000005,2535.890708129725,2640.6960603559137,2387.088635657496,2671.593916353595,1.2238490552579233
1,1,324,2173.0000000000005,2529.3394247120145,2637.066792622241,2382.396351811638,2670.942101491119,1.2238490552579282
1,1,360,2173.0000000000005,2523.6853705402223,2633.497070058015,2378.386402761714,2670.1355114395997,1.2238490552579295
1,1,396,2173.0000000000005,2518.6514818362466,2629.975137005534,2374.8378758551144,2669.192814977148,1.223849055257926
1,1,432,2173.0000000000005,2514.1495465196135,2626.49876261107,2371.6801091972143,2668.116955632517,1.2238490552579266
1,1,468,2173.0000000000005,2510.044620718809,2623.0608193836315,2368.8091047135445,2666.928566116858,1.2238490552579273
1,1,504,2173.0000000000005,2506.2822467392857,2619.6595943451457,2366.182940265531,2665.6349868343505,1.223849055257926
1,1,540,2173.0000000000005,2502.761206462184,2616.2873203476684,2363.7273044541216,2664.261657807166,1.223849055257925
1,1,576,2173.0000000000005,2499.5440080444096,2612.9547118901583,2361.484132891697,2662.7833630109862,1.2238490552579286
1,1,612,2173.0000000000005,2496.5297738586846,2609.653625484862,2359.380924186079,2661.229066851629,1.223849055257922
1,1,648,2173.0000000000005,2493.6672083485055,2606.3795619766156,2357.380975978905,2659.6154578436403,1.223849055257924
1,1,684,2173.0000000000005,2490.9411240344034,2603.132666592165,2355.4736781173233,2657.947057668002,1.2238490552579264
1,1,720,2173.0000000000005,2488.312520354259,2599.907770348634,2353.632402049174,2656.2385752930136,1.2238490552579278
1,1,756,2173.0000000000005,2485.804348719974,2596.7127055048627,2351.8723087307762,2654.479883321093,1.2238490552579255
1,1,792,2173.0000000000005,2483.3785585601013,2593.5419492374103,2350.1674010090883,2652.686022191686,1.2238490552579273
1,1,828,2173.0000000000005,2481.0253351156803,2590.3955946546034,2348.5119072048597,2650.860975011387,1.2238490552579246
1,1,864,2173.0000000000005,2478.7335010413003,2587.2729968458,2346.898119235747,2649.0094335629065,1.2238490552579244
1,1,900,2173.0000000000005,2476.492304065223,2584.1728082902573,2345.3191053679434,2647.136179849412,1.2238490552579244
1,1,936,2173.0000000000005,2474.288443266457,2581.0912482413037,2343.766187111553,2645.247140275549,1.2238490552579284
1,1,972,2173.0000000000005,2472.1238807614404,2578.0310416935645,2342.2409592668414,2643.341735185025,1.2238490552579304
1,1,1008,2173.0000000000005,2470.0020067579408,2574.996791216353,2340.745943738464,2641.4188714641527,1.2238490552579278
1,1,1044,2173.0000000000005,2467.911884683238,2571.985385627171,2339.274639495738,2639.483544047281,1.223849055257925
1,1,1080,2173.0000000000005,2465.8477064739786,2568.995048534394,2337.822706756287,2637.538631835813,1.223849055257925
1,1,1116,2173.0000000000005,2463.807284032343,2566.0255918252747,2336.3893793602624,2635.5855732681234,1.2238490552579233
1,1,1152,2173.0000000000005,2461.78670322885,2563.07552253338,2334.9715382435156,2633.626070649964,1.2238490552579273
1,1,1188,2173.0000000000005,2459.785436152151,2560.145715982585,2333.569418959375,2631.660728568133,1.2238490552579255
1,1,1224,2173.0000000000005,2457.799304559493,2557.232775465768,2332.180006700874,2629.6912685558477,1.2238490552579253
1,1,1260,2173.0000000000005,2455.83407074659,2554.3443083896977,2330.8078843715384,2627.716533506728,1.2238490552579258
1,1,1296,2173.0000000000005,2453.884819509805,2551.4761814056956,2329.4497668292383,2625.738433581334,1.2238490552579244
1,1,1332,2173.0000000000005,2451.949408364975,2548.626696127645,2328.1035975713075,2623.7578290169963,1.2238490552579273
1,1,1368,2173.0000000000005,2450.0278087218453,2545.7965385773377,2326.7698311539752,2621.7750758490897,1.2238490552579253
1,1,1404,2173.0000000000005,2448.1174865911485,2542.982610771354,2325.446441040143,2619.7908913865017,1.223849055257925
1,1,1440,2173.0000000000005,2446.223052395672,2540.192245319643,2324.1373249988364,2617.8049914592407,1.2238490552579244
1,1,1476,2173.0000000000005,2444.34152858278,2537.421545905494,2322.8402319589245,2615.818196098098,1.2238490552579202
1,1,1512,2173.0000000000005,2442.47128732248,2534.6687477375312,2321.5535516673153,2613.8309013047365,1.223849055257926
1,1,1548,2173.0000000000005,2440.6136206736865,2531.935999255931,2320.278774650785,2611.843314434126,1.2238490552579249
1,1,1584,2173.0000000000005,2438.767296241099,2529.221556226317,2319.014480270643,2609.8557492582513,1.2238490552579269
1,1,1620,2173.0000000000005,2436.932607203366,2526.526369315683,2317.7613324333215,2607.8684389635036,1.223849055257925
1,1,1656,2173.0000000000005,2435.109084170415,2523.849768752531,2316.518570867829,2605.8816102132437,1.2238490552579255
1,1,1692,2173.0000000000005,2433.296854310998,2521.191788089778,2315.286656075332,2603.895470072585,1.2238490552579266
1,1,1728,2173.0000000000005,2431.494789865707,2518.5509966346367,2314.0641761569814,2601.9101476171572,1.2238490552579284
1,1,1764,2173.0000000000005,2429.703364408042,2515.92844829291,2312.8518951795018,2599.925850271695,1.2238490552579255
1,1,1800,2173.0000000000005,2427.9209717850254,2513.3210556936197,2311.64824914731,2597.9425469525613,1.2238490552579269
1,1,1836,2173.0000000000005,2426.151811475276,2510.7359300353423,2310.4568401948513,2595.96084987138,1.2238490552579284
1,1,1872,2173.0000000000005,2424.3932849375,2508.168920800852,2309.2755931254546,2593.980686141382,1.223849055257932
1,1,1908,2173.0000000000005,2422.6445232572073,2505.6186808947987,2308.103410344248,2592.0020821246203,1.2238490552579304
1,1,1944,2173.0000000000005,2420.906837736302,2503.0871460182398,2306.9416240813066,2590.0253513506123,1.2238490552579235
1,1,1980,2173.0000000000005,2419.179147423037,2500.572752155961,2305.789114567809,2588.050486882778,1.2238490552579269
1,1,2016,2173.0000000000005,2417.461933250909,2498.0763799818183,2304.64654675608,2586.0777150733347,1.2238490552579266
1,1,2052,2173.0000000000005,2415.755026911486,2495.5974402084566,2303.5133046820006,2584.1071060450927,1.22384905525793
1,1,2088,2173.0000000000005,2414.0584480902203,2493.1359147409808,2302.389780382243,2582.1387868132433,1.223849055257921
1,1,2124,2173.0000000000005,2412.3713769726314,2490.6905575959595,2301.2748106968347,2580.172711821805,1.2238490552579273
1,1,2160,2173.0000000000005,2410.6948486797137,2488.263264825142,2300.169728942872,2578.2092584907937,1.223849055257925
1,1,2196,2173.0000000000005,2409.0278539131477,2485.8519824489367,2299.073285585343,2576.2482543659985,1.223849055257929
1,1,2232,2173.0000000000005,2407.369152002444,2483.4547736735763,2297.984249772843,2574.289490215492,1.2238490552579282
1,1,2268,2173.0000000000005,2405.722020988149,2481.077106084159,2296.9057791459218,2572.3339339328472,1.2238490552579286
1,1,2304,2173.0000000000005,2404.083270038037,2478.7134656497465,2295.835132917243,2570.3808014964243,1.2238490552579266
1,1,2340,2173.0000000000005,2402.456128393031,2476.369637973036,2294.7747048548345,2568.431191965123,1.2238490552579258
1,1,2376,2173.0000000000005,2400.8386194367113,2474.0419889769883,2293.7229916003134,2566.484604952959,1.2238490552579246
1,1,2412,2173.0000000000005,2399.229361008147,2471.7280143177486,2292.6787468294538,2564.540661496137,1.2238490552579255
1,1,2448,2173.0000000000005,2397.6318928842225,2469.4336259500647,2291.644854536892,2562.6005984665408,1.2238490552579244
1,1,2484,2173.0000000000005,2396.044391951207,2467.1561090985706,2290.6199454480966,2560.6640285266817,1.2238490552579238
1,1,2520,2173.0000000000005,2394.4659584855326,2464.89374548998,2289.602977259205,2558.730704184119,1.2238490552579244
1,1,2556,2173.0000000000005,2392.8970964891555,2462.647223012786,2288.59437843299,2556.8008647124116,1.2238490552579253
