% Model,LargeGraphiteBlockCharge_v3_mdotbnd_discharge_full_gridindep.mph
% Version,COMSOL 6.0.0.405
% Date,"Aug 30 2024, 13:25"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
1,1,0,2172.9999999999995,2673.000007945224,2672.99480965103,2669.3065402153525,2672.9999999999986,1.2238548214137313
1,1,36,2172.9999999999995,2657.7985545584993,2668.6942966132874,2500.862944000945,2672.9999998146486,1.2238490552705887
1,1,72,2172.9999999999995,2622.209134566911,2664.21689483545,2456.72205367897,2672.9990614915573,1.2238490552574322
1,1,108,2172.9999999999995,2595.901781905848,2659.943946730539,2433.03327545361,2672.9884592672433,1.223849055257829
1,1,144,2172.9999999999995,2577.7291257048555,2655.8553368895386,2418.3891478208975,2672.938545109805,1.2238490552579713
1,1,180,2172.9999999999995,2563.928219836639,2651.893356012332,2407.752593967,2672.8188816400298,1.223849055257931
1,1,216,2172.9999999999995,2552.5067832451327,2648.017187519481,2399.141695996775,2672.6144803930906,1.2238490552579186
1,1,252,2172.9999999999995,2543.22225173479,2644.228542218288,2392.2996957465243,2672.293868992259,1.2238490552579195
1,1,288,2172.9999999999995,2535.5402526904927,2640.5114336622946,2386.759993558065,2671.861689622319,1.223849055257928
1,1,324,2172.9999999999995,2529.015630838406,2636.8582723325103,2382.11963300621,2671.293974755274,1.2238490552579293
1,1,360,2172.9999999999995,2523.3347825558653,2633.262968281958,2378.1069256998976,2670.571434439208,1.223849055257922
1,1,396,2172.9999999999995,2518.306536913009,2629.719659483314,2374.570550473873,2669.6883829679514,1.2238490552579164
1,1,432,2172.9999999999995,2513.812482252105,2626.222988793954,2371.4238537323677,2668.6512592271265,1.2238490552579233
1,1,468,2172.9999999999995,2509.7624320198074,2622.7683714470973,2368.599881177759,2667.4742097430103,1.223849055257928
1,1,504,2172.9999999999995,2506.075986955533,2619.3520217600244,2366.036153829567,2666.174640392665,1.2238490552579238
1,1,540,2172.9999999999995,2502.683298169124,2615.9708491326105,2363.6778864413814,2664.7698596516543,1.223849055257921
1,1,576,2172.9999999999995,2499.529849863003,2612.622321367185,2361.4828017474106,2663.275225939907,1.223849055257921
1,1,612,2172.9999999999995,2496.5732133702504,2609.3043590770358,2359.4200807984803,2661.703666002087,1.2238490552579218
1,1,648,2172.9999999999995,2493.7784165895227,2606.015257618254,2357.4653601826067,2660.0660307647013,1.2238490552579264
1,1,684,2172.9999999999995,2491.109359215914,2602.753351525313,2355.5942874113625,2658.3735457767516,1.2238490552579253
1,1,720,2172.9999999999995,2488.5509950984424,2599.517735063117,2353.7965870430958,2656.6329592064285,1.2238490552579229
1,1,756,2172.9999999999995,2486.0997412595666,2596.312255459317,2352.0700413455706,2654.84532405393,1.22384905525792
1,1,792,2172.9999999999995,2483.7268014218416,2593.132128486093,2350.395614062022,2653.022818997684,1.2238490552579242
1,1,828,2172.9999999999995,2481.416829008151,2589.9758810597377,2348.7634737559893,2651.17190688971,1.2238490552579269
1,1,864,2172.9999999999995,2479.1597837258087,2586.8427963622353,2347.167289460329,2649.2971807144054,1.2238490552579238
1,1,900,2172.9999999999995,2476.9483304418886,2583.7323699110175,2345.60229765456,2647.4023417717067,1.2238490552579233
1,1,936,2172.9999999999995,2474.7758457045215,2580.6441917754782,2344.064862292534,2645.4904933916664,1.2238490552579238
1,1,972,2172.9999999999995,2472.6373204908245,2577.5779091814784,2342.551751217883,2643.564265446859,1.2238490552579222
1,1,1008,2172.9999999999995,2470.528174048908,2574.5332181459644,2341.060340763083,2641.6258920443033,1.2238490552579218
1,1,1044,2172.9999999999995,2468.44519219768,2571.5098473565977,2339.5886274708605,2639.6772721320567,1.2238490552579226
1,1,1080,2172.9999999999995,2466.3858382213493,2568.507554576972,2338.134930486165,2637.720020431425,1.2238490552579233
1,1,1116,2172.9999999999995,2464.3474625003696,2565.526123474301,2336.6980335262533,2635.755511209738,1.2238490552579226
1,1,1152,2172.9999999999995,2462.3284702963138,2562.5653534966814,2335.2768656112976,2633.784915760685,1.2238490552579233
1,1,1188,2172.9999999999995,2460.32675652079,2559.6250673835575,2333.870480720439,2631.8092344188635,1.2238490552579258
1,1,1224,2172.9999999999995,2458.341387086028,2556.7050948720284,2332.478140817884,2629.8293238010842,1.2238490552579226
1,1,1260,2172.9999999999995,2456.371498568591,2553.805277529587,2331.0992765178057,2627.8459197469806,1.2238490552579215
1,1,1296,2172.9999999999995,2454.415972628072,2550.9254688863457,2329.733349247151,2625.8596568240887,1.2238490552579229
1,1,1332,2172.9999999999995,2452.474590784039,2548.065522658477,2328.379937447897,2623.8710847197376,1.2238490552579233
1,1,1368,2172.9999999999995,2450.5462388908154,2545.225305936213,2327.0387492147397,2621.880682124761,1.2238490552579215
1,1,1404,2172.9999999999995,2448.630722896548,2542.4046860664134,2325.709398620175,2619.8888684240396,1.2238490552579195
1,1,1440,2172.9999999999995,2446.7275354584594,2539.60353641232,2324.391726072317,2617.896013349864,1.223849055257922
1,1,1476,2172.9999999999995,2444.8361531293144,2536.8217365823534,2323.085473202332,2615.902445129283,1.2238490552579262
1,1,1512,2172.9999999999995,2442.9567931091865,2534.059162641842,2321.790417640861,2613.90845716821,1.2238490552579238
1,1,1548,2172.9999999999995,2441.0888351725966,2531.3156982415167,2320.5065122737997,2611.914313717627,1.2238490552579242
1,1,1584,2172.9999999999995,2439.232523521823,2528.591224751718,2319.233399597499,2609.9202546036395,1.2238490552579246
1,1,1620,2172.9999999999995,2437.3874148659324,2525.8856270980996,2317.971034499572,2607.9264991068317,1.2238490552579238
1,1,1656,2172.9999999999995,2435.5532629371114,2523.1987929359666,2316.7193439269518,2605.9332492818685,1.2238490552579242
1,1,1692,2172.9999999999995,2433.730157452546,2520.5306095618107,2315.4781172360745,2603.940692580815,1.2238490552579238
1,1,1728,2172.9999999999995,2431.9176079840377,2517.8809681563944,2314.247379599998,2601.949004116226,1.2238490552579218
1,1,1764,2172.9999999999995,2430.1160695371696,2515.24975644335,2313.026906810838,2599.958348481877,1.2238490552579218
1,1,1800,2172.9999999999995,2428.3251282099677,2512.636866406677,2311.8166477114846,2597.9688812541126,1.2238490552579238
1,1,1836,2172.9999999999995,2426.5449313753215,2510.0421874656877,2310.616529588663,2595.9807503100483,1.2238490552579226
1,1,1872,2172.9999999999995,2424.775483160175,2507.465611056178,2309.4263495738287,2593.9940967892926,1.2238490552579253
1,1,1908,2172.9999999999995,2423.016258990198,2504.9070317420715,2308.2461321022283,2592.009056011083,1.2238490552579258
1,1,1944,2172.9999999999995,2421.267619247934,2502.366340824244,2307.0757775959232,2590.0257581670926,1.223849055257926
1,1,1980,2172.9999999999995,2419.529084824775,2499.8434358881136,2305.9151916229275,2588.044328936397,1.2238490552579238
1,1,2016,2172.9999999999995,2417.8010173153266,2497.338208567846,2304.764288748994,2586.064890020335,1.2238490552579242
1,1,2052,2172.9999999999995,2416.083387806442,2494.8505532198874,2303.6229887138343,2584.0875594404642,1.2238490552579226
