% Model,LargeGraphiteBlockCharge_v3_mdotbnd_discharge_full.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 3 2023, 10:57"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
1.2,1,0,2172.9999999999995,2673.0000207437556,2672.956788492961,2659.5257469791604,2673,1.019868400149758
1.2,1,43.2,2172.9999999999995,2663.1197533015306,2668.524900427525,2515.069153059443,2672.9999946362746,1.0198742126914973
1.2,1,86.4,2172.9999999999995,2636.1718018320735,2663.9036713711903,2475.050883030856,2672.9972818716224,1.0198742127169849
1.2,1,129.60000000000002,2172.9999999999995,2615.222627874277,2659.4585453835093,2453.520147608877,2672.9725532167527,1.019874212713993
1.2,1,172.8,2172.9999999999995,2599.673231916254,2655.162135316386,2439.36054282187,2672.874696322703,1.019874212714798
1.2,1,216,2172.9999999999995,2587.131586909931,2650.9609163815817,2428.5549694292135,2672.698391007171,1.0198742127149911
1.2,1,259.20000000000005,2172.9999999999995,2576.6968032021746,2646.8392826337913,2419.8677721013796,2672.419476976315,1.019874212714985
1.2,1,302.40000000000003,2172.9999999999995,2568.1263928678322,2642.7981256692274,2412.9613422513944,2672.0059199168218,1.0198742127149438
1.2,1,345.6,2172.9999999999995,2560.966734126428,2638.828463179521,2407.3342796922475,2671.4404911756155,1.0198742127149298
1.2,1,388.8,2172.9999999999995,2554.8457617474023,2634.9210959053394,2402.6052090676217,2670.7161182245504,1.0198742127149318
1.2,1,432,2172.9999999999995,2549.4889938719743,2631.0639771523443,2398.520856910833,2669.8531415108687,1.0198742127149392
1.2,1,475.20000000000005,2172.9999999999995,2544.7124691965655,2627.25287382118,2394.904762678127,2668.8475883219007,1.0198742127149396
1.2,1,518.4000000000001,2172.9999999999995,2540.394629996009,2623.485109922746,2391.6451295129623,2667.7000645364683,1.019874212714935
1.2,1,561.6,2172.9999999999995,2536.451237551985,2619.757884387894,2388.6703151921315,2666.421185543348,1.0198742127149347
1.2,1,604.8000000000001,2172.9999999999995,2532.8165168610203,2616.068331002932,2385.9271815170314,2665.0275624333135,1.0198742127149376
1.2,1,648,2172.9999999999995,2529.43359386378,2612.4138471913243,2383.3704340996355,2663.5368723314305,1.0198742127149385
1.2,1,691.2,2172.9999999999995,2526.2529693372667,2608.79225650213,2380.961166407401,2661.9649290818,1.0198742127149356
1.2,1,734.4000000000001,2172.9999999999995,2523.2339892576447,2605.2018082211757,2378.6683012647964,2660.324777011741,1.0198742127149347
1.2,1,777.6,2172.9999999999995,2520.344943317086,2601.6411082476275,2376.468406960571,2658.626951903925,1.0198742127149372
1.2,1,820.8000000000001,2172.9999999999995,2517.5610091965514,2598.109044256825,2374.3436750019155,2656.8801062531134,1.0198742127149385
1.2,1,864,2172.9999999999995,2514.8619455160483,2594.6047245951245,2372.279985202012,2655.091536050582,1.019874212714936
1.2,1,907.2,2172.9999999999995,2512.2283287779887,2591.1272799573176,2370.2648477351577,2653.2687226513813,1.019874212714936
1.2,1,950.4000000000001,2172.9999999999995,2509.652319502396,2587.676234781461,2368.293926380184,2651.4158663848702,1.0198742127149378
1.2,1,993.6,2172.9999999999995,2507.126077136356,2584.251131018829,2366.3614923521627,2649.536939205821,1.0198742127149358
1.2,1,1036.8000000000002,2172.9999999999995,2504.6422520261244,2580.8516228387625,2364.462731135809,2647.6349349317816,1.0198742127149363
1.2,1,1080,2172.9999999999995,2502.2045166864527,2577.4880990108168,2362.602985129002,2645.706990673791,1.0198742127149356
1.2,1,1123.2,2172.9999999999995,2499.789517229563,2574.1454443881657,2360.763945571105,2643.7662632692723,1.0198742127149367
1.2,1,1166.4,2172.9999999999995,2497.398354670404,2570.8264717884813,2358.947158339932,2641.8122294228288,1.0198742127149354
1.2,1,1209.6000000000001,2172.9999999999995,2495.0293333541385,2567.531574546498,2357.1516202173466,2639.845963228875,1.0198742127149354
1.2,1,1252.8000000000002,2172.9999999999995,2492.6804698696196,2564.2606720535464,2355.376076288152,2637.868721153376,1.0198742127149363
1.2,1,1296,2172.9999999999995,2490.350126168611,2561.013599190341,2353.619515443103,2635.8816485802367,1.0198742127149354
1.2,1,1339.2,2172.9999999999995,2488.0368110675877,2557.7901855294454,2351.881139446952,2633.8857393191133,1.019874212714937
1.2,1,1382.4,2172.9999999999995,2485.739504552037,2554.5902667195605,2350.1602619767605,2631.8818489143882,1.0198742127149378
