% Model,LargeGraphiteBlockCharge_v3_mdotbnd_discharge_full_gridindep.mph
% Version,COMSOL 6.0.0.405
% Date,"Dec 20 2024, 15:22"
% Table,Accumulated Probe Table 25 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
1,1,0,2173,2673.000007913284,2672.994363947043,2669.303163287659,2672.9999999999754,1.2238480060730992
1,1,36,2173,2658.756441709198,2668.6847695093625,2500.647822986401,2672.9999973575327,1.223849055257928
1,1,72,2173,2622.026770137124,2664.191328353615,2456.3898828716597,2672.9997603997663,1.2238490552579018
1,1,108,2173,2594.629152922255,2659.891796422059,2431.9252724734033,2672.99606521087,1.2238490552579389
1,1,144,2173,2575.2534145322898,2655.7540755953883,2416.5515503987995,2672.981658487752,1.2238490552579186
1,1,180,2173,2561.3383872605978,2651.760120408796,2405.980406076451,2672.9372894432913,1.223849055257928
1,1,216,2173,2550.461417175931,2647.880425430014,2397.847493414647,2672.825510405271,1.2238490552579242
1,1,252,2173,2541.633702786489,2644.092909382649,2391.4152403589865,2672.5970836359797,1.2238490552579244
1,1,288,2173,2534.275436468929,2640.3824053498843,2386.1265816115424,2672.2091776831267,1.2238490552579253
1,1,324,2173,2527.980617270739,2636.737690752025,2381.6520001079384,2671.6417201028626,1.2238490552579255
1,1,360,2173,2522.495831802921,2633.1499122575274,2377.786722719074,2670.8964186926905,1.2238490552579262
1,1,396,2173,2517.650865668863,2629.6125874510085,2374.3949830710935,2669.984769385981,1.2238490552579244
1,1,432,2173,2513.3215404672865,2626.1205948849156,2371.377514774492,2668.920557738163,1.2238490552579266
1,1,468,2173,2509.4086824347382,2622.6696017799973,2368.6573530724436,2667.7195663729385,1.2238490552579249
1,1,504,2173,2505.8288144318003,2619.2557978200584,2366.1695078549456,2666.399239415938,1.2238490552579249
1,1,540,2173,2502.517905768666,2615.8761912576183,2363.866635265158,2664.9761796754365,1.223849055257924
1,1,576,2173,2499.4519587488594,2612.532053732975,2361.7298641981865,2663.455373333253,1.2238490552579249
1,1,612,2173,2496.565294280034,2609.21782396165,2359.712641031432,2661.860269144647,1.2238490552579262
