% Model,LargeGraphiteBlockCharge_v3_mdotbnd_discharge_full_new.mph
% Version,COMSOL 6.0.0.405
% Date,"Feb 1 2024, 22:03"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
5,1,0,2172.9999999999995,2673.0000032564894,2672.9383965260454,2663.492307409784,2673,0.2447715232772127
5,1,180,2172.9999999999995,2672.987728979987,2668.0594189143026,2607.9478669435616,2672.999992473099,0.2447698110789028
5,1,360,2172.9999999999995,2672.8100444889524,2662.9994150217567,2593.684001822356,2672.9986445127597,0.2447698110451331
5,1,540,2172.9999999999995,2672.397839079902,2657.9205346873932,2584.944576155858,2672.985102793934,0.24476981104994633
5,1,720,2172.9999999999995,2671.8799683816296,2652.83971142288,2577.761257168966,2672.9558971829965,0.24476981105232415
5,1,900,2172.9999999999995,2671.2594504412928,2647.7627063258246,2571.6359384865223,2672.8944129243105,0.2447698110525879
5,1,1080,2172.9999999999995,2670.6012860336355,2642.687570710311,2565.8672912005304,2672.8195438718476,0.24476981105230267
5,1,1260,2172.9999999999995,2669.868682886882,2637.617989615596,2560.6829664936504,2672.711966503188,0.24476981105167156
5,1,1440,2172.9999999999995,2669.0813412045386,2632.55574412769,2555.708717203333,2672.569581469598,0.24476981105147638
5,1,1620,2172.9999999999995,2668.2421522098657,2627.501942091677,2550.8011399216607,2672.3902606673228,0.2447698110515244
5,1,1800,2172.9999999999995,2667.3473795322084,2622.4573376636517,2545.9145917733954,2672.1724545164893,0.24476981105158285
5,1,1980,2172.9999999999995,2666.3916414336813,2617.4225735357027,2541.039798240722,2671.914914299587,0.24476981105159656
5,1,2160,2172.9999999999995,2665.3701060732324,2612.3982886559606,2536.178533671174,2671.616422897323,0.24476981105159054
5,1,2340,2172.9999999999995,2664.279177931224,2607.385150955215,2531.3345055197547,2671.275654154957,0.24476981105158482
5,1,2520,2172.9999999999995,2663.11647450319,2602.3838587653267,2526.5107945721456,2670.8911400038583,0.2447698110515837
5,1,2700,2172.9999999999995,2661.8805369360753,2597.395133057586,2521.7095521529222,2670.4613004256175,0.24476981105158446
