% Model,LargeGraphiteBlockCharge_v3_mdotbnd_discharge_full.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 9 2023, 22:11"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
10,1,0,2172.9999999999995,2673.0000012673718,2672.928470959003,2665.5670767832585,2673,0.1223854429022286
10,1,360,2172.9999999999995,2672.9999744701545,2667.935048027062,2633.468069234824,2672.9999997513232,0.12238490519071112
10,1,720,2172.9999999999995,2672.999025690473,2662.8396709118574,2625.300843272869,2672.9999526604374,0.12238490559910921
10,1,1080,2172.9999999999995,2672.994509337333,2657.7364177586687,2619.351174566823,2672.999431672359,0.12238490553460973
10,1,1440,2172.9999999999995,2672.9880337244485,2652.6323519035354,2613.7479115730994,2672.9986118975385,0.12238490549845278
10,1,1800,2172.9999999999995,2672.977110773992,2647.527548123028,2608.624619438091,2672.9970272227115,0.12238490551309328
10,1,2160,2172.9999999999995,2672.960460865546,2642.423490594369,2603.6118392794588,2672.9942230604356,0.12238490552618071
10,1,2520,2172.9999999999995,2672.936638329609,2637.3206827728077,2598.581646218419,2672.98964089278,0.12238490552848769
10,1,2880,2172.9999999999995,2672.9040382114595,2632.21917736755,2593.51747541344,2672.9826096354773,0.12238490552679286
10,1,3240,2172.9999999999995,2672.8608682190024,2627.1189241300135,2588.433396183395,2672.972338985137,0.12238490552565359
10,1,3600,2172.9999999999995,2672.8051403528916,2622.0199060793198,2583.3428887868945,2672.957912257933,0.12238490552553695
10,1,3960,2172.9999999999995,2672.7346750951183,2616.9221663531184,2578.2528504906622,2672.938278912525,0.122384905525718
10,1,4320,2172.9999999999995,2672.647115035614,2611.825800477146,2573.1656256977767,2672.912248015128,0.1223849055258141
10,1,4680,2172.9999999999995,2672.539938749551,2606.730945660734,2568.081685360227,2672.8784833639843,0.1223849055258159
10,1,5040,2172.9999999999995,2672.41046874508,2601.6377740118405,2563.0011070485343,2672.8355004084906,0.12238490552579769
10,1,5400,2172.9999999999995,2672.2558828176543,2596.546490743955,2557.9240746415203,2672.7816648992994,0.12238490552579
10,1,5760,2172.9999999999995,2672.0732239086174,2591.4573351496483,2552.8509776762526,2672.7151930107784,0.1223849055257903
10,1,6120,2172.9999999999995,2671.859410798571,2586.370581525555,2547.7823334770487,2672.634152925763,0.12238490552579225
10,1,6480,2172.9999999999995,2671.6112481779296,2581.2865400027804,2542.718726373407,2672.536467495926,0.122384905525793
10,1,6840,2172.9999999999995,2671.3254401299614,2576.2055572850823,2537.6607876837643,2672.419917914685,0.12238490552579279
10,1,7200,2172.9999999999995,2670.9986037152935,2571.12801720342,2532.6091913501746,2672.2821487225033,0.12238490552579263
10,1,7560,2172.9999999999995,2670.627286350804,2566.054341178329,2527.5646395414215,2672.1206739085637,0.12238490552579247
10,1,7920,2172.9999999999995,2670.2079794014635,2560.9849887737682,2522.527886692426,2671.932883962935,0.12238490552579259
10,1,8280,2172.9999999999995,2669.7371288421878,2555.9204574491814,2517.499711584393,2671.716054135861,0.12238490552579241
10,1,8640,2172.9999999999995,2669.211160913277,2550.861282944185,2512.4809485527653,2671.4673538424295,0.12238490552579241
10,1,9000,2172.9999999999995,2668.626495597092,2545.808038957301,2507.4724626012803,2671.1838564960813,0.12238490552579272
10,1,9360,2172.9999999999995,2667.979562139142,2540.7613370064973,2502.4751449725013,2670.862550835115,0.12238490552579244
10,1,9720,2172.9999999999995,2667.2668099079706,2535.721826286507,2497.4899326538675,2670.5003523635555,0.12238490552579251
10,1,10080,2172.9999999999995,2666.484737175797,2530.690192744723,2492.5177923601236,2670.0941153295616,0.12238490552579256
10,1,10440,2172.9999999999995,2665.6298949168236,2525.66715869263,2487.5597195501878,2669.640645736269,0.12238490552579263
10,1,10800,2172.9999999999995,2664.6989060993874,2520.6534820044276,2482.616739626291,2669.1367146549396,0.12238490552579263
10,1,11160,2172.9999999999995,2663.688489011126,2515.649955075983,2477.6899155001697,2668.5790716284714,0.12238490552579241
10,1,11520,2172.9999999999995,2662.5954572148516,2510.6574035551325,2472.7803182661737,2667.9644587753537,0.12238490552579255
10,1,11880,2172.9999999999995,2661.416746350044,2505.676685478105,2467.8890485038064,2667.2896250064937,0.12238490552579259
10,1,12240,2172.9999999999995,2660.1494385399346,2500.7086895466396,2463.017239203177,2666.55134039552,0.12238490552579259
10,1,12600,2172.9999999999995,2658.790746644365,2495.7543335532678,2458.1660252625743,2665.746409808232,0.12238490552579263
10,1,12960,2172.9999999999995,2657.3380265669966,2490.81456326521,2453.336562178944,2664.871685242169,0.12238490552579256
10,1,13320,2172.9999999999995,2655.788835613061,2485.890350358839,2448.5300239960047,2663.9240806966127,0.12238490552579256
10,1,13680,2172.9999999999995,2654.1408763757063,2480.982690759043,2443.747589419336,2662.900586561366,0.12238490552579236
10,1,14040,2172.9999999999995,2652.3920509715194,2476.092602423655,2438.9904454846856,2661.7982830385963,0.12238490552579233
10,1,14400,2172.9999999999995,2650.540494644783,2471.2211231082215,2434.2597833169766,2660.6143521252525,0.12238490552579241
10,1,14760,2172.9999999999995,2648.5844915018997,2466.3693091190044,2429.556791678801,2659.3460884670417,0.12238490552579276
10,1,15120,2172.9999999999995,2646.522563778551,2461.5382326890567,2424.882663454507,2657.9909123715906,0.12238490552579259
10,1,15480,2172.9999999999995,2644.3534424890654,2456.728979772823,2420.238600648638,2656.5463794426623,0.12238490552579268
10,1,15840,2172.9999999999995,2642.076067223745,2451.9426477356233,2415.625787280287,2655.010191378438,0.12238490552579263
10,1,16200,2172.9999999999995,2639.689647024642,2447.180342862805,2411.0453896022123,2653.3802076321517,0.12238490552579237
10,1,16560,2172.9999999999995,2637.1935818875177,2442.443178628316,2406.4985770366147,2651.654451802574,0.12238490552579244
10,1,16920,2172.9999999999995,2634.5874841376076,2437.7322731094196,2401.986507457559,2649.8311203838452,0.12238490552579255
10,1,17280,2172.9999999999995,2631.8712458687514,2433.048746102134,2397.5103143521023,2647.90859098166,0.12238490552579279
10,1,17640,2172.9999999999995,2629.044970312748,2428.3937172838023,2393.0711186236804,2645.8854271321457,0.12238490552579237
10,1,18000,2172.9999999999995,2626.1089629894846,2423.7683040584056,2388.670016190702,2643.7603857677427,0.12238490552579236
10,1,18360,2172.9999999999995,2623.063766679503,2419.173619002667,2384.3080849131434,2641.5324215226774,0.12238490552579227
10,1,18720,2172.9999999999995,2619.910158178393,2414.610767399238,2379.986380543652,2639.2006879269625,0.1223849055257924
10,1,19080,2172.9999999999995,2616.6491286819933,2410.080845138245,2375.705927307245,2636.7645429437034,0.12238490552579263
10,1,19440,2172.9999999999995,2613.28189765986,2405.5849364474834,2371.46771386001,2634.2235522797596,0.12238490552579263
10,1,19800,2172.9999999999995,2609.8099087263868,2401.124111691201,2367.2727153029555,2631.577489069191,0.12238490552579263
10,1,20160,2172.9999999999995,2606.2347648017344,2396.699425377548,2363.1218612754164,2628.8263345420355,0.1223849055257927
10,1,20520,2172.9999999999995,2602.5582556460013,2392.311914487456,2359.0160560393656,2625.9702790189676,0.12238490552579251
10,1,20880,2172.9999999999995,2598.7824260040406,2387.9625956312325,2354.956167043964,2623.0097213852487,0.12238490552579259
10,1,21240,2172.9999999999995,2594.9094581008058,2383.6524639125896,2350.9430199379876,2619.945264567475,0.1223849055257926
10,1,21600,2172.9999999999995,2590.9417244142282,2379.3824908499037,2346.9774090143715,2616.7777119165958,0.12238490552579272
10,1,21960,2172.9999999999995,2586.881798221558,2375.1536222492423,2343.060091457281,2613.508064792311,0.12238490552579241
10,1,22320,2172.9999999999995,2582.7323342078193,2370.9667773529104,2339.1917813510677,2610.137522938712,0.12238490552579227
10,1,22680,2172.9999999999995,2578.49618753087,2366.822846650791,2335.373147831236,2606.6674809052834,0.12238490552579231
10,1,23040,2172.9999999999995,2574.176394732458,2362.722690418836,2331.60482792222,2603.0995181045914,0.12238490552579256
10,1,23400,2172.9999999999995,2569.776072516652,2358.6671376287404,2327.887414795774,2599.435393536895,0.12238490552579263
10,1,23760,2172.9999999999995,2565.2984470057127,2354.6569845853455,2324.22145449562,2595.6770427792253,0.12238490552579248
10,1,24120,2172.9999999999995,2560.746850528377,2350.692993982402,2320.6074566279262,2591.8265670094984,0.12238490552579227
10,1,24480,2172.9999999999995,2556.124729990306,2346.775893711123,2317.045881295636,2587.886228417148,0.12238490552579256
10,1,24840,2172.9999999999995,2551.4356699363925,2342.906375553173,2313.537142032541,2583.858444317089,0.1223849055257927
10,1,25200,2172.9999999999995,2546.683335351082,2339.085094388386,2310.0816235170464,2579.745777750062,0.12238490552579248
10,1,25560,2172.9999999999995,2541.8713833505117,2335.312667902344,2306.6796604178307,2575.5509299229784,0.12238490552579241
10,1,25920,2172.9999999999995,2537.0035578385387,2331.58967569444,2303.3315384440784,2571.276731223763,0.12238490552579244
10,1,26280,2172.9999999999995,2532.0837575260434,2327.9166580432525,2300.0375080705767,2566.9261335550377,0.12238490552579259
10,1,26640,2172.9999999999995,2527.115774470509,2324.294116754487,2296.797771404886,2562.502201107262,0.12238490552579255
10,1,27000,2172.9999999999995,2522.103463219684,2320.722514343795,2293.612489517909,2558.0081023578628,0.12238490552579248
10,1,27360,2172.9999999999995,2517.050806772158,2317.202272885273,2290.4817878542826,2553.447099360704,0.12238490552579247
10,1,27720,2172.9999999999995,2511.96168524511,2313.733775109246,2287.405745591347,2548.8225366322285,0.12238490552579263
10,1,28080,2172.9999999999995,2506.840064330547,2310.317363196803,2284.384396413085,2544.1378389559973,0.12238490552579255
10,1,28440,2172.9999999999995,2501.689959140941,2306.95333864222,2281.417738554628,2539.3964985599505,0.12238490552579259
10,1,28800,2172.9999999999995,2496.5151743636206,2303.6419642236838,2278.5057347319803,2534.6020636850294,0.1223849055257924
10,1,29160,2172.9999999999995,2491.3196020909504,2300.383462704056,2275.6483032623732,2529.758134575275,0.12238490552579259
10,1,29520,2172.9999999999995,2486.1071614825432,2297.1780170415914,2272.8453304781906,2524.868354524557,0.12238490552579241
10,1,29880,2172.9999999999995,2480.881642152925,2294.025771539609,2270.0966623489776,2519.9363985994664,0.12238490552579248
10,1,30240,2172.9999999999995,2475.646849428266,2290.9268314585174,2267.4021073123017,2514.9659627124333,0.12238490552579247
10,1,30600,2172.9999999999995,2470.406590652075,2287.8812633662596,2264.7614431063644,2509.9607545520503,0.12238490552579272
10,1,30960,2172.9999999999995,2465.16450125256,2284.8890967325456,2262.1744133864972,2504.924491398504,0.12238490552579241
10,1,31320,2172.9999999999995,2459.924222532273,2281.9503235229595,2259.6407300963433,2499.8608946027985,0.12238490552579225
10,1,31680,2172.9999999999995,2454.6893768566615,2279.064898642902,2257.160065924424,2494.77367357516,0.12238490552579227
10,1,32040,2172.9999999999995,2449.463362007034,2276.2327423742113,2254.732071228248,2489.666517569744,0.12238490552579227
10,1,32400,2172.9999999999995,2444.249596941258,2273.4537396999935,2252.356365242035,2484.5430963592476,0.1223849055257927
10,1,32760,2172.9999999999995,2439.0514497280624,2270.7277412746807,2250.03254437984,2479.4070489820197,0.12238490552579248
10,1,33120,2172.9999999999995,2433.872134314859,2268.0545647048875,2247.7601714459643,2474.2619780209698,0.12238490552579231
10,1,33480,2172.9999999999995,2428.7148280631145,2265.433994849075,2245.538779804195,2469.1114438623417,0.12238490552579247
10,1,33840,2172.9999999999995,2423.582623436698,2262.865785048754,2243.3678838169794,2463.9589557260633,0.12238490552579272
