% Model,LargeGraphiteBlockCharge_v3_mdotbnd_discharge_full.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 31 2023, 18:26"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
1,1,0,2172.9999999999995,2673.0000256058534,2672.958792003688,2659.0748899775003,2672.9999999999995,1.2238840442849903
1,1,36,2172.9999999999995,2658.5618007502258,2668.6168047362244,2496.406299907405,2673.000000058895,1.2238490557281674
1,1,72,2172.9999999999995,2620.635116725634,2664.1274155299525,2454.47294392821,2672.9995421842705,1.2238490552318126
1,1,108,2172.9999999999995,2596.1303656842915,2659.8936230872328,2433.301333958254,2672.9813871720457,1.2238490552578458
1,1,144,2172.9999999999995,2578.006784344027,2655.809537587104,2418.649917165183,2672.9216424135752,1.2238490552594254
1,1,180,2172.9999999999995,2564.2855236711885,2651.8548332242526,2408.0518760921545,2672.78198831133,1.223849055258117
1,1,216,2172.9999999999995,2553.16812351751,2647.9919683077947,2399.694465135109,2672.5546436069353,1.2238490552578367
1,1,252,2172.9999999999995,2543.7872347585912,2644.202809252058,2392.7634989444077,2672.222960815687,1.2238490552578505
1,1,288,2172.9999999999995,2535.9643876347054,2640.4884576411555,2387.0826328765193,2671.7589217138197,1.2238490552579109
1,1,324,2172.9999999999995,2529.3446141095724,2636.840881525125,2382.343067153516,2671.149435476999,1.2238490552579306
1,1,360,2172.9999999999995,2523.6170978393657,2633.247210090158,2378.2912860485044,2670.41040456996,1.2238490552579195
1,1,396,2172.9999999999995,2518.565092383841,2629.702514003129,2374.7446101521946,2669.5325468345595,1.2238490552579124
1,1,432,2172.9999999999995,2514.0431678554473,2626.2034369999797,2371.58374367261,2668.511029393379,1.2238490552579204
1,1,468,2172.9999999999995,2509.9542844073862,2622.7465434081696,2368.7329593219624,2667.3517242012304,1.2238490552579275
1,1,504,2172.9999999999995,2506.2129217173265,2619.3277052489716,2366.1273215342826,2666.0705986532485,1.2238490552579242
1,1,540,2172.9999999999995,2502.778736668841,2615.9448114680004,2363.736741805793,2664.6802871532727,1.2238490552579202
1,1,576,2172.9999999999995,2499.583316675385,2612.5945833481924,2361.5114294504915,2663.2002942166273,1.2238490552579238
1,1,612,2172.9999999999995,2496.593991380308,2609.275328364336,2359.426851792325,2661.640953795885,1.2238490552579242
1,1,648,2172.9999999999995,2493.79798132942,2605.990647991937,2357.472278780125,2660.0030532601313,1.2238490552579253
1,1,684,2172.9999999999995,2491.1403615400236,2602.734465977481,2355.6100371208854,2658.307035117308,1.2238490552579242
1,1,720,2172.9999999999995,2488.5926359742643,2599.504666863015,2353.8207617870735,2656.5634573843304,1.2238490552579233
1,1,756,2172.9999999999995,2486.1354283197334,2596.3001084825783,2352.0915409524832,2654.7798126077496,1.2238490552579233
1,1,792,2172.9999999999995,2483.7540263657734,2593.1199636974766,2350.4127572669827,2652.962189193383,1.2238490552579233
1,1,828,2172.9999999999995,2481.436633556118,2589.963563028216,2348.776807098929,2651.11573391301,1.2238490552579258
1,1,864,2172.9999999999995,2479.1736464648393,2586.8303433518154,2347.1775774023217,2649.244834466057,1.2238490552579238
1,1,900,2172.9999999999995,2476.957239914408,2583.7198231853913,2345.6102051243056,2647.353232692466,1.2238490552579224
1,1,936,2172.9999999999995,2474.7808011983484,2580.6315907252542,2344.070662496524,2645.4441155716277,1.2238490552579218
1,1,972,2172.9999999999995,2472.6389349011956,2577.5652882258787,2342.55574598029,2643.5201941937503,1.223849055257925
1,1,1008,2172.9999999999995,2470.527215670282,2574.520603749011,2341.0629519889317,2641.583773018645,1.2238490552579229
1,1,1044,2172.9999999999995,2468.4420878964384,2571.497263360245,2339.5901278385304,2639.6368103346845,1.2238490552579246
1,1,1080,2172.9999999999995,2466.380789513744,2568.495020107148,2338.135643676593,2637.680970649596,1.2238490552579215
1,1,1116,2172.9999999999995,2464.340958898372,2565.5136529623333,2336.698174309836,2635.71766985555,1.2238490552579218
1,1,1152,2172.9999999999995,2462.320729375694,2562.5529607105286,2335.2764692724472,2633.748113960428,1.2238490552579218
1,1,1188,2172.9999999999995,2460.318413771313,2559.612757996325,2333.869668248697,2631.7733321667497,1.2238490552579233
1,1,1224,2172.9999999999995,2458.3325956717545,2556.6928753665625,2332.4770022386606,2629.794205040967,1.2238490552579233
1,1,1260,2172.9999999999995,2456.3621911487194,2553.7931538704884,2331.097818839724,2627.811488361106,1.2238490552579218
1,1,1296,2172.9999999999995,2454.4062635685386,2550.913443915351,2329.7317055557487,2625.8258332925548,1.2238490552579233
1,1,1332,2172.9999999999995,2452.464288180339,2548.053602917267,2328.3781339570683,2623.837803363572,1.2238490552579242
1,1,1368,2172.9999999999995,2450.5356363840338,2545.213493582064,2327.0367986765564,2621.847888728542,1.223849055257921
1,1,1404,2172.9999999999995,2448.619924434402,2542.3929830232287,2325.7074521220525,2619.8565181731688,1.223849055257921
1,1,1440,2172.9999999999995,2446.716756978758,2539.5919439587037,2324.3896981167336,2617.8640691327314,1.2238490552579238
1,1,1476,2172.9999999999995,2444.8255402994605,2536.810252734422,2323.0833937683046,2615.8708761370744,1.2238490552579238
1,1,1512,2172.9999999999995,2442.946169081368,2534.047787877397,2321.788339891751,2613.8772378286567,1.2238490552579222
1,1,1548,2172.9999999999995,2441.078223289098,2531.304432851985,2320.50433053138,2611.8834228066457,1.2238490552579233
1,1,1584,2172.9999999999995,2439.2216978990646,2528.58006971095,2319.231247980617,2609.8896745109914,1.2238490552579238
1,1,1620,2172.9999999999995,2437.3765296756437,2525.8745832179384,2317.9688921962857,2607.896215192796,1.2238490552579229
1,1,1656,2172.9999999999995,2435.5423814435717,2523.1878604221,2316.7171777138833,2605.9032492896963,1.2238490552579218
1,1,1692,2172.9999999999995,2433.7194324193724,2520.5197863357425,2315.4760075340128,2603.910966189178,1.2238490552579233
1,1,1728,2172.9999999999995,2431.9071766783322,2517.8702525475555,2314.2452291259933,2601.9195425608727,1.2238490552579273
1,1,1764,2172.9999999999995,2430.105667321141,2515.2391476600083,2313.0247586606756,2599.929144316649,1.2238490552579246
1,1,1800,2172.9999999999995,2428.314879469805,2512.6263622222473,2311.8145425107477,2597.9399281239384,1.2238490552579242
1,1,1836,2172.9999999999995,2426.5345680476767,2510.0317899121005,2310.6144209699455,2595.9520427298726,1.2238490552579218
1,1,1872,2172.9999999999995,2424.765047269531,2507.4553196078928,2309.4242953837506,2593.9656299808016,1.2238490552579233
