% Model,LargeGraphiteBlockCharge_v3_Tinbnd_charge_skeleton.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 26 2022, 17:21"
% Table,Accumulated Probe Table 24 - 
% hours (h),init_T_add,max_T_add,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate","State variable TimeInt (J), Domain Probe 7",Global Variable Probe 1
5,0,0,0,2660.0377005831524,2160.0364409665426,2173.003357578453,2174.5559479667436,2173.000000000058,0.2447698110515844,10574.614200226859,5.2873004359916234E8
5,0,0,180,2672.0979187320745,2172.097918732074,2177.9333655725572,2238.280982458105,2173.0000173320454,0.2447698110515854,5297875.050197558,5.2873004359916234E8
5,0,0,360,2672.4433315005003,2172.4433315005012,2183.087516236657,2253.292805777671,2173.001811093042,0.24476981105158527,1.0585175486189172E7,5.2873004359916234E8
5,0,0,540,2672.835980303832,2173.156906814817,2188.2663640137384,2262.682499584459,2173.0148017597126,0.24476981105158496,1.5869077894736128E7,5.2873004359916234E8
5,0,0,720,2673.001453939248,2174.2614757634938,2193.4510590257555,2269.719788906437,2173.0484279437396,0.24476981105158496,2.114304780913402E7,5.2873004359916234E8
5,0,0,900,2673.0017216482556,2174.9524016034834,2198.6323335865495,2275.8613431023105,2173.109849518653,0.24476981105158513,2.6409728973230183E7,5.2873004359916234E8
5,0,0,1080,2673.0000003908062,2175.697654119013,2203.8076828609305,2281.500667372996,2173.204553166289,0.2447698110515852,3.1668502765657473E7,5.2873004359916234E8
5,0,0,1260,2673.0000190601477,2176.4949976004473,2208.9770134755063,2286.8889767255428,2173.3292321020394,0.24476981105158496,3.692030777974647E7,5.2873004359916234E8
5,0,0,1440,2673.0000920878383,2177.3362437244095,2214.139953929247,2292.1181190807433,2173.48383068527,0.24476981105158513,4.21652075254161E7,5.2873004359916234E8
5,0,0,1620,2672.9999983138773,2178.2286652766625,2219.294793230735,2297.236082291933,2173.6743317088985,0.2447698110515852,4.740151421885302E7,5.2873004359916234E8
5,0,0,1800,2672.999989509531,2179.180324856055,2224.4402488058486,2302.278785491362,2173.9045589423727,0.2447698110515852,5.262824716998405E7,5.2873004359916234E8
5,0,0,1980,2673.0000026269918,2180.1964936640697,2229.575420054533,2307.274004859059,2174.176454765291,0.24476981105158482,5.784462523506179E7,5.2873004359916234E8
5,0,0,2160,2673.0000015066503,2181.2815283129967,2234.6995245878497,2312.236224996257,2174.4914799314056,0.24476981105158518,6.304990246722373E7,5.2873004359916234E8
5,0,0,2340,2672.99999944594,2182.4388706820328,2239.811805256117,2317.171364061636,2174.8510751779145,0.2447698110515851,6.824332047610329E7,5.2873004359916234E8
5,0,0,2520,2672.999999857794,2183.6708855530305,2244.9114990989215,2322.081319328249,2175.256788702592,0.24476981105158535,7.342410006614685E7,5.2873004359916234E8
5,0,0,2700,2673.000000109688,2184.9790471958217,2249.997831128834,2326.9663170402355,2175.710272669589,0.24476981105158513,7.859144468468112E7,5.2873004359916234E8
5,0,0,2880,2673.0000000080645,2186.3642261470836,2255.070016960033,2331.825744667381,2176.2132339705386,0.24476981105158488,8.374454585252249E7,5.2873004359916234E8
5,0,0,3060,2672.9999999821175,2187.8269038914727,2260.1272665038864,2336.6584888424854,2176.7673801868723,0.24476981105158493,8.888258772498068E7,5.2873004359916234E8
5,0,0,3240,2673.000000001274,2189.3673165177192,2265.168786175317,2341.4631891406425,2177.3743777435648,0.2447698110515854,9.400475034022932E7,5.2873004359916234E8
5,0,0,3420,2673.000000002466,2190.985515651101,2270.1938050061917,2346.2388205461266,2178.035774222447,0.24476981105158488,9.911020901569925E7,5.2873004359916234E8
5,0,0,3600,2672.999999998323,2192.681433687704,2275.201635105939,2350.9848703440866,2178.7528741823176,0.24476981105158482,1.0419813037763019E8,5.2873004359916234E8
5,0,0,3780,2672.999999997768,2194.4549224292305,2280.191410709628,2355.7008491787865,2179.527256718072,0.24476981105158513,1.0926770533691423E8,5.2873004359916234E8
5,0,0,3960,2673.000000000161,2196.3057308266407,2285.1622803813666,2360.386373775179,2180.3603731680773,0.2447698110515854,1.1431811698380186E8,5.2873004359916234E8
5,0,0,4140,2673.0000000011005,2198.2334852099575,2290.1134270245666,2365.0408041451346,2181.2535085588042,0.2447698110515851,1.193485507457223E8,5.2873004359916234E8
5,0,0,4320,2673.0000000001173,2200.2376889007232,2295.0440568415806,2369.66314761131,2182.207809723308,0.24476981105158518,1.2435819618291582E8,5.2873004359916234E8
5,0,0,4500,2672.999999999443,2202.3177483951317,2299.9533888143615,2374.2519963594614,2183.2243128563805,0.24476981105158488,1.2934624841068512E8,5.2873004359916234E8
5,0,0,4680,2672.999999999816,2204.4729723368623,2304.8406480705466,2378.806048490755,2184.303956683599,0.24476981105158482,1.3431190926538283E8,5.2873004359916234E8
5,0,0,4860,2673.000000000247,2206.7025222868697,2309.7050631289753,2383.324751692805,2185.447585642044,0.24476981105158518,1.3925438873922008E8,5.2873004359916234E8
5,0,0,5040,2673.0000000001482,2209.0055029512273,2314.545867617141,2387.8081942934286,2186.6559484495406,0.24476981105158513,1.441729058445323E8,5.2873004359916234E8
5,0,0,5220,2672.999999999904,2211.3810328806817,2319.362302174578,2392.2568011179933,2187.929695396746,0.2447698110515854,1.4906668880241492E8,5.2873004359916234E8
5,0,0,5400,2672.999999999903,2213.8282024654864,2324.153619841337,2396.6701628156115,2189.269377561539,0.2447698110515852,1.5393497531758142E8,5.2873004359916234E8
5,0,0,5580,2673.0000000000296,2216.3458862134685,2328.9190888319145,2401.04686418722,2190.675449132701,0.24476981105158474,1.5877701421441236E8,5.2873004359916234E8
5,0,0,5760,2673.000000000057,2218.93271155638,2333.657992285928,2405.385137483167,2192.148270676578,0.24476981105158535,1.6359206771136433E8,5.2873004359916234E8
5,0,0,5940,2673.0000000000014,2221.587221807083,2338.369594758703,2409.684304976863,2193.6881183876453,0.24476981105158557,1.6837941528895578E8,5.2873004359916234E8
5,0,0,6120,2672.999999999994,2224.3080190152014,2343.0531070996267,2413.9446771829453,2195.2951910806514,0.24476981105158496,1.731383559436778E8,5.2873004359916234E8
