hours,max_ff,time,inlet_T,outlet_T,block_1,Sn_block_1,bottom_right_T,mass_flow,SOC,power
1,1,0.0,2673,2173.0,2173.0,2175.0,2173.0,1.2239,0.0,151763.6
1,1,36.0,2673,2188.1,2177.3,2346.9,2173.0,1.2238,0.010176789673331374,147168.31376000005
1,1,72.0,2673,2224.7,2181.8,2390.7,2173.0,1.2238,0.019818972817561693,136060.12592000008
1,1,108.0,2673,2250.6,2186.1,2413.6,2173.0,1.2238,0.02881538180136081,128199.41376000004
1,1,144.0,2673,2269.1,2190.2,2428.4,2173.1,1.2238,0.03735303282158961,122584.61936000004
1,1,180.0,2673,2283.5,2194.2,2439.5,2173.2,1.2238,0.04555074832376742,118214.1848
1,1,216.0,2673,2295.1,2198.1,2448.2,2173.4,1.2238,0.05347982177520585,114693.55696000003
1,1,252.0,2673,2304.6,2202.0,2455.2,2173.7,1.2238,0.06119088187008271,111810.28416000004
1,1,288.0,2673,2312.2,2205.7,2460.6,2174.1,1.2238,0.0687252581546656,109503.66592000006
1,1,324.0,2673,2318.7,2209.4,2465.2,2174.7,1.2238,0.0761139477886552,107530.90032000006
1,1,360.0,2673,2324.3,2213.0,2469.2,2175.4,1.2238,0.08337761554518532,105831.28687999996
1,1,396.0,2673,2329.4,2216.5,2472.7,2176.3,1.2238,0.09053072676544963,104283.42463999998
1,1,432.0,2673,2333.9,2220.1,2475.8,2177.4,1.2238,0.09758464707467168,102917.66383999998
1,1,468.0,2673,2337.9,2223.5,2478.6,2178.6,1.2238,0.1045507420980751,101703.65423999997
1,1,504.0,2673,2341.6,2227.0,2481.2,2179.9,1.2238,0.11143727774491341,100580.69536000004
1,1,540.0,2673,2345.0,2230.4,2483.5,2181.3,1.2238,0.11825045344712673,99548.7872
1,1,576.0,2673,2348.1,2233.7,2485.7,2182.8,1.2238,0.12499646863665521,98607.92976000003
1,1,612.0,2673,2351.1,2237.1,2487.8,2184.4,1.2238,0.1316794562681256,97697.42256000004
1,1,648.0,2673,2353.9,2240.4,2489.7,2186.1,1.2238,0.13830251605750798,96847.61583999998
1,1,684.0,2673,2356.5,2243.6,2491.6,2187.8,1.2238,0.1448697809594291,96058.5096
1,1,720.0,2673,2359.1,2246.9,2493.4,2189.6,1.2238,0.15138331745120234,95269.40336000004
1,1,756.0,2673,2361.5,2250.1,2495.1,2191.4,1.2238,0.1578451920101411,94540.9976
1,1,792.0,2673,2363.9,2253.3,2496.8,2193.2,1.2238,0.1642574711135587,93812.59183999998
1,1,828.0,2673,2366.2,2256.5,2498.4,2195.1,1.2238,0.17062118800011192,93114.53632000006
1,1,864.0,2673,2368.5,2259.6,2500.0,2197.0,1.2238,0.1769373759084574,92416.4808
1,1,900.0,2673,2370.7,2262.7,2501.5,2198.9,1.2238,0.18320706807725182,91748.77552000007
1,1,936.0,2673,2372.8,2265.8,2503.1,2200.8,1.2238,0.18943233098380854,91111.42047999996
1,1,972.0,2673,2375.0,2268.9,2504.6,2202.8,1.2238,0.19561316462812764,90443.7152
1,1,1008.0,2673,2377.1,2272.0,2506.1,2204.7,1.2238,0.20174956901020907,89806.36016000004
1,1,1044.0,2673,2379.2,2275.0,2507.5,2206.7,1.2238,0.2078425773687095,89169.00512000006
1,1,1080.0,2673,2381.2,2278.0,2509.0,2208.7,1.2238,0.21389322294228566,88562.00032000006
1,1,1116.0,2673,2383.3,2281.0,2510.4,2210.7,1.2238,0.21990150573093756,87924.64527999995
1,1,1152.0,2673,2385.3,2284.0,2511.8,2212.7,1.2238,0.22586742573466512,87317.64047999996
1,1,1188.0,2673,2387.3,2286.9,2513.2,2214.6,1.2238,0.2317920161921251,86710.63567999995
1,1,1224.0,2673,2389.3,2289.9,2514.6,2216.6,1.2238,0.23767527710331748,86103.63087999995
1,1,1260.0,2673,2391.3,2292.8,2516.0,2218.6,1.2238,0.2435172084682423,85496.62607999996
1,1,1296.0,2673,2393.2,2295.7,2517.4,2220.6,1.2238,0.24931884352555617,84919.97152000006
1,1,1332.0,2673,2395.2,2298.5,2518.7,2222.7,1.2238,0.2550801822752592,84312.96672000005
1,1,1368.0,2673,2397.1,2301.4,2520.1,2224.7,1.2238,0.26080122471735123,83736.31216000003
1,1,1404.0,2673,2399.0,2304.2,2521.4,2226.7,1.2238,0.26648300409048914,83159.6576
1,1,1440.0,2673,2400.9,2307.0,2522.7,2228.7,1.2238,0.27212552039467275,82583.00303999998
1,1,1476.0,2673,2402.8,2309.8,2524.0,2230.7,1.2238,0.27772877362990217,82006.34847999996
