% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_allhours.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 28 2023, 15:53"
% Table,Accumulated Probe Table 26 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
1,1,0,2673,2173,2173,2175,2173,1.2239
1,1,36,2673,2188.1,2177.3,2346.9,2173,1.2238
1,1,72,2673,2224.7,2181.8,2390.7,2173,1.2238
1,1,108,2673,2250.6,2186.1,2413.6,2173,1.2238
1,1,144,2673,2269.1,2190.2,2428.4,2173.1,1.2238
1,1,180,2673,2283.5,2194.2,2439.5,2173.2,1.2238
1,1,216,2673,2295.1,2198.1,2448.2,2173.4,1.2238
1,1,252,2673,2304.6,2202,2455.2,2173.7,1.2238
1,1,288,2673,2312.2,2205.7,2460.6,2174.1,1.2238
1,1,324,2673,2318.7,2209.4,2465.2,2174.7,1.2238
1,1,360,2673,2324.3,2213,2469.2,2175.4,1.2238
1,1,396,2673,2329.4,2216.5,2472.7,2176.3,1.2238
1,1,432,2673,2333.9,2220.1,2475.8,2177.4,1.2238
1,1,468,2673,2337.9,2223.5,2478.6,2178.6,1.2238
1,1,504,2673,2341.6,2227,2481.2,2179.9,1.2238
1,1,540,2673,2345,2230.4,2483.5,2181.3,1.2238
1,1,576,2673,2348.1,2233.7,2485.7,2182.8,1.2238
1,1,612,2673,2351.1,2237.1,2487.8,2184.4,1.2238
1,1,648,2673,2353.9,2240.4,2489.7,2186.1,1.2238
1,1,684,2673,2356.5,2243.6,2491.6,2187.8,1.2238
1,1,720,2673,2359.1,2246.9,2493.4,2189.6,1.2238
1,1,756,2673,2361.5,2250.1,2495.1,2191.4,1.2238
1,1,792,2673,2363.9,2253.3,2496.8,2193.2,1.2238
1,1,828,2673,2366.2,2256.5,2498.4,2195.1,1.2238
1,1,864,2673,2368.5,2259.6,2500,2197,1.2238
1,1,900,2673,2370.7,2262.7,2501.5,2198.9,1.2238
1,1,936,2673,2372.8,2265.8,2503.1,2200.8,1.2238
1,1,972,2673,2375,2268.9,2504.6,2202.8,1.2238
1,1,1008,2673,2377.1,2272,2506.1,2204.7,1.2238
1,1,1044,2673,2379.2,2275,2507.5,2206.7,1.2238
