% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_allhours_2.mph
% Version,COMSOL 6.0.0.405
% Date,"Jan 17 2024, 13:15"
% Table,Accumulated Probe Table 26 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
1,1,0,2673,2173.0000044123867,2173.0023974357814,2175.038269679355,2172.999999999999,1.2238508761731914
1,1,36,2673,2188.1412938748704,2177.333611678067,2346.854506389398,2173.0000005656725,1.2238490552579222
1,1,72,2673,2224.7102807330584,2181.845378434406,2390.6910284662863,2173.0013094816345,1.2238490552579242
1,1,108,2673,2250.626415582649,2186.1317920191896,2413.5767412576224,2173.014410310177,1.2238490552579246
1,1,144,2673,2269.1213245488034,2190.247514768841,2428.4441827478995,2173.068037612018,1.2238490552579218
1,1,180,2673,2283.486927205892,2194.2454728778125,2439.517522037893,2173.1849637258542,1.223849055257921
1,1,216,2673,2295.0547453308036,2198.146004010728,2448.200608441372,2173.391643148941,1.2238490552579218
1,1,252,2673,2304.5985053886516,2201.9683947569074,2455.197994214931,2173.68943003915,1.2238490552579238
1,1,288,2673,2312.1954576997,2205.705213110449,2460.620358143816,2174.1150280316724,1.2238490552579246
1,1,324,2673,2318.6755201690266,2209.376095541208,2465.2003791825664,2174.685647354894,1.2238490552579253
1,1,360,2673,2324.3462261333893,2212.9880184915983,2469.193615359317,2175.419318234424,1.2238490552579269
1,1,396,2673,2329.3726625520158,2216.5474334820506,2472.7189026031147,2176.3191894015736,1.2238490552579233
1,1,432,2673,2333.859141161822,2220.0599120473325,2475.847769617419,2177.376572130753,1.223849055257921
1,1,468,2673,2337.8970743692603,2223.530076809395,2478.6496465064088,2178.5755380358905,1.2238490552579238
1,1,504,2673,2341.572429046604,2226.9617119188065,2481.1937026672645,2179.8974445551685,1.223849055257925
1,1,540,2673,2344.961763070052,2230.358155578032,2483.540894403569,2181.3229478419307,1.2238490552579222
1,1,576,2673,2348.11990019682,2233.722014396254,2485.7325992703727,2182.836187316159,1.2238490552579218
1,1,612,2673,2351.0745968040637,2237.054693200292,2487.7870916168745,2184.4283109023613,1.2238490552579262
1,1,648,2673,2353.86818071686,2240.3581584582553,2489.733614109909,2186.086921235153,1.223849055257926
1,1,684,2673,2356.534105301267,2243.634088012502,2491.5956753029664,2187.8009199063868,1.2238490552579226
1,1,720,2673,2359.0675151199025,2246.877569780729,2493.3702977431685,2189.5722368494576,1.2238490552579224
1,1,756,2673,2361.516536273245,2250.0961345017545,2495.0893845641576,2191.3810076313302,1.223849055257922
1,1,792,2673,2363.8896488557994,2253.2895387081658,2496.7582451742633,2193.223821553402,1.2238490552579215
