% Model,LargeGraphiteBlockCharge_v3_rad_spacing.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 27 2022, 14:38"
% Table,Accumulated Probe Table 24 - 
% hours (h),rad_spac (m),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1,"Temperature (K), G_block"
5,0.001,0,2673,2173.0000008439333,2173.0000658226036,2174.574103282115,2173,0.24229780732909909,5.233893360880596E8,2173.356097219253
5,0.001,90,2673,2173.0000098476876,2175.218933073313,2206.578427418458,2173.000000003401,0.24229738871773224,5.233893360880596E8,2202.797518937106
5,0.001,180,2673,2173.0000172927607,2177.776957666745,2215.5303205010705,2173.000000078912,0.24229738871773196,5.233893360880596E8,2211.7168526464143
5,0.001,270,2673,2173.0000415280824,2180.455128551359,2222.5357176030966,2173.000000306069,0.24229738871773224,5.233893360880596E8,2218.7095459895813
5,0.001,360,2673,2173.0001586113144,2183.1241765618174,2227.8074816076924,2173.0000010070694,0.24229738871773224,5.233893360880596E8,2223.965160102155
5,0.001,450,2673,2173.0005103518097,2185.775301913129,2231.984269275414,2173.000003359134,0.24229738871773185,5.233893360880596E8,2228.1322644296
5,0.001,540,2673,2173.0013928811577,2188.402220584091,2235.474418259922,2173.0000105402723,0.24229738871773232,5.233893360880596E8,2231.615819262284
5,0.001,630,2673,2173.003463980233,2191.000133661913,2238.4449577347505,2173.000030954729,0.2422973887177319,5.233893360880596E8,2234.582352034156
5,0.001,720,2673,2173.0059654868905,2193.6013462671226,2241.372281318021,2173.0000713103063,0.24229738871773224,5.233893360880596E8,2237.5087752824243
5,0.001,810,2673,2173.009952991328,2196.211520919166,2244.102483335468,2173.0001536757036,0.24229738871773215,5.233893360880596E8,2240.238111338967
5,0.001,900,2673,2173.0149516033216,2198.8203194831835,2246.771826405692,2173.0002867678804,0.24229738871773193,5.233893360880596E8,2242.906975393661
5,0.001,990,2673,2173.0215744668812,2201.4298042631326,2249.3585996025663,2173.0004965977846,0.24229738871773232,5.233893360880596E8,2245.493480642323
5,0.001,1080,2673,2173.030156877332,2204.035938482212,2251.884240412767,2173.000812704491,0.24229738871773185,5.233893360880596E8,2248.019348825232
5,0.001,1170,2673,2173.0414378541464,2206.637239252599,2254.356937690467,2173.0012719092147,0.24229738871773193,5.233893360880596E8,2250.4922397111945
5,0.001,1260,2673,2173.055962836992,2209.2324326264525,2256.7918353328805,2173.0019215981024,0.24229738871773232,5.233893360880596E8,2252.926990927105
5,0.001,1350,2673,2173.0744991886377,2211.8211679794144,2259.201681733676,2173.0028218871025,0.2422973887177329,5.233893360880596E8,2255.336563575812
5,0.001,1440,2673,2173.1021036162315,2214.402318189121,2261.5935945211377,2173.004126205356,0.24229738871773215,5.233893360880596E8,2257.7289960914404
5,0.001,1530,2673,2173.138906405167,2216.9779767254927,2263.9829719831064,2173.0059368238904,0.24229738871773235,5.233893360880596E8,2260.1193685770445
5,0.001,1620,2673,2173.18497147668,2219.5497171257866,2266.3809812143536,2173.0084328446724,0.24229738871773193,5.233893360880596E8,2262.5177756420053
5,0.001,1710,2673,2173.2403280162775,2222.1190152661843,2268.791921644824,2173.0118276105422,0.24229738871773268,5.233893360880596E8,2264.9291329687067
5,0.001,1800,2673,2173.304875157419,2224.6869721055773,2271.2162708213273,2173.0163554468354,0.24229738871773215,5.233893360880596E8,2267.3548173665995
5,0.001,1890,2673,2173.3783893817144,2227.2543386961893,2273.654490990735,2173.0222602169456,0.24229738871773215,5.233893360880596E8,2269.7941792141114
5,0.001,1980,2673,2173.460534738993,2229.8216064009357,2276.104992247575,2173.029786320067,0.24229738871773215,5.233893360880596E8,2272.2452579821247
5,0.001,2070,2673,2173.5509130100463,2232.388987586925,2278.564402674609,2173.0391719433405,0.24229738871773163,5.233893360880596E8,2274.7054472599757
5,0.001,2160,2673,2173.649156000225,2234.956434967127,2281.0296030949376,2173.0506441366742,0.24229738871773215,5.233893360880596E8,2277.172196896791
5,0.001,2250,2673,2173.762166214679,2237.5253811193234,2283.5105442215936,2173.064557997087,0.24229738871773224,5.233893360880596E8,2279.6538236598326
5,0.001,2340,2673,2173.8797193601686,2240.093407432767,2285.9852097093008,2173.0809405157784,0.24229738871773224,5.233893360880596E8,2282.129392861789
5,0.001,2430,2673,2174.002376460779,2242.6603772983085,2288.456848355348,2173.1000878408204,0.24229738871773224,5.233893360880596E8,2284.6027968040644
5,0.001,2520,2673,2174.1383698456307,2245.227314340463,2290.9366230349215,2173.1223574060805,0.24229738871773215,5.233893360880596E8,2287.083290625617
5,0.001,2610,2673,2174.2807535759152,2247.7929632667556,2293.411247506959,2173.1476154085904,0.24229738871773202,5.233893360880596E8,2289.559056420637
5,0.001,2700,2673,2174.4308529724335,2250.357390401996,2295.8839128643986,2173.1761694218667,0.24229738871773185,5.233893360880596E8,2292.0336360551137
5,0.001,2790,2673,2174.598945708626,2252.9216592305493,2298.3647526969094,2173.2084047161406,0.24229738871773196,5.233893360880596E8,2294.5154889146443
5,0.001,2880,2673,2174.774934163319,2255.484541377422,2300.8407390809366,2173.2441827911894,0.24229738871773196,5.233893360880596E8,2296.9928965954523
5,0.001,2970,2673,2174.959968461685,2258.0460741066017,2303.314879511594,2173.2838784807345,0.24229738871773226,5.233893360880596E8,2299.4691092368835
5,0.001,3060,2673,2175.165360993865,2260.607189582505,2305.7961453232374,2173.3279436739126,0.24229738871773215,5.233893360880596E8,2301.951727206941
5,0.001,3150,2673,2175.3793650117586,2263.166772750101,2308.272569436214,2173.376255263109,0.2422973887177323,5.233893360880596E8,2304.429870987448
5,0.001,3240,2673,2175.6031206628295,2265.7248529587596,2310.7469905834937,2173.429234359365,0.24229738871773185,5.233893360880596E8,2306.9065545236926
5,0.001,3330,2673,2175.8486415488032,2268.2822352294493,2313.227205417329,2173.4873708710757,0.24229738871773224,5.233893360880596E8,2309.3884764884056
5,0.001,3420,2673,2176.1034451290343,2270.8379271234876,2315.702606502846,2173.55053539135,0.24229738871773177,5.233893360880596E8,2311.8659011284435
5,0.001,3510,2673,2176.3688508451514,2273.3919516222213,2318.175794504091,2173.619171920058,0.2422973887177327,5.233893360880596E8,2314.341585543359
5,0.001,3600,2673,2176.6575119435483,2275.94498332392,2320.6534732140212,2173.693804506315,0.2422973887177325,5.233893360880596E8,2316.821345502946
5,0.001,3690,2673,2176.9564333547087,2278.496160096878,2323.1263964049263,2173.7742664811785,0.24229738871773226,5.233893360880596E8,2319.2966183585477
5,0.001,3780,2673,2177.267018230985,2281.045489648729,2325.5968455134866,2173.8610330074303,0.2422973887177318,5.233893360880596E8,2321.7698469539628
5,0.001,3870,2673,2177.591743963046,2283.5930507228345,2328.066888281815,2173.9543590079015,0.2422973887177319,5.233893360880596E8,2324.242422344072
5,0.001,3960,2673,2177.932387919011,2286.1389036994406,2330.5364617842692,2174.0544850522456,0.24229738871773263,5.233893360880596E8,2326.714534337005
5,0.001,4050,2673,2178.2901353234506,2288.6830120262384,2333.004806803718,2174.161662469697,0.24229738871773196,5.233893360880596E8,2329.185880598999
5,0.001,4140,2673,2178.665650001576,2291.225278463027,2335.4718071730576,2174.276164635246,0.2422973887177318,5.233893360880596E8,2331.6560247679836
5,0.001,4230,2673,2179.070358671673,2293.765887489965,2337.9401524737887,2174.398806267041,0.24229738871773224,5.233893360880596E8,2334.1272813788323
5,0.001,4320,2673,2179.4887103346537,2296.3041890897694,2340.402536012841,2174.529056593214,0.2422973887177323,5.233893360880596E8,2336.592966018527
5,0.001,4410,2673,2179.9207671928043,2298.8400313806064,2342.8607574312805,2174.667684895559,0.24229738871773224,5.233893360880596E8,2339.0548350271865
5,0.001,4500,2673,2180.3811528072542,2301.3736213707425,2345.31870011801,2174.8153635763174,0.24229738871773224,5.233893360880596E8,2341.516192415676
5,0.001,4590,2673,2180.853806370453,2303.9045333692698,2347.771226307809,2174.9718750069837,0.24229738871773215,5.233893360880596E8,2343.9723599107506
5,0.001,4680,2673,2181.340348374773,2306.4327585596907,2350.220082501747,2175.1377794970185,0.24229738871773226,5.233893360880596E8,2346.425242031248
5,0.001,4770,2673,2181.857204012185,2308.958575098223,2352.669089208923,2175.313765100529,0.24229738871773202,5.233893360880596E8,2348.8781393114664
5,0.001,4860,2673,2182.3868840907926,2311.4815315814276,2355.1126369603394,2175.499451040387,0.24229738871773215,5.233893360880596E8,2351.3257796560247
5,0.001,4950,2673,2182.93117454524,2314.001582955555,2357.5523181073554,2175.6954425267904,0.24229738871773282,5.233893360880596E8,2353.769894315192
5,0.001,5040,2673,2183.4932378746707,2316.5187555655607,2359.9894670908598,2175.902002931786,0.24229738871773226,5.233893360880596E8,2356.211388444013
5,0.001,5130,2673,2184.0752933696967,2319.0330494822547,2362.4239280129764,2176.119370977879,0.24229738871773188,5.233893360880596E8,2358.6502757914463
5,0.001,5220,2673,2184.678733749532,2321.544388673798,2364.8550477295094,2176.347796971368,0.24229738871773224,5.233893360880596E8,2361.086197065124
5,0.001,5310,2673,2185.3042285286597,2324.0526483668505,2367.282563429185,2176.587558187788,0.24229738871773196,5.233893360880596E8,2363.5186851399003
5,0.001,5400,2673,2185.96529289831,2326.5576473945807,2369.7072020502287,2176.8397097607094,0.24229738871773226,5.233893360880596E8,2365.9482700629555
5,0.001,5490,2673,2186.6428071706305,2329.059176047192,2372.124965103984,2177.103311352192,0.24229738871773185,5.233893360880596E8,2368.3712961240317
5,0.001,5580,2673,2187.336673618853,2331.557015449743,2374.5370765672083,2177.3793502913873,0.24229738871773224,5.233893360880596E8,2370.788942507191
5,0.001,5670,2673,2188.0642384186476,2334.0510100230586,2376.944912484924,2177.6686400903636,0.24229738871773193,5.233893360880596E8,2373.202290687322
5,0.001,5760,2673,2188.806107894677,2336.541104279799,2379.346413520562,2177.9707269214164,0.24229738871773202,5.233893360880596E8,2375.6094992608682
5,0.001,5850,2673,2189.564167084831,2339.0272281167286,2381.7427457909616,2178.2862713143263,0.24229738871773224,5.233893360880596E8,2378.011844469311
5,0.001,5940,2673,2190.357822077112,2341.509280879899,2384.1352666857692,2178.616112191344,0.24229738871773263,5.233893360880596E8,2380.4104124595524
5,0.001,6030,2673,2191.1660773795684,2343.9872122920756,2386.5214207756935,2178.9595429106575,0.2422973887177319,5.233893360880596E8,2382.8027979251365
5,0.001,6120,2673,2191.99096852014,2346.460909039466,2388.9022191827203,2179.317290730281,0.24229738871773232,5.233893360880596E8,2385.1901025453526
5,0.001,6210,2673,2192.8361660024416,2348.9303530112093,2391.2784205291077,2179.6895922911226,0.24229738871773235,5.233893360880596E8,2387.572824862468
5,0.001,6300,2673,2193.7041886127795,2351.3954966794654,2393.649778262656,2180.0766498720272,0.24229738871773215,5.233893360880596E8,2389.950831155764
5,0.001,6390,2673,2194.596527958916,2353.856232686071,2396.0156979978537,2180.478678133536,0.24229738871773215,5.233893360880596E8,2392.323720018721
5,0.001,6480,2673,2195.5137470630275,2356.3124157706734,2398.375836528363,2180.895922395834,0.24229738871773163,5.233893360880596E8,2394.6910197733146
5,0.001,6570,2673,2196.470956375779,2358.763532369218,2400.7292907889578,2181.3296438059488,0.24229738871773232,5.233893360880596E8,2397.0517407149564
5,0.001,6660,2673,2197.4460854834288,2361.209803944002,2403.07485119896,2181.778440294186,0.2422973887177323,5.233893360880596E8,2399.404836089812
5,0.001,6750,2673,2198.438851701732,2363.6509385981963,2405.4132849859743,2182.243481982539,0.24229738871773215,5.233893360880596E8,2401.7510362627822
5,0.001,6840,2673,2199.4684556032353,2366.08646448458,2407.7439001780353,2182.7256753945817,0.24229738871773232,5.233893360880596E8,2404.0895105426407
5,0.001,6930,2673,2200.513165734643,2368.5166840814827,2410.067272636179,2183.224296594328,0.24229738871773235,5.233893360880596E8,2406.4209269574467
5,0.001,7020,2673,2201.5750213374017,2370.9414702854865,2412.384059212287,2183.740061829941,0.24229738871773202,5.233893360880596E8,2408.7460068591035
5,0.001,7110,2673,2202.675416206762,2373.3603697915855,2414.693487519323,2184.273957281849,0.24229738871773196,5.233893360880596E8,2411.0638580287346
5,0.001,7200,2673,2203.791055945524,2375.7737436502293,2416.9956566091214,2184.824834310618,0.24229738871773185,5.233893360880596E8,2413.3746296562763
5,0.001,7290,2673,2204.9240099231033,2378.1813988680783,2419.291050076957,2185.393541059391,0.24229738871773263,5.233893360880596E8,2415.6788547519454
5,0.001,7380,2673,2206.096466678028,2380.5828033126536,2421.578255411626,2185.980957179131,0.24229738871773224,5.233893360880596E8,2417.9750410790616
5,0.001,7470,2673,2207.2839546561513,2382.978343211443,2423.857982802763,2186.5861048891497,0.24229738871773254,5.233893360880596E8,2420.263923287551
5,0.001,7560,2673,2208.488808102582,2385.3678311851,2426.1305722020043,2187.2097353964123,0.24229738871773224,5.233893360880596E8,2422.54588363217
5,0.001,7650,2673,2209.7151169380345,2387.7511998552277,2428.3961847977007,2187.8520083530043,0.24229738871773215,5.233893360880596E8,2424.82095318734
5,0.001,7740,2673,2210.951494657809,2390.1294043794164,2430.6548098179896,2188.509885110169,0.2422973887177323,5.233893360880596E8,2427.089090417712
5,0.001,7830,2673,2212.222323972887,2392.5004342542197,2432.9071231867406,2189.189548067975,0.24229738871773257,5.233893360880596E8,2429.3512452177442
5,0.001,7920,2673,2213.5231562974222,2394.865040947386,2435.1507746336665,2189.888257831159,0.24229738871773226,5.233893360880596E8,2431.6049862834097
5,0.001,8010,2673,2214.87950599866,2397.2219569813865,2437.380880078991,2190.6070426161345,0.2422973887177319,5.233893360880596E8,2433.8454381746533
5,0.001,8100,2673,2216.248592797514,2399.572038544508,2439.6017804184,2191.344749690878,0.2422973887177319,5.233893360880596E8,2436.0768849498104
5,0.001,8190,2673,2217.630540181685,2401.915026107053,2441.814033239393,2192.102450253879,0.24229738871773215,5.233893360880596E8,2438.299862007809
5,0.001,8280,2673,2219.0442601894115,2404.2500452917957,2444.015605956596,2192.8818787406613,0.24229738871773168,5.233893360880596E8,2440.512267695853
5,0.001,8370,2673,2220.473816800764,2406.57818266892,2446.2090270748745,2193.6803542900025,0.24229738871773215,5.233893360880596E8,2442.7167240500903
5,0.001,8460,2673,2221.920826297043,2408.8990333649745,2448.394383038873,2194.4992840015443,0.2422973887177325,5.233893360880596E8,2444.9133138000634
5,0.001,8550,2673,2223.409039250466,2411.2116803231393,2450.568390526548,2195.339819422258,0.2422973887177319,5.233893360880596E8,2447.098729701096
5,0.001,8640,2673,2224.910560179778,2413.5170515267587,2452.7342637702136,2196.200212406155,0.24229738871773185,5.233893360880596E8,2449.2761866942324
5,0.001,8730,2673,2226.427494084851,2415.814847568271,2454.8919178160745,2197.0814469746947,0.24229738871773257,5.233893360880596E8,2451.4456062372296
5,0.001,8820,2673,2227.982153159858,2418.104134005639,2457.037875894818,2197.9846385360715,0.24229738871773215,5.233893360880596E8,2453.603494176917
5,0.001,8910,2673,2229.551216379651,2420.385849868631,2459.175453401486,2198.9080082264236,0.24229738871773193,5.233893360880596E8,2455.7531779457554
5,0.001,9000,2673,2231.1366927108184,2422.6596697381706,2461.3043918129347,2199.852501252914,0.24229738871773215,5.233893360880596E8,2457.894401512348
5,0.001,9090,2673,2232.760937351812,2424.9245424157193,2463.420603985235,2200.819233356527,0.24229738871773202,5.233893360880596E8,2460.0230792763473
5,0.001,9180,2673,2234.3991789495135,2427.181513150886,2465.5281689046387,2201.8063940749576,0.24229738871773224,5.233893360880596E8,2462.143283418353
5,0.001,9270,2673,2236.0532348934935,2429.4302402878625,2467.626756690721,2202.814943198916,0.24229738871773263,5.233893360880596E8,2464.2546809415517
5,0.001,9360,2673,2237.745908893874,2431.669574577036,2469.7117149106675,2203.84599228968,0.24229738871773232,5.233893360880596E8,2466.3526312549325
5,0.001,9450,2673,2239.451709072379,2433.900679060652,2471.787941618661,2204.897715548483,0.24229738871773254,5.233893360880596E8,2468.442021221252
5,0.001,9540,2673,2241.1725031691717,2436.1232098092364,2473.855034841359,2205.971052651954,0.24229738871773193,5.233893360880596E8,2470.522433720917
5,0.001,9630,2673,2242.930110610004,2438.336065011852,2475.9081368811208,2207.0668568266706,0.2422973887177319,5.233893360880596E8,2472.589032469695
5,0.001,9720,2673,2244.7005234122544,2440.540318824248,2477.952436576704,2208.1837174382144,0.24229738871773224,5.233893360880596E8,2474.64699499606
5,0.001,9810,2673,2246.485824294925,2442.73568768529,2479.987414713462,2209.3223329202897,0.2422973887177319,5.233893360880596E8,2476.6957854143357
5,0.001,9900,2673,2248.289872844511,2444.922069710331,2482.012574577993,2210.4826889022106,0.24229738871773204,5.233893360880596E8,2478.7348618150636
5,0.001,9990,2673,2250.115139230124,2447.099334133217,2484.027371451933,2211.66472354429,0.24229738871773215,5.233893360880596E8,2480.763720995471
5,0.001,10080,2673,2251.9628135587636,2449.267328535173,2486.031264463877,2212.8683877035437,0.24229738871773257,5.233893360880596E8,2482.78187899731
5,0.001,10170,2673,2253.8329859775736,2451.425891596427,2488.023872886469,2214.093665277856,0.24229738871773268,5.233893360880596E8,2484.788924231475
