% Model,LargeGraphiteBlockCharge_v3_rad_spacing_2.mph
% Version,COMSOL 6.0.0.405
% Date,"Feb 22 2023, 18:24"
% Table,Accumulated Probe Table 24 - 
% hours (h),rad_spac (m),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1,"Temperature (K), G_block"
5,0.02,0,2672.9999999999995,2173.0000008467346,2173.00006124123,2174.573885405008,2173,0.24229756269282782,5.233893360880596E8,2173.3563473901936
5,0.02,90,2672.9999999999995,2173.000067642752,2175.2722160627936,2201.867523469846,2173.0000007870162,0.24229738871773088,5.233893360880596E8,2198.039037708237
5,0.02,180,2672.9999999999995,2173.0001100698264,2177.8450195140013,2208.575667728687,2173.0000099226822,0.24229738871773077,5.233893360880596E8,2204.720942415226
5,0.02,270,2672.9999999999995,2173.000150475736,2180.4647031449786,2213.52123613876,2173.000029032224,0.2422973887177304,5.233893360880596E8,2209.657935515446
5,0.02,360,2672.9999999999995,2173.0002088192914,2183.1322606930994,2217.492601563653,2173.000056138889,0.24229738871773077,5.233893360880596E8,2213.6237826285283
5,0.02,450,2672.9999999999995,2173.0002840791985,2185.8563287780858,2221.1548855114925,2173.0000879701756,0.24229738871773046,5.233893360880596E8,2217.2844997516972
5,0.02,540,2672.9999999999995,2173.0004127687384,2188.5788894345533,2224.3039764174046,2173.0001244069226,0.2422973887177306,5.233893360880596E8,2220.430059321088
5,0.02,630,2672.9999999999995,2173.000669600821,2191.2514717971653,2226.98538607908,2173.000165803864,0.24229738871773082,5.233893360880596E8,2223.108128156653
5,0.02,720,2672.9999999999995,2173.00099015276,2193.909826894753,2229.5881928069434,2173.0002123699173,0.24229738871773063,5.233893360880596E8,2225.71021943852
5,0.02,810,2672.9999999999995,2173.0015063550723,2196.5448128840194,2232.052193670303,2173.0002687350807,0.24229738871773027,5.233893360880596E8,2228.174013977318
