% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 11 2022, 21:31"
% Table,Probe Table 1 - 
% discharge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T"
20,0,2173,2672.9999999999964,2671.933039359131,2172.9999999999986,2673.000000000004,2173.000000000002,2672.999999999997,2672.9996958068523,2672.999999886808,2672.999999999943
20,720,2173,2672.9952625807573,2580.159851233511,2172.9999999999986,2672.9953101653723,2173.000000000002,2672.9953510221444,2598.6755521915184,2615.377620567702,2672.994221991205
20,1440,2173,2672.9839897784723,2508.2257316897535,2172.9999999999986,2672.984068838411,2173.000000000002,2672.984133640639,2535.7920856400806,2562.539997254978,2672.9816157437676
20,2160,2173,2672.968253473736,2446.8015697304977,2172.9999999999986,2672.968362121277,2173.000000000002,2672.9684483297488,2480.1595234527304,2514.2059341595163,2672.964106945898
20,2880,2173,2672.937484756017,2409.5907241575987,2172.9999999999986,2672.937682167839,2173.0000000000014,2672.937840062334,2443.508188599934,2478.4362686835602,2672.9288500054577
20,3600,2173,2672.898732065172,2379.439370442487,2172.9999999999986,2672.8989840592503,2173.000000000002,2672.8991855275535,2412.3593946430747,2447.0425565191435,2672.884437464019
20,4320,2173,2672.8550757472613,2354.664462056521,2172.9999999999986,2672.855372542642,2173.000000000002,2672.8556062203265,2385.4651942360656,2419.014336512343,2672.8342409030574
20,5040,2173,2672.803837344823,2336.542191522905,2172.9999999999986,2672.8041843058118,2173.000000000002,2672.8044540891856,2364.4258189406123,2396.2227733419936,2672.7744862503923
20,5760,2173,2672.7457857833424,2322.921570857117,2172.9999999999986,2672.7461768386324,2173.000000000002,2672.7464791885363,2347.8613413174294,2377.688588745657,2672.7060572807936
20,6480,2173,2672.681789139128,2312.1192213173695,2172.9999999999986,2672.682229433305,2173.000000000002,2672.682568272301,2334.2909504812196,2362.1671118435106,2672.630106591833
20,7200,2173,2672.6137891047556,2303.0237326178485,2172.9999999999986,2672.614263970576,2173.000000000002,2672.6146258142503,2322.5280983190423,2348.4107311999755,2672.549761764663
20,7920,2173,2672.540794852551,2295.38471192243,2172.9999999999986,2672.5413059281145,2173.000000000002,2672.5416917280445,2312.5183010119736,2336.456797481964,2672.464048718307
20,8640,2173,2672.462470936726,2288.1311511842127,2172.9999999999986,2672.4630371744847,2173.000000000002,2672.463466342834,2303.403128486585,2325.5874367818333,2672.3725261504283
20,9360,2173,2672.376674030671,2281.337173870049,2172.9999999999986,2672.377302844484,2173.000000000002,2672.3777824596355,2295.346257118273,2316.012216573206,2672.273412934836
20,10080,2173,2672.2792542669526,2275.0032388107,2172.9999999999986,2672.2799649749077,2173.000000000002,2672.2805112615265,2288.1360483523463,2307.5182028371432,2672.1629706851268
20,10800,2173,2672.1681596733174,2269.105123602984,2172.9999999999986,2672.1689659652116,2173.000000000002,2672.169593960005,2281.573124053548,2299.875153345439,2672.0393351389703
20,11520,2173,2672.0404398678725,2263.676053498246,2172.9999999999986,2672.041355986943,2173.000000000002,2672.04207850116,2275.527136996187,2292.908601463503,2671.8999310647173
20,12240,2173,2671.884390381606,2259.3642292656878,2172.9999999999986,2671.88551145696,2173.000000000002,2671.886415957712,2270.156326408765,2286.4453043438334,2671.7312947144433
20,12960,2173,2671.69436257747,2256.110456078656,2172.9999999999986,2671.6957145744336,2173.000000000002,2671.696822713741,2265.413489154358,2280.4096624159756,2671.528974949261
20,13680,2173,2671.466823361458,2253.587275021827,2172.9999999999986,2671.468411856302,2173.000000000002,2671.4697249083683,2261.194295535978,2274.7743249377,2671.2901208838507
20,14400,2173,2671.1987689178623,2250.3550025947166,2172.9999999999986,2671.2006160692226,2173.000000000002,2671.202150994689,2257.139546937921,2269.6873641411216,2671.0131573661833
20,15120,2173,2670.891037560651,2246.5727107402054,2172.9999999999986,2670.893125904426,2173.000000000002,2670.8948712658857,2253.2262388724575,2265.1379954827707,2670.7010479652986
20,15840,2173,2670.5397631710025,2242.981025369522,2172.9999999999986,2670.54213139476,2173.000000000002,2670.5441204597437,2249.4682312434416,2260.8206093648564,2670.350917741552
20,16560,2173,2670.1536883641875,2239.502321161458,2172.9999999999986,2670.156219113824,2173.000000000002,2670.158345711618,2245.8190289211616,2256.6588349462345,2669.9725066206206
20,17280,2173,2669.7404506464304,2236.0680611763755,2172.9999999999986,2669.7431170070927,2173.000000000002,2669.745355545608,2242.250514932588,2252.6181466755074,2669.5713995139154
20,18000,2173,2669.290246336952,2232.800099949266,2172.9999999999986,2669.29310733661,2173.000000000002,2669.295510024056,2238.818953861826,2248.7413477018004,2669.1378286431736
20,18720,2173,2668.802735190839,2229.7964360971464,2172.9999999999986,2668.805932177231,2173.000000000002,2668.808631255059,2235.573481645168,2245.0491900234015,2668.669634387712
20,19440,2173,2668.2630964430487,2227.140703856133,2172.9999999999986,2668.2667006879233,2173.000000000002,2668.2697681610907,2232.571411370159,2241.5900287366553,2668.1541102451242
20,20160,2173,2667.6568815718856,2224.8668987937017,2172.9999999999986,2667.6609070884824,2173.000000000002,2667.6643611108716,2229.8501297828607,2238.39710995107,2667.5786752858453
20,20880,2173,2666.963376841431,2222.969670675011,2172.9999999999986,2666.967934918455,2173.000000000002,2666.971869806107,2227.4376404406034,2235.501259918252,2666.920977538091
20,21600,2173,2666.1700265454015,2221.412336973627,2172.9999999999986,2666.1752485680754,2173.000000000002,2666.179772687503,2225.3290800671375,2232.9081604055104,2666.16704216502
20,22320,2173,2665.257833829163,2220.064957845856,2172.9999999999986,2665.2638153879075,2173.000000000002,2665.2690070075605,2223.473167935307,2230.5960547001687,2665.2952597164076
20,23040,2173,2664.210903623449,2218.777093617481,2172.9999999999986,2664.217746994587,2173.000000000002,2664.223700079886,2221.7936248789215,2228.5195403004477,2664.285622594762
20,23760,2173,2663.017849168024,2217.4050168792514,2172.9999999999986,2663.0256222396356,2173.000000000002,2663.0323912745794,2220.1966352327763,2226.6049430730795,2663.1238205763275
20,24480,2173,2661.6727121252197,2215.8441863543676,2172.9999999999986,2661.6814389482424,2173.000000000002,2661.6890241799474,2218.5891216926125,2224.7640781555247,2661.802195239991
20,25200,2173,2660.1759975642503,2214.050772154028,2172.9999999999986,2660.185675096576,2173.000000000002,2660.1940599120944,2216.897442219134,2222.9109467168646,2660.32217015548
20,25920,2173,2658.5344085567035,2212.0555176998087,2172.9999999999986,2658.5449909941676,2173.000000000002,2658.5541426598606,2215.0879567346938,2220.98424534516,2658.6944115966535
20,26640,2173,2656.7597463784477,2209.9594444340987,2172.9999999999986,2656.7711330200013,2173.000000000002,2656.7809696256477,2213.177156005077,2218.9649883163206,2656.9375510150026
20,27360,2173,2654.8668062020947,2207.911717885517,2172.9999999999986,2654.878878943833,2173.000000000002,2654.8892853021953,2211.23014052931,2216.884632715083,2655.0750304483863
20,28080,2173,2652.870758390228,2206.0713830185446,2172.9999999999986,2652.883439067923,2173.000000000002,2652.8943410098022,2209.342956284926,2214.816293685313,2653.1307352174395
20,28800,2173,2650.7846313350165,2204.5636487586617,2172.9999999999986,2650.7978556481835,2173.000000000002,2650.8092229358836,2207.614762349436,2212.8500833690046,2651.124133415407
20,29520,2173,2648.6169433195346,2203.443219800893,2172.9999999999986,2648.6306319910927,2173.000000000002,2648.6424257037274,2206.1187775116186,2211.0653443904484,2649.0658318361047
20,30240,2173,2646.358502314015,2202.5077082516095,2172.9999999999986,2646.3727576062074,2173.000000000002,2646.3850410110335,2204.883971024053,2209.5667183512955,2646.92723526504
20,30960,2173,2643.9935789966407,2201.6404388434644,2172.9999999999986,2644.008493852889,2173.000000000002,2644.021382946269,2203.8360714125856,2208.2991447502905,2644.681117646218
20,31680,2173,2641.511570840038,2200.797993060726,2172.9999999999986,2641.5272051751854,2173.000000000002,2641.5407434322983,2202.9139850575075,2207.2021787241792,2642.3119902876683
20,32400,2173,2638.8888970466105,2199.9277505351006,2172.9999999999986,2638.9054695698796,2173.000000000002,2638.919821467331,2201.9492938405983,2206.0869447260166,2639.7856209709626
20,33120,2173,2636.1191640773836,2199.02054375283,2172.9999999999986,2636.1366853628997,2173.000000000002,2636.1518770574125,2200.904499996836,2204.8961821078105,2637.0944159135747
20,33840,2173,2633.2130653827735,2198.094954904097,2172.9999999999986,2633.2313602254626,2173.000000000002,2633.247212036738,2199.8579445352084,2203.6778946249788,2634.2617119106585
20,34560,2173,2630.176494953223,2197.160031193073,2172.9999999999986,2630.195565563822,2173.000000000002,2630.212069250549,2198.8383846141483,2202.466618085821,2631.2958868531177
20,35280,2173,2627.027556436888,2196.262682708711,2172.9999999999986,2627.047284476814,2173.000000000002,2627.0643688744144,2197.8871910955663,2201.3593698466093,2628.229255829295
20,36000,2173,2623.7740687821133,2195.4187026475233,2172.9999999999986,2623.794402931354,2173.000000000002,2623.812018887231,2196.997728380682,2200.3556305722554,2625.0728572097782
20,36720,2173,2620.420882809141,2194.636840564281,2172.9999999999986,2620.4418073208208,2173.000000000002,2620.459927115635,2196.1568986532566,2199.430077706685,2621.831756032811
20,37440,2173,2616.970590749445,2193.917071923691,2172.9999999999986,2616.992106844281,2173.000000000002,2617.0107410950377,2195.3548742849616,2198.554662656926,2618.5058417952796
20,38160,2173,2613.4239519323082,2193.2548500411394,2172.9999999999986,2613.4460523587845,2173.000000000002,2613.4652200369433,2194.5908603188786,2197.7162203071516,2615.092258240474
20,38880,2173,2609.7796271636435,2192.6357973462655,2172.9999999999986,2609.802290807735,2173.000000000002,2609.821983818832,2193.8658121643607,2196.89522974051,2611.5800517231505
20,39600,2173,2606.0357173706966,2192.047084195031,2172.9999999999986,2606.0589356022033,2173.000000000002,2606.0791240730928,2193.1762445276527,2196.0803970846246,2607.9604396201926
20,40320,2173,2602.1879531825716,2191.4633091683613,2172.9999999999986,2602.2118294746238,2173.000000000002,2602.2325554825866,2192.513381476044,2195.2625563697347,2604.2197394178665
20,41040,2173,2598.2333780600543,2190.8646003573353,2172.9999999999986,2598.2580237053135,2173.000000000002,2598.279375723506,2191.8658835152455,2194.4404978263565,2600.349526981963
20,41760,2173,2594.170080206975,2190.233298686898,2172.9999999999986,2594.195414037334,2173.000000000002,2594.2173927502317,2191.2268927725922,2193.6356309424627,2596.344008331038
20,42480,2173,2589.998770340104,2189.567678414647,2172.9999999999986,2590.0246856606377,2173.000000000002,2590.0472104128266,2190.5920484991393,2192.864172825776,2592.2040804383964
20,43200,2173,2585.7258959930787,2188.894037067937,2172.9999999999986,2585.7523917104786,2173.000000000002,2585.775362310045,2189.9529863613648,2192.1426625960116,2587.944412415605
20,43920,2173,2581.363666895993,2188.2477538227263,2172.9999999999986,2581.39081751563,2173.000000000002,2581.41426484826,2189.316694988026,2191.482333006462,2583.593897908691
20,44640,2173,2576.928164345306,2187.6559563640094,2172.9999999999986,2576.9557952058117,2173.000000000002,2576.9796660338525,2188.694138397119,2190.874112171355,2579.1875156567125
