% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_charge.mph,,,,,,,,,,
% Version,COMSOL 6.0.0.405,,,,,,,,,,
% Date,"Jan 19 2024, 15:24",,,,,,,,,,
% Table,Accumulated Probe Table 2 - ,,,,,,,,,,
% charge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T"
4,0,2672.9999999999986,2173.000000000001,2174.0452320434883,2673.0000000000146,2173.0000000000073,2673.0000000000005,2173.0000000000014,2173.000853505642,2173.000000379524,2172.999999999989
4,144,2672.9999999999986,2173.00902,2199.365703384896,2673.0000000000146,2173.0088789607707,2673.0000000000005,2173.0087373903966,2197.6512082647846,2195.8956151357397,2173.000838
4,288,2672.9999999999986,2173.571240580707,2221.749271116017,2673.0000000000146,2173.5673321033955,2673.0000000000005,2173.5633779630643,2219.296642138726,2216.6519338910484,2173.0260893463164
4,432,2672.9999999999986,2174.8789565890174,2242.818627525612,2673.0000000000146,2174.871636790104,2673.0000000000005,2174.8642420450865,2239.753024563791,2236.335083134396,2173.121711
4,576,2672.9999999999986,2176.2112463866447,2262.743084267778,2673.0000000000146,2176.203994147478,2673.0000000000005,2176.196686426488,2259.1624649604696,2255.0686039318275,2173.2851706137562
4,720,2672.9999999999986,2177.3368463010524,2281.3868716439442,2673.0000000000146,2177.330634950345,2673.0000000000005,2177.3244142262356,2277.3964582572194,2272.7320630588533,2173.525961
4,864,2672.9999999999986,2178.388916404891,2299.319250365139,2673.0000000000146,2178.3836886821928,2673.0000000000005,2178.3784522135766,2294.9881370036733,2289.8068624605085,2173.8004472986254
4,1008,2672.9999999999986,2179.4040351050085,2316.251638893677,2673.0000000000146,2179.3990752849345,2673.0000000000005,2179.394083734045,2311.6428323896907,2306.023491906052,2174.1236913303665
4,1152,2672.9999999999986,2180.472703381943,2332.3292087996047,2673.0000000000146,2180.4672816825773,2673.0000000000005,2180.4618229496946,2327.5016325113197,2321.507647000789,2174.493616363354
4,1296,2672.9999999999986,2181.595886250288,2347.690139109206,2673.0000000000146,2181.5896013286338,2673.0000000000005,2181.583323673024,2342.6921175478906,2336.3762655429805,2174.9061870864566
4,1440,2672.9999999999986,2182.789514851698,2362.2714597273234,2673.0000000000146,2182.782800439197,2673.0000000000005,2182.776109299422,2357.165099859964,2350.5832130717936,2175.3694218686314
4,1584,2672.9999999999986,2184.060651945365,2376.0547436423726,2673.0000000000146,2184.053712490312,2673.0000000000005,2184.0468015689994,2370.9032597826167,2364.112227123103,2175.8882266050055
4,1728,2672.9999999999986,2185.406853579215,2389.077756,2673.0000000000146,2185.399622560773,2673.0000000000005,2185.3924377999324,2383.9327296220913,2376.9853317069123,2176.4632484659505
4,1872,2672.9999999999986,2186.825086637151,2401.3765123039216,2673.0000000000146,2186.8173562122756,2673.0000000000005,2186.8096936517722,2396.286507227463,2389.2279918899467,2177.095240867118
4,2016,2672.9999999999986,2188.3143752062365,2413.019584226705,2673.0000000000146,2188.3059771160583,2673.0000000000005,2188.297673400199,2408.0191748847096,2400.886586903042,2177.783280880876
4,2160,2672.9999999999986,2189.8731274878014,2424.095307272617,2673.0000000000146,2189.864337741942,2673.0000000000005,2189.8556361371584,2419.191739044775,2412.015101804878,2178.5243460589973
4,2304,2672.9999999999986,2191.500056699878,2434.645283125886,2673.0000000000146,2191.491025145108,2673.0000000000005,2191.4820760934776,2429.8369227763496,2422.640401893712,2179.3181811229974
4,2448,2672.9999999999986,2193.1937825035097,2444.7061732557236,2673.0000000000146,2193.184495345395,2673.0000000000005,2193.1753033345803,2439.9880904483575,2432.7920214918217,2180.166141035044
4,2592,2672.9999999999986,2194.9539190735763,2454.329270489545,2673.0000000000146,2194.9441964883763,2673.0000000000005,2194.9346148638015,2449.682782680118,2442.5060816463156,2181.0682882337455
4,2736,2672.9999999999986,2196.7812113480213,2463.516312640499,2673.0000000000146,2196.770995325736,2673.0000000000005,2196.7609387163757,2458.929435683452,2451.788711,2182.0269392128685
4,2880,2672.9999999999986,2198.6766758381937,2472.2613246139626,2673.0000000000146,2198.666027191362,2673.0000000000005,2198.6555486802304,2467.7409886470114,2460.6494956812735,2183.046000408901
4,3024,2672.9999999999986,2200.6401477469085,2480.594498966745,2673.0000000000146,2200.6290727872474,2673.0000000000005,2200.6181839369538,2476.1470681683663,2469.1180572228445,2184.1264218056313
4,3168,2672.9999999999986,2202.670344026772,2488.514614312367,2673.0000000000146,2202.6589136221605,2673.0000000000005,2202.647704261177,2484.1524678193123,2477.1997314027108,2185.269045457812
4,3312,2672.9999999999986,2204.766223410172,2496.0137228509575,2673.0000000000146,2204.7544486580687,2673.0000000000005,2204.7429256872138,2491.768288222128,2484.9042491496643,2186.4760140679696
