% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_parallel_2.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 12 2022, 14:40"
% Table,Accumulated Probe Table 2 - 
% discharge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T"
20,0,2173,2672.9999999999677,2672.8085025135383,2172.999999999966,2672.999999999962,2173.0000000000014,2673,2672.999978906075,2672.9999998533253,2672.9999999963843
20,720,2173,2672.9929729300147,2631.5221477286477,2172.999999999966,2672.9934521482114,2173.0000000000014,2672.993802824501,2666.4014043533375,2672.294833899155,2672.989309568038
20,1440,2173,2672.9731299951663,2595.259210840464,2172.999999999966,2672.9742219056584,2173.0000000000014,2672.9750174630776,2656.2110323535826,2670.220887445557,2672.9644139450515
20,2160,2173,2672.938218882285,2563.40212736211,2172.999999999966,2672.9400169302335,2173.0000000000014,2672.941312447783,2644.1335943814865,2666.6860876223045,2672.9252451032207
20,2880,2173,2672.8923671457046,2535.089748098612,2172.999999999966,2672.894711299671,2173.0000000000014,2672.8963869794093,2630.985656810137,2661.888022058775,2672.8773012711786
20,3600,2173,2672.840581966141,2508.866895508354,2172.999999999966,2672.8433146156854,2173.0000000000014,2672.84522630093,2617.0669148802303,2656.3181758485543,2672.8243748171785
20,4320,2173,2672.780310125801,2485.584219514033,2172.999999999966,2672.7834992749213,2173.0000000000014,2672.7857166051444,2602.7270046889953,2649.6751746319783,2672.7633273565352
20,5040,2173,2672.7145027879424,2464.0686591502863,2172.999999999966,2672.7180509744994,2173.0000000000014,2672.7204856051553,2588.016553933998,2642.359555656538,2672.6972833174614
20,5760,2173,2672.644075658675,2443.9333385833033,2172.999999999966,2672.647928487015,2173.0000000000014,2672.650530728732,2573.015452477075,2634.489157116113,2672.6270258664063
20,6480,2173,2672.5666159058187,2425.5705248368886,2172.999999999966,2672.5709865489694,2173.0000000000014,2672.573965024199,2558.1477982539395,2626.034686461442,2672.5498219766505
20,7200,2173,2672.4786753050457,2409.1577077810975,2172.999999999966,2672.483662397667,2173.0000000000014,2672.4871120736043,2543.492501946733,2617.009626865302,2672.462517414495
20,7920,2173,2672.379546831473,2394.4015953507683,2172.999999999966,2672.3851390294644,2173.0000000000014,2672.389046340733,2529.061399799449,2607.537524367162,2672.3645118544036
20,8640,2173,2672.268242387271,2381.200700783651,2172.999999999966,2672.2744682932694,2173.0000000000014,2672.2788573012162,2514.9571747657856,2597.675207752119,2672.2546344811735
20,9360,2173,2672.143798969548,2369.340528487803,2172.999999999966,2672.150698337172,2173.0000000000014,2672.1556088068696,2501.2518834357757,2587.500641574212,2672.1316995342186
20,10080,2173,2672.0049935418256,2358.5524390232686,2172.999999999966,2672.012621921528,2173.0000000000014,2672.0181123427833,2487.9851569111115,2577.103177152165,2671.9942078888334
20,10800,2173,2671.8505034047025,2348.6369553438585,2172.999999999966,2671.858927794445,2173.0000000000014,2671.8650653012196,2475.1783233406904,2566.5540120578007,2671.8406783255105
20,11520,2173,2671.6786157383067,2339.4252731803213,2172.999999999966,2671.687915632673,2173.0000000000014,2671.6947747601466,2462.843192341205,2555.9214335980505,2671.669303182618
20,12240,2173,2671.4859908986386,2330.700855989786,2172.999999999966,2671.4963162731783,2173.0000000000014,2671.504032986842,2450.968509863495,2545.3019278717393,2671.476539726896
