% Model,,,,,,,,,,,
% Version,,,,,,,,,,,
% Date,,,,,,,,,,,
% Table,,,,,,,,,,,
% charge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T"
4,0,2673.0000000000014,2172.999999999992,2173.1920879976597,2672.999999999996,2172.9999999999613,2673.0000000000027,2172.999999999998,2173.0000004879917,2173.000000001063,2173.0000000000123
4,7.2,2673.0000000000014,2173,2175.283347453621,2672.999999999996,2173.0000000034333,2673.0000000000027,2172.9999999988618,2173.0021109773934,2173.000051885701,2173.0000002228157
4,14.4,2673.0000000000014,2173.000000336883,2176.415089933004,2672.999999999996,2173.0000001384838,2673.0000000000023,2173.0000000144455,2173.0471875382923,2173.000131783554,2173.0000020749044
4,21.6,2673.0000000000014,2173.000001658717,2177.440319698481,2672.9999999999955,2173.000000847046,2673.000000000002,2173.0000003229306,2173.2104024575137,2173.0027394670233,2173.0000067753244
4,28.8,2673.0000000000014,2173.000004075341,2178.449179,2672.9999999999955,2173.0000023174084,2673.000000000002,2173.0000011524485,2173.4913534340944,2173.0115943200412,2173.0000144171936
4,36,2673.0000000000014,2173.000008807729,2179.449406721559,2672.9999999999955,2173.000005677034,2673.000000000002,2173.0000035236226,2173.9415417837286,2173.0538174124013,2173.000027883547
4,43.2,2673.0000000000014,2173.0000140671173,2180.448004906523,2672.9999999999955,2173.0000094713596,2673.000000000002,2173.0000062532367,2174.429161574536,2173.104005230168,2173.000042668103
4,50.4,2673.0000000000014,2173.0000208734964,2181.4438996508043,2672.9999999999955,2173.0000146005996,2673.000000000002,2173.0000100832317,2174.9890818597405,2173.1811892002584,2173.0000613538723
4,57.6,2673.0000000000014,2173.0000294783767,2182.4376863723614,2672.9999999999955,2173.0000213086696,2673.0000000000014,2173.000015298548,2175.6026894313627,2173.295769909258,2173.0000842506342
4,64.8,2673.0000000000014,2173.0000399084647,2183.4279894199126,2672.9999999999955,2173.000029694971,2673.000000000002,2173.0000220470556,2176.2269702113445,2173.4538587729203,2173.0001113219064
4,72,2673.0000000000014,2173.0000522104883,2184.415398315144,2672.9999999999955,2173.0000398420034,2673.000000000002,2173.0000304548225,2176.850705102751,2173.6585957689995,2173.0001425991322
4,79.2,2673.0000000000014,2173.000066433419,2185.400424249065,2672.9999999999955,2173.0000518163984,2673.000000000002,2173.000040612465,2177.4736890520367,2173.9085156700276,2173.000178
4,86.4,2673.0000000000014,2173.0000826319147,2186.383050240302,2672.9999999999955,2173.0000656795214,2673.000000000002,2173.0000525903815,2178.0954608394827,2174.198210367896,2173.0002179577004
4,93.60000000000001,2673.0000000000014,2173.0001008767645,2187.3632413534374,2672.9999999999955,2173.000081498094,2673.000000000002,2173.0000664529102,2178.7171642259445,2174.519690147435,2173.000262133037
4,100.8,2673.0000000000014,2173.0001212742604,2188.341074922194,2672.9999999999955,2173.000099,2673.000000000002,2173.000082269809,2179.3383072831557,2174.8639503333516,2173.0003106993636
4,108,2673.0000000000014,2173.0001440111737,2189.3165556613667,2672.9999999999955,2173.000119402174,2673.000000000002,2173.0001001349174,2179.958941094669,2175.2208492856016,2173.000363702202
4,115.2,2673.0000000000014,2173.000169441729,2190.2897240676252,2672.9999999999955,2173.0001418741144,2673.000000000002,2173.0001201980285,2180.5789267575806,2175.5830026930576,2173.0004211887585
4,122.4,2673.0000000000014,2173.0001975941173,2191.260989,2672.9999999999955,2173.000166774073,2673.000000000002,2173.000142271206,2181.198574317456,2175.948346199813,2173.000482330461
4,129.6,2673.0000000000014,2173.0002309059946,2192.2295962046487,2672.9999999999955,2173.0001957792992,2673.000000000002,2173.000167759399,2181.817608894773,2176.315225951114,2173.0005487520325
4,136.8,2673.0000000000014,2173.000270105522,2193.196309630871,2672.9999999999955,2173.000229396645,2673.000000000002,2173.0001963478153,2182.4362210871063,2176.684111852001,2173.000619022545
4,144,2673.0000000000014,2173.000319465897,2194.160841650822,2672.9999999999955,2173.0002706139553,2673.000000000002,2173.000230107193,2183.0543876579663,2177.0547178493043,2173.0006937722587
4,151.20000000000002,2673.0000000000014,2173.000385560271,2195.123142547694,2672.9999999999955,2173.0003240144024,2673.0000000000023,2173.0002718011656,2183.6721157607512,2177.426513198711,2173.0007732652994
4,158.4,2673.0000000000014,2173.0004791615856,2196.0832103231123,2672.9999999999955,2173.0003972802424,2673.0000000000023,2173.000326080584,2184.289451486384,2177.799192145542,2173.0008578182283
4,165.6,2673.0000000000014,2173.000617889259,2197.041052264956,2672.9999999999955,2173.0005031122405,2673.0000000000023,2173.000401,2184.906400466004,2178.1723040685697,2173.0009478842767
4,172.8,2673.0000000000014,2173.0008307746507,2197.9966772030148,2672.9999999999955,2173.0006624253833,2673.0000000000023,2173.000509389698,2185.5229528423756,2178.5456610498136,2173.0010441165373
4,180,2673.0000000000014,2173.0011640689804,2198.9500951536165,2672.9999999999955,2173.0009087880517,2673.0000000000023,2173.000673,2186.139102007381,2178.919275227628,2173.0011474831786
4,187.20000000000002,2673.0000000000014,2173.0016887720053,2199.901316,2672.9999999999955,2173.0012945372437,2673.0000000000023,2173.0009262902095,2186.754840582557,2179.2931799977923,2173.001259
