% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_parallel_all.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 13 2022, 15:26"
% Table,Accumulated Probe Table 2 - 
% discharge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T"
20,0,2173,2673.000026276195,2672.9001625998485,2172.999999999959,2672.999992233665,2173.0000000000014,2673.0000122004158,2672.9041186777363,2672.9020824811346,2672.9051518886567
20,720,2173,2672.942107119263,2666.853353929162,2172.999999999959,2672.9258007503995,2173.000000000002,2672.9344005710514,2666.917192949936,2666.9004196086266,2666.9112975631438
20,1440,2173,2672.759028070955,2661.3707448611895,2172.999999999959,2672.706594152222,2173.000000000002,2672.7240653067975,2661.531548713554,2661.5014151053865,2661.493464791716
20,2160,2173,2672.4592843264713,2656.1662482981906,2172.999999999959,2672.348549542181,2173.000000000002,2672.3772410982237,2656.423791262755,2656.387551652227,2656.348326274083
20,2880,2173,2672.0097193073743,2651.176093037842,2172.999999999959,2671.8146250364252,2173.000000000002,2671.857537081826,2651.5214792643565,2651.4871055830768,2651.407370058314
20,3600,2173,2671.43110368603,2646.2993782004246,2172.999999999959,2671.129035594886,2173.000000000002,2671.1900934952923,2646.7242985004227,2646.6980604657,2646.5711480605496
20,4320,2173,2670.6701861365627,2641.5417367598848,2172.999999999959,2670.2344857580374,2173.000000000002,2670.3154360524463,2642.0352020474184,2642.024598562981,2641.8430127587376
20,5040,2173,2669.7340147048917,2636.8816157594238,2172.999999999959,2669.1532110261583,2173.000000000002,2669.2484941816324,2637.431936343209,2637.4414028428796,2637.2068823852974
20,5760,2173,2668.652072864738,2632.2928950399482,2172.999999999959,2667.9263022675154,2173.000000000002,2668.0314104271097,2632.8904283681,2632.9223606653622,2632.640591102373
20,6480,2173,2667.44642655787,2627.754209900549,2172.999999999959,2666.5829624544167,2173.000000000002,2666.696425618273,2628.3926696601966,2628.4483700687842,2628.125870292082
20,7200,2173,2666.1251676103957,2623.255837368594,2172.999999999959,2665.135056245217,2173.000000000002,2665.256655052145,2623.9316333462316,2624.012186473286,2623.65437475814
20,7920,2173,2664.6893882420172,2618.795327250226,2172.999999999959,2663.5847567911537,2173.000000000002,2663.71466171062,2619.5068959568603,2619.6134205288513,2619.223870210286
20,8640,2173,2663.1355092990843,2614.373063556626,2172.999999999959,2661.9259772426726,2173.000000000002,2662.064899654825,2615.119167904292,2615.252725083674,2614.834285091331
20,9360,2173,2661.4537957909033,2609.9886202536773,2172.999999999959,2660.141908509546,2173.000000000002,2660.2915668533205,2610.766622389322,2610.9276266004567,2610.484093940401
20,10080,2173,2659.6259435752054,2605.639314781495,2172.999999999959,2658.202889045964,2173.000000000002,2658.366183426994,2606.443185532763,2606.631666353895,2606.1691219761105
20,10800,2173,2657.625047826678,2601.320180920226,2172.999999999959,2656.068851719964,2173.000000000002,2656.2494869305406,2602.139831320289,2602.355862928999,2601.8830111871675
20,11520,2173,2655.419691746046,2597.024152243009,2172.999999999959,2653.697412584356,2173.000000000002,2653.898990084261,2597.846563475735,2598.0906993808485,2597.6178627286145
20,12240,2173,2652.9834958836523,2592.743440488367,2172.999999999959,2651.0583724817902,2173.000000000002,2651.2828998108353,2593.5555052835275,2593.828787582278,2593.3655210893216
20,12960,2173,2650.3110914967065,2588.472874961305,2172.999999999959,2648.1541149067807,2173.000000000002,2648.400352169167,2589.264951763322,2589.568019739211,2589.12126796446
20,13680,2173,2647.434475037698,2584.2117033378718,2172.999999999959,2645.0393500643668,2173.000000000002,2645.3008564246857,2584.9817344333005,2585.3133398391087,2584.8859265470596
20,14400,2173,2644.426406731126,2579.963992938656,2172.999999999959,2641.8190525925593,2173.000000000002,2642.085146705235,2580.7182405510052,2581.074780923997,2580.665557072655
20,15120,2173,2641.3898909214026,2575.7381103366374,2172.999999999959,2638.6332578035717,2173.000000000002,2638.8911092209705,2576.490606284377,2576.8656526160544,2576.470419666259
20,15840,2173,2638.4325600084585,2571.5446937660786,2172.999999999959,2635.6182975413553,2173.000000000002,2635.856751695504,2572.312153550082,2572.697950204768,2572.312024630722
