% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_parallel_all_charge.mph
% Version,COMSOL 6.0.0.405
% Date,"Jan 19 2024, 22:01"
% Table,Accumulated Probe Table 2 - 
% charge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T"
4,0,2672.9999999999986,2172.999845439409,2173.0982089365775,2672.9999999999936,2173.0000361861266,2673.0000000000027,2172.999921428909,2173.09430901149,2173.096316428892,2173.093308343321
4,144,2672.9999999999986,2174.155108479721,2178.2498003394903,2672.9999999999936,2174.7159362691655,2673.0000000000027,2174.164092698729,2178.24797247457,2178.2559184593197,2178.23095654512
4,288,2672.9999999999986,2175.8540065877196,2183.3212642493645,2672.9999999999936,2176.2826862651423,2673.0000000000027,2175.8561530452243,2183.323704440012,2183.3362155059417,2183.291440784026
4,432,2672.9999999999986,2177.1968158559375,2188.3572016767,2672.9999999999936,2177.5501292820795,2673.0000000000027,2177.2058614048156,2188.363464413424,2188.3798300104004,2188.316708296825
4,576,2672.9999999999986,2178.4090337355424,2193.364575483009,2672.9999999999936,2178.7482670015424,2673.0000000000027,2178.4307679624167,2193.3742175236403,2193.3939340758593,2193.3135168403633
4,720,2672.9999999999986,2179.6124237370213,2198.3398481647205,2672.9999999999936,2179.9734605970166,2673.0000000000027,2179.6514870413585,2198.3520771022977,2198.37467041371,2198.2782544715014
4,864,2672.9999999999986,2180.866669818697,2203.285296140242,2672.9999999999936,2181.270223629158,2673.0000000000027,2180.9290876702257,2203.2993204405825,2203.3243976962613,2203.213322431571
4,1008,2672.9999999999986,2182.1873456205335,2208.199729402448,2672.9999999999936,2182.643248310659,2673.0000000000027,2182.2767154462995,2208.2156760852063,2208.242930456092,2208.1176789460305
4,1152,2672.9999999999986,2183.604534572846,2213.0885597196716,2672.9999999999936,2184.1208567164313,2673.0000000000027,2183.7258843871514,2213.104531778012,2213.1337303294704,2212.9969774142974
4,1296,2672.9999999999986,2185.088270931397,2217.952331406659,2672.9999999999936,2185.6720715055703,2673.0000000000027,2185.2450495857456,2217.9675132196594,2217.9983756766637,2217.851610278165
4,1440,2672.9999999999986,2186.691221007312,2222.7856994670933,2672.9999999999936,2187.3407792947773,2673.0000000000027,2186.8874294560796,2222.8007326705133,2222.8330032241724,2222.6761229687745
4,1584,2672.9999999999986,2188.3724668661853,2227.5948196247,2672.9999999999936,2189.0934982622925,2673.0000000000027,2188.6102313466304,2227.608952381238,2227.6423295300315,2227.4767860287675
4,1728,2672.9999999999986,2190.1391087768075,2232.3782439771535,2672.9999999999936,2190.932352388496,2673.0000000000027,2190.420615668896,2232.391251879453,2232.4255520536076,2232.2521204214995
4,1872,2672.9999999999986,2192.002032857999,2237.137397822417,2672.9999999999936,2192.867666430357,2673.0000000000027,2192.3296487728257,2237.1488566373155,2237.183954570227,2237.003585230328
4,2016,2672.9999999999986,2193.9502256609985,2241.87270206985,2672.9999999999936,2194.8915049820175,2673.0000000000027,2194.326168954522,2241.88233000688,2241.918070852825,2241.731551686744
4,2160,2672.9999999999986,2195.98393323836,2246.584411765564,2672.9999999999936,2197.0021605068564,2673.0000000000027,2196.410327620231,2246.591909350425,2246.628084751164,2246.435806343195
4,2304,2672.9999999999986,2198.088494880648,2251.2781647795314,2672.9999999999936,2199.1841335668155,2673.0000000000027,2198.5674733036853,2251.283541213908,2251.3199952923183,2251.122310901459
4,2448,2672.9999999999986,2200.272479778342,2255.9530785109796,2672.9999999999936,2201.4502887227773,2673.0000000000027,2200.8068750944726,2255.9561526626435,2255.9927636040666,2255.7902168339983
4,2592,2672.9999999999986,2202.5459408764627,2260.6069791706077,2672.9999999999936,2203.8117641499857,2673.0000000000027,2203.1389953709377,2260.6073054712765,2260.643996071985,2260.4373366698787
4,2736,2672.9999999999986,2204.9137894866967,2265.2375788029217,2672.9999999999936,2206.2700520687313,2673.0000000000027,2205.5684584640853,2265.2350697394745,2265.271752249729,2265.0613657144218
4,2880,2672.9999999999986,2207.3747303100963,2269.84345135142,2672.9999999999936,2208.8200263732233,2673.0000000000027,2208.0931877915373,2269.8383710156954,2269.874878210501,2269.6606739666663
4,3024,2672.9999999999986,2209.9221692008805,2274.4239495079337,2672.9999999999936,2211.4533424868805,2673.0000000000027,2210.705463940136,2274.416672255875,2274.452896839069,2274.234615352653
4,3168,2672.9999999999986,2212.547031127417,2278.9782705546713,2672.9999999999936,2214.161003584223,2673.0000000000027,2213.3947841295007,2278.9697008635626,2279.0055272801715,2278.7822916631285
4,3312,2672.9999999999986,2215.2413763615164,2283.5056007582275,2672.9999999999936,2216.936100925649,2673.0000000000027,2216.151870648871,2283.4971255305045,2283.5324174319358,2283.3029327416966
4,3456,2672.9999999999986,2218.0002967658274,2288.006029348593,2672.9999999999936,2219.774084446963,2673.0000000000027,2218.9708052810142,2287.99859017317,2288.0333080157784,2287.7967861872703
4,3600,2672.9999999999986,2220.8224855541484,2292.479085398917,2672.9999999999936,2222.671775344508,2673.0000000000027,2221.849891008765,2292.47349830537,2292.507549622948,2292.2634622159107
4,3744,2672.9999999999986,2223.7087031932147,2296.923597634639,2672.9999999999936,2225.6279368742403,2673.0000000000027,2224.78911521708,2296.9209333493604,2296.9542924920916,2296.7016989836716
4,3888,2672.9999999999986,2226.6583205440206,2301.339563726777,2672.9999999999936,2228.6428536944277,2673.0000000000027,2227.7880146627535,2301.340217707061,2301.3728793517434,2301.1115611613027
4,4032,2672.9999999999986,2229.668690840956,2305.7267255807374,2672.9999999999936,2231.716551531419,2673.0000000000027,2230.8454815761047,2305.730736375119,2305.7627502399655,2305.4926519602413
4,4176,2672.9999999999986,2232.7370415089244,2310.083551406438,2672.9999999999936,2234.84897688219,2673.0000000000027,2233.960635563871,2310.0917565871027,2310.1231661107445,2309.8431268151166
4,4320,2672.9999999999986,2235.8617599500994,2314.4098944579955,2672.9999999999936,2238.038998346838,2673.0000000000027,2237.1333142973763,2314.422992973967,2314.4538394850892,2314.162893023112
4,4464,2672.9999999999986,2239.041652859693,2318.706047770459,2672.9999999999936,2241.2824881151378,2673.0000000000027,2240.361604637577,2318.724289043231,2318.7545677738713,2318.452215624281
4,4608,2672.9999999999986,2242.2735801540784,2322.9704668626,2672.9999999999936,2244.5743990183773,2673.0000000000027,2243.640864588952,2322.9951087096442,2323.024797976449,2322.7093331199712
4,4752,2672.9999999999986,2245.552572638777,2327.2028573036937,2672.9999999999936,2247.9107863648087,2673.0000000000027,2246.965617800502,2327.235135628555,2327.264237932162,2326.934349780812
4,4896,2672.9999999999986,2248.873517901777,2331.404071707829,2672.9999999999936,2251.287508047662,2673.0000000000027,2250.3308085329263,2331.4441782278946,2331.4726819433845,2331.1284187343945
4,5040,2672.9999999999986,2252.233827571588,2335.5726277957688,2672.9999999999936,2254.7006581431115,2673.0000000000027,2253.732840353173,2335.6214626102765,2335.6493504835835,2335.289759744751
4,5184,2672.9999999999986,2255.6336792944617,2339.7078367031017,2672.9999999999936,2258.147803486966,2673.0000000000027,2257.1699546473205,2339.7664159955607,2339.793784035593,2339.4180519018446
