% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_topbottom.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 11 2022, 17:52"
% Table,Probe Table 1 - 
% discharge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T"
20,0,2172.9999999999995,2673.000000000005,2671.953006934502,2172.99999999999,2672.999999999988,2172.9999999999973,2673.0000000000023,2672.9991443711024,2672.999999111281,2673.000000000012
20,720,2172.9999999999995,2672.999997090656,2569.7829439669613,2172.9999999999895,2672.9999971253965,2172.9999999999977,2672.999997142886,2590.675741572714,2609.3016992457933,2672.999989509087
20,1440,2172.9999999999995,2672.9999916373067,2483.1363734849665,2172.9999999999895,2672.999991699437,2172.9999999999977,2672.9999917205982,2515.978769308211,2546.8465695965274,2672.999970618559
20,2160,2172.9999999999995,2672.999984752315,2403.4556679958505,2172.9999999999895,2672.9999848408156,2172.9999999999977,2672.999984865317,2445.6419196965307,2486.45543433248,2672.999947510917
20,2880,2172.9999999999995,2672.999975787956,2332.1189912620453,2172.9999999999895,2672.9999759036837,2172.9999999999977,2672.999975934522,2381.067900490415,2429.069594721671,2672.9999187976327
20,3600,2172.9999999999995,2672.9999623626973,2281.2748068884816,2172.9999999999895,2672.999962518362,2172.9999999999977,2672.999962565963,2331.3860880665857,2380.7227455289,2672.999879496968
20,4320,2172.9999999999995,2672.999943912746,2252.6412039264364,2172.9999999999895,2672.999944113591,2172.9999999999977,2672.999944183311,2298.049440206421,2343.0658945555324,2672.999830324303
20,5040,2172.9999999999995,2672.9999226803825,2230.3483546614025,2172.9999999999895,2672.999922912238,2172.9999999999977,2672.999922996505,2269.7737025300935,2309.5293251074486,2672.9997793590155
20,5760,2172.9999999999995,2672.9998973468296,2214.888259286734,2172.9999999999895,2672.999897609535,2172.9999999999977,2672.999897712281,2247.7365884626233,2281.9388905405403,2672.9997294651876
20,6480,2172.9999999999995,2672.9998655781296,2205.490948207658,2172.9999999999895,2672.999865879854,2172.9999999999977,2672.999866014574,2231.8963125792625,2260.9376513494626,2672.999682371175
20,7200,2172.9999999999995,2672.999824241933,2199.1226558160506,2172.9999999999895,2672.999824597557,2172.9999999999977,2672.9998247822004,2219.6628302297977,2243.853772563217,2672.9996358049375
20,7920,2172.9999999999995,2672.999771584489,2194.489878136226,2172.9999999999895,2672.9997720209362,2172.9999999999977,2672.9997722845083,2210.06681747954,2229.889655373095,2672.9995897639888
20,8640,2172.9999999999995,2672.9996988604644,2191.107988321141,2172.9999999999895,2672.9996994376875,2172.9999999999977,2672.99969984421,2203.409711303881,2219.9265243545224,2672.9995453385873
20,9360,2172.9999999999995,2672.999589867159,2188.638897657402,2172.9999999999895,2672.999590675729,2172.9999999999977,2672.9995913170633,2199.082181687268,2213.372021209641,2672.999495940448
20,10080,2172.9999999999995,2672.9994194054884,2186.4922151660944,2172.9999999999895,2672.9994205988646,2172.9999999999977,2672.999421625245,2195.708727902984,2208.5812349917696,2672.999428514949
20,10800,2172.9999999999995,2672.9991639932136,2184.4814419138365,2172.9999999999895,2672.999165714708,2172.9999999999977,2672.9991672789597,2192.835710475442,2204.812113687567,2672.9993318738357
20,11520,2172.9999999999995,2672.9987869537285,2182.457929007309,2172.9999999999895,2672.9987894141505,2172.9999999999977,2672.9987917243134,2190.1128722412604,2201.3895245325725,2672.9991884931715
20,12240,2172.9999999999995,2672.998241188739,2180.403991065428,2172.9999999999895,2672.998244673191,2172.9999999999977,2672.9982480147055,2187.3568614049536,2197.8289067939336,2672.99897520764
20,12960,2172.9999999999995,2672.9974627884985,2178.398141252174,2172.9999999999895,2672.997467682185,2172.9999999999977,2672.997472444543,2184.556299761934,2193.927236150939,2672.9986607407973
20,13680,2172.9999999999995,2672.9963657364806,2176.571520586507,2172.9999999999895,2672.9963725601197,2172.9999999999977,2672.9963792666204,2181.8059921867716,2189.75029557864,2672.9982032362877
20,14400,2172.9999999999995,2672.9948015614414,2175.1434556005183,2172.9999999999895,2672.994811238246,2172.9999999999977,2672.9948208001006,2179.379537932047,2185.7861011237446,2672.9975275126126
20,15120,2172.9999999999995,2672.992506340133,2174.4356792283397,2172.9999999999895,2672.99252053625,2172.9999999999977,2672.9925346015616,2177.742250426332,2182.927574733725,2672.996497006185
20,15840,2172.9999999999995,2672.9892318033344,2174.437634735363,2172.9999999999895,2672.989252001531,2172.9999999999977,2672.989272078416,2176.9237732751694,2181.206417868742,2672.9949935611694
20,16560,2172.9999999999995,2672.9846017691093,2174.8622460805936,2172.9999999999895,2672.9846301452835,2172.9999999999977,2672.9846583816993,2176.700756938812,2180.276680000072,2672.9928224303576
20,17280,2172.9999999999995,2672.9779800927,2175.016931642478,2172.9999999999895,2672.9780204596964,2172.9999999999977,2672.9780606042304,2176.476582494893,2179.327770771306,2672.9896313419226
20,18000,2172.9999999999995,2672.9689126962994,2174.72030883561,2172.9999999999895,2672.9689678072405,2172.9999999999977,2672.9690226845564,2176.022460811253,2178.278603433193,2672.985180746792
20,18720,2172.9999999999995,2672.9568426232604,2174.0197034808994,2172.9999999999895,2672.9569155672802,2172.9999999999977,2672.956988241616,2175.324014177484,2177.1947184689147,2672.9791737424885
