% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_topbottom_charge.mph
% Version,COMSOL 6.0.0.405
% Date,"Jan 19 2024, 21:48"
% Table,Accumulated Probe Table 2 - 
% charge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T"
4,0,2673.0000000000023,2173.000000000007,2174.0452762617983,2672.999999999995,2172.999999999991,2673.000000000002,2173.000000000001,2173.000918559817,2173.0000004881686,2173.0000000000073
4,144,2673.0000000000023,2173.00119025642,2200.169591845147,2672.999999999995,2173.001159288109,2673.0000000000014,2173.0011282831565,2198.330770881493,2196.4922500339085,2173.0000184760706
4,288,2673.0000000000023,2173.525897465669,2223.689063501986,2672.999999999995,2173.5220784702065,2673.0000000000014,2173.5181899233376,2220.9157647941956,2218.0652456232465,2173.0194324793197
4,432,2673.0000000000023,2174.895361495248,2246.023887719628,2672.999999999995,2174.887779979034,2673.0000000000014,2174.880075833256,2242.420305730221,2238.663994082365,2173.100146378594
4,576,2673.0000000000023,2176.1370073244557,2266.9199275864657,2672.999999999995,2176.130050852544,2673.0000000000014,2176.123005678555,2262.6009751352067,2258.0628440796263,2173.2547205484325
4,720,2673.0000000000023,2177.2314563148507,2286.9102160440384,2672.999999999995,2177.225477205908,2673.0000000000014,2177.219436597468,2281.940584725233,2276.6959059490764,2173.4457899131185
4,864,2673.0000000000023,2178.235251280697,2306.3264302475163,2672.999999999995,2178.230328241175,2673.0000000000014,2178.225364258271,2300.7466777041254,2294.842987251985,2173.6594500668175
4,1008,2673.0000000000023,2179.2075645538403,2324.1734713690166,2672.999999999995,2179.20202532639,2673.0000000000014,2179.1964106006094,2318.1041402911774,2311.6740682936684,2173.956417473516
4,1152,2673.0000000000023,2180.257312175706,2341.3005335324315,2672.999999999995,2180.2516984993304,2673.0000000000014,2180.2460425055615,2334.821030622786,2327.9145957127143,2174.2871369202767
4,1296,2673.0000000000023,2181.3545305463485,2357.7995695198283,2672.999999999995,2181.348595289346,2673.0000000000014,2181.342640028316,2350.958437085637,2343.6202289366306,2174.6455745151015
4,1440,2673.0000000000023,2182.5050967849293,2373.6024244812947,2672.999999999995,2182.498858451558,2673.0000000000014,2182.492594453456,2366.4448267193884,2358.724943079486,2175.036701133787
4,1584,2673.0000000000023,2183.705886624231,2388.747045897448,2672.999999999995,2183.699357659862,2673.0000000000014,2183.6927757018952,2381.3105666096576,2373.2575267752654,2175.460942206397
4,1728,2673.0000000000023,2184.967316420653,2403.1230537118304,2672.999999999995,2184.9604277760054,2673.0000000000014,2184.9534634524216,2395.4627134823277,2387.1328960069604,2175.9299999172817
4,1872,2673.0000000000023,2186.2974069776274,2416.7046074711693,2672.999999999995,2186.290045051521,2673.0000000000014,2186.2826270601076,2408.879413826444,2400.329867085455,2176.4485375716426
4,2016,2673.0000000000023,2187.701702324795,2429.5146047332437,2672.999999999995,2187.6938636750097,2673.0000000000014,2187.686002972526,2421.581350858081,2412.865119308731,2177.0181537904077
4,2160,2673.0000000000023,2189.1816554630195,2441.5851953045403,2672.999999999995,2189.173446552686,2673.0000000000014,2189.1652018724994,2433.602771186299,2424.7673612621365,2177.6400111142025
4,2304,2673.0000000000023,2190.73516023922,2452.967440503454,2672.999999999995,2190.7266507722666,2673.0000000000014,2190.7180641438,2444.9901336823805,2436.0768143192668,2178.3143831812613
4,2448,2673.0000000000023,2192.3573783226925,2463.73896589772,2672.999999999995,2192.348594226858,2673.0000000000014,2192.3396862622794,2455.805443133052,2446.848438849241,2179.038907938364
4,2592,2673.0000000000023,2194.0439713577075,2473.957389482814,2672.999999999995,2194.034851502735,2673.0000000000014,2194.025606721846,2466.0974501546402,2457.125861295097,2179.8123372429727
4,2736,2673.0000000000023,2195.7926420861336,2483.6719627678112,2672.999999999995,2195.783094681187,2673.0000000000014,2195.7734749728447,2475.9048696803497,2466.9450110168073,2180.6351479644745
