% Model,LargeGraphiteBlock_v5_PorousMedia_rad_longblock_charge.mph
% Version,COMSOL 6.0.0.405
% Date,"Jan 19 2024, 21:27"
% Table,Accumulated Probe Table 2 - 
% charge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1"
4,0,2672.999999999995,2173.0000000000036,2173.0109259398664,2672.9999999999895,2172.9999999999923,2673.0000000000005,2173.0000000000014
4,144,2672.999999999995,2175.74213625796,2178.016212225615,2672.9999999999895,2175.726672200596,2673.0000000000005,2175.7110348440306
4,288,2672.999999999995,2176.772472811785,2182.9831884713394,2672.9999999999895,2176.7702615789985,2673.0000000000005,2176.7680258404516
4,432,2672.999999999995,2177.628673924042,2187.945321926804,2672.9999999999895,2177.628875244933,2673.0000000000005,2177.629098278131
4,576,2672.999999999995,2178.4531167520777,2192.9164892921326,2672.9999999999895,2178.448781249701,2673.0000000000005,2178.444445978378
4,720,2672.999999999995,2179.408853961146,2197.875334543579,2672.9999999999895,2179.4033923959887,2673.0000000000005,2179.3979370099514
4,864,2672.999999999995,2180.442763822795,2202.8049713916985,2672.9999999999895,2180.4372742242895,2673.0000000000005,2180.431762153057
4,1008,2672.999999999995,2181.5229225503754,2207.711632028062,2672.9999999999895,2181.5171254565025,2673.0000000000005,2181.5112952247264
4,1152,2672.999999999995,2182.648563045161,2212.610732362281,2672.9999999999895,2182.642307393333,2673.0000000000005,2182.636041554262
4,1296,2672.999999999995,2183.8408891118324,2217.512471110998,2672.9999999999895,2183.834219307111,2673.0000000000005,2183.827546257137
4,1440,2672.999999999995,2185.114707424476,2222.419833554081,2672.9999999999895,2185.107595057794,2673.0000000000005,2185.100462793147
4,1584,2672.999999999995,2186.472910576266,2227.32908843071,2672.9999999999895,2186.465340846826,2673.0000000000005,2186.4577399857412
4,1728,2672.999999999995,2187.9068155546242,2232.229702368578,2672.9999999999895,2187.8988408987652,2673.0000000000005,2187.8908446023433
4,1872,2672.999999999995,2189.4102989653747,2237.11732320429,2672.9999999999895,2189.4019734383064,2673.0000000000005,2189.3936426855253
4,2016,2672.999999999995,2190.978944650069,2241.9877034863016,2672.9999999999895,2190.9703137099737,2673.0000000000005,2190.9616767939337
4,2160,2672.999999999995,2192.6078269047403,2246.8329740171594,2672.9999999999895,2192.598896663938,2673.0000000000005,2192.589945456234
4,2304,2672.999999999995,2194.296627958725,2251.654614517974,2672.9999999999895,2194.2873688908107,2673.0000000000005,2194.278068235666
