% Model,LargeGraphiteBlockDischarge_v3_longblock_sweep_LUDk_Ar.mph
% Version,COMSOL 6.0.0.405
% Date,"Aug 20 2024, 16:10"
% Table,Accumulated Probe Table 24 - 
% run_num,H (m),D_C (m),k_C (W/(m*K)),U_Ar (m/s),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block","Temperature (K), Sn_block","Temperature (K), bottom_right_corner"
1,2,0.2,30,25,0,2172.9999999999995,2660.095344381584,2672.9477756606816,2567.892561814398,2672.9999997614696
1,2,0.2,30,25,2589.230769230769,2172.9999999999995,2657.484913376409,2662.43757407495,2556.827483614806,2672.3022941140694
1,2,0.2,30,25,5178.461538461538,2172.9999999999995,2654.90349124635,2652.6047072909887,2548.0420376200696,2671.3084480678904
1,2,0.2,30,25,7767.692307692307,2172.9999999999995,2651.942460343039,2643.2223004576895,2539.6058072643955,2670.020680003849
1,2,0.2,30,25,10356.923076923076,2172.9999999999995,2648.742522316363,2634.1231356328267,2531.4818664380678,2668.49028650231
1,2,0.2,30,25,12946.153846153846,2172.9999999999995,2645.2334378988144,2625.3404112615267,2523.7274618494444,2666.6120210459703
1,2,0.2,30,25,15535.384615384613,2172.9999999999995,2641.5803200392497,2616.697823256363,2516.137370205156,2664.56922857051
1,2,0.2,30,25,18124.615384615383,2172.9999999999995,2637.7003280566128,2608.2375592971957,2508.7290908281766,2662.2829632035523
1,2,0.2,30,25,20713.846153846152,2172.9999999999995,2633.491616872078,2600.0115296046415,2501.541980547717,2659.6514826943303
1,2,0.2,30,25,23303.076923076922,2172.9999999999995,2629.0950972466726,2591.939541223733,2494.5521912473764,2656.761927733733
1,2,0.2,30,25,25892.30769230769,2172.9999999999995,2624.4853414086697,2584.0715143055404,2487.849876219086,2653.514518216331
1,2,0.2,30,25,28481.53846153846,2172.9999999999995,2619.7117590816865,2576.368980210177,2481.34465052981,2649.9626539836963
1,2,0.2,30,25,31070.769230769227,2172.9999999999995,2614.792743358796,2568.797762232669,2474.982294137133,2646.167451927832
1,2,0.2,30,25,33660,2172.9999999999995,2609.600689819962,2561.409636561377,2468.7959482272927,2642.0357977628664
1,2,0.2,30,25,36249.230769230766,2172.9999999999995,2604.29234854991,2554.141458223717,2462.753418264257,2637.6890757945716
1,2,0.2,30,25,38838.46153846154,2172.9999999999995,2598.9003910543042,2547.042307539209,2456.9297957536646,2633.046163301726
1,2,0.2,30,25,41427.692307692305,2172.9999999999995,2593.4252196201337,2540.055731470605,2451.232874068657,2628.2204992644915
1,2,0.2,30,25,44016.92307692307,2172.9999999999995,2587.811383866118,2533.2256471702535,2445.6882052309447,2623.155481988426
1,2,0.2,30,25,46606.153846153844,2172.9999999999995,2582.0662937733264,2526.528146998409,2440.2587069396163,2617.9094069232174
1,2,0.2,30,25,49195.38461538461,2172.9999999999995,2576.2595801476255,2519.937912051409,2434.9471908237706,2612.5310308595285
1,2,0.2,30,25,51784.61538461538,2172.9999999999995,2570.420174273519,2513.469762259331,2429.7816865551245,2607.0135232053117
1,2,0.2,30,25,54373.84615384615,2172.9999999999995,2564.6194739778152,2507.1556056030167,2424.782896470776,2601.3385896476666
1,2,0.2,30,25,56963.07692307692,2172.9999999999995,2558.7812316711347,2500.9353100166486,2419.8601133332313,2595.5874000781
1,2,0.2,30,25,59552.30769230769,2172.9999999999995,2552.8311777247304,2494.85780182837,2415.0807152727525,2589.734933765178
1,2,0.2,30,25,62141.538461538454,2172.9999999999995,2546.9168883547436,2488.8896084699268,2410.4122883760824,2583.8242626602137
1,2,0.2,30,25,64730.76923076923,2172.9999999999995,2541.053889624108,2483.033273428396,2405.8274492393252,2577.8654419626137
1,2,0.2,30,25,67320,2172.9999999999995,2535.2122767958313,2477.2683336797436,2401.3213753949603,2571.877564474997
1,2,0.2,30,25,69909.23076923077,2172.9999999999995,2529.382965982243,2471.6290938274783,2396.9457015805447,2565.8601983285816
1,2,0.2,30,25,72498.46153846153,2172.9999999999995,2523.566262290228,2466.078784614393,2392.663035535896,2559.834806521267
1,2,0.2,30,25,75087.6923076923,2172.9999999999995,2517.7657197444,2460.650144589951,2388.4878733388837,2553.808389698163
1,2,0.2,30,25,77676.92307692308,2172.9999999999995,2512.016175019876,2455.3242271027293,2384.382749576503,2547.793388860443
1,2,0.2,30,25,80266.15384615384,2172.9999999999995,2506.3472500645353,2450.097878338426,2380.3641498132065,2541.7976365942827
1,2,0.2,30,25,82855.38461538461,2172.9999999999995,2500.744112113852,2444.969088429097,2376.4372960736227,2535.828578065341
1,2,0.2,30,25,85444.61538461538,2172.9999999999995,2495.1793771079456,2439.9202119335005,2372.580280766959,2529.8878010983058
1,2,0.2,30,25,88033.84615384614,2172.9999999999995,2489.6383812492127,2434.985822340687,2368.827910612047,2523.9950820208305
1,2,0.2,30,25,90623.07692307692,2172.9999999999995,2484.1578990943026,2430.1256685678813,2365.1369286465756,2518.1408014890426
1,2,0.2,30,25,93212.30769230769,2172.9999999999995,2478.817236724389,2425.3749181032604,2361.5170647560717,2512.3455207770003
1,2,0.2,30,25,95801.53846153845,2172.9999999999995,2473.5014762444134,2420.710748569196,2357.9881884356328,2506.6047059073408
1,2,0.2,30,25,98390.76923076922,2172.9999999999995,2468.2345788700427,2416.1177156339213,2354.5134141293324,2500.912614830381
1,2,0.2,30,25,100980,2172.9999999999995,2463.03355101842,2411.6076509062896,2351.1004436801522,2495.280124483592
1,2,0.2,30,25,103569.23076923077,2172.9999999999995,2457.912551622872,2407.181600241025,2347.7505480710015,2489.7112128926315
1,2,0.2,30,25,106158.46153846153,2172.9999999999995,2452.879289036189,2402.8383565643967,2344.4666195271443,2484.2081553920075
1,2,0.2,30,25,108747.6923076923,2172.9999999999995,2447.929739721118,2398.576287265152,2341.2528109427844,2478.772858368334
1,2,0.2,30,25,111336.92307692306,2172.9999999999995,2443.0526775587186,2394.3937929926674,2338.111051295329,2473.4073322400072
1,2,0.2,30,25,113926.15384615384,2172.9999999999995,2438.237023878964,2390.2894556596975,2335.0369028526284,2468.113750495724
1,2,0.2,30,25,116515.38461538461,2172.9999999999995,2433.477112761801,2386.27765675476,2332.029003079394,2462.909435208227
1,2,0.2,30,25,119104.61538461538,2172.9999999999995,2428.773936522879,2382.3292231058444,2329.06122957647,2457.769107009875
1,2,0.2,30,25,121693.84615384614,2172.9999999999995,2424.1541865983836,2378.4526400306304,2326.1417811975716,2452.7023033621613
1,2,0.2,30,25,124283.07692307691,2172.9999999999995,2419.686760323186,2374.665804819571,2323.304272200457,2447.7283800979185
1,2,0.2,30,25,126872.30769230769,2172.9999999999995,2415.2710798532653,2370.946209130014,2320.5325992507105,2442.8266887845725
1,2,0.2,30,25,129461.53846153845,2172.9999999999995,2410.897874423216,2367.296014478016,2317.80568207071,2438.0015497743516
1,2,0.2,30,25,132050.76923076922,2172.9999999999995,2406.5741838402196,2363.7028690411335,2315.110500552436,2433.2404140994404
1,2,0.2,30,25,134640,2172.9999999999995,2402.3371525641883,2360.1879218944287,2312.463744975835,2428.5677367066896
1,2,0.2,30,25,137229.23076923075,2172.9999999999995,2398.176074781596,2356.7279343629884,2309.86843122317,2423.958303991818
1,2,0.2,30,25,139818.46153846153,2172.9999999999995,2394.1225335562285,2353.342721998465,2307.355153484745,2419.436045713726
1,2,0.2,30,25,142407.6923076923,2172.9999999999995,2390.1243233501177,2350.0102594970167,2304.88434125114,2414.9764499099642
1,2,0.2,30,25,144996.92307692306,2172.9999999999995,2386.179475986307,2346.7380127423753,2302.449910853804,2410.5889752081594
1,2,0.2,30,25,147586.15384615384,2172.9999999999995,2382.2857885915905,2343.5390880969608,2300.0427636215454,2406.289943985663
1,2,0.2,30,25,150175.3846153846,2172.9999999999995,2378.460771360574,2340.4006004455127,2297.683881161235,2402.0649260813493
1,2,0.2,30,25,152764.61538461538,2172.9999999999995,2374.7360343721152,2337.3205147969443,2295.398850131337,2397.9126458610754
1,2,0.2,30,25,155353.84615384616,2172.9999999999995,2371.092133455635,2334.297591429782,2293.1623679129016,2393.8317267185666
1,2,0.2,30,25,157943.0769230769,2172.9999999999995,2367.491013922454,2331.3215579327816,2290.947357870241,2389.8092042037597
1,2,0.2,30,25,160532.3076923077,2172.9999999999995,2363.934375608393,2328.4101670253485,2288.7567520143775,2385.8674010733657
1,2,0.2,30,25,163121.53846153844,2172.9999999999995,2360.4394276549924,2325.553605847073,2286.6225993100797,2381.9957116223695
1,2,0.2,30,25,165710.76923076922,2172.9999999999995,2357.0288188508357,2322.750320883784,2284.5522423650027,2378.1933380737664
1,2,0.2,30,25,168300,2172.9999999999995,2353.6906399957816,2319.9992281973855,2282.5124786966985,2374.458405563798
1,2,0.2,30,25,170889.23076923075,2172.9999999999995,2350.3976081467986,2317.2908309907675,2280.489999612337,2370.7782373636437
1,2,0.2,30,25,173478.46153846153,2172.9999999999995,2347.154129960664,2314.6312955193875,2278.493475529008,2367.1608072845183
1,2,0.2,30,25,176067.69230769228,2172.9999999999995,2343.9633092913273,2312.021133952552,2276.537286209223,2363.6072797449606
1,2,0.2,30,25,178656.92307692306,2172.9999999999995,2340.83791450822,2309.4695773221415,2274.6516021995635,2360.130796485835
1,2,0.2,30,25,181246.15384615384,2172.9999999999995,2337.762761303228,2306.9581213125966,2272.8021603763386,2356.707660099174
1,2,0.2,30,25,183835.3846153846,2172.9999999999995,2334.749693041009,2304.492180554728,2270.980429693847,2353.3450986934863
1,2,0.2,30,25,186424.61538461538,2172.9999999999995,2331.817031179114,2302.081124443903,2269.172385167499,2350.0552223147315
1,2,0.2,30,25,189013.84615384613,2172.9999999999995,2328.9270024755206,2299.707656705972,2267.387320813378,2346.8147755865034
1,2,0.2,30,25,191603.0769230769,2172.9999999999995,2326.0829200992307,2297.3855970196646,2265.6569059557537,2343.6418788086344
1,2,0.2,30,25,194192.3076923077,2172.9999999999995,2323.280650909271,2295.1072916355943,2263.9770991370983,2340.527224614179
1,2,0.2,30,25,196781.53846153844,2172.9999999999995,2320.5241895281174,2292.8645419500294,2262.321397980624,2337.4605677467703
1,2,0.2,30,25,199370.76923076922,2172.9999999999995,2317.8425172082502,2290.670392653981,2260.685451853801,2334.459713757994
