% Model,LargeGraphiteBlockDischarge_v3_longblock_sweep_LUDk_Ar.mph
% Version,COMSOL 6.0.0.405
% Date,"Aug 20 2024, 16:05"
% Table,Accumulated Probe Table 24 - 
% run_num,H (m),D_C (m),k_C (W/(m*K)),U_Ar (m/s),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block","Temperature (K), Sn_block","Temperature (K), bottom_right_corner"
1,2,0.2,10,5,0,2172.9999999999995,2673.0300604042504,2672.959596846997,2642.3913746967673,2673.000000007844
1,2,0.2,10,5,12946.153846153844,2172.9999999999995,2672.9877257713333,2659.320387608351,2627.6166729911915,2672.993131452883
1,2,0.2,10,5,25892.307692307688,2172.9999999999995,2672.697574769674,2647.0508870309923,2615.5442354931815,2672.834789580604
1,2,0.2,10,5,38838.46153846153,2172.9999999999995,2672.079603404669,2635.352789615541,2604.019842087493,2672.432173476417
1,2,0.2,10,5,51784.615384615376,2172.9999999999995,2670.846936181318,2624.184638945582,2593.0325521492728,2671.5070822581533
1,2,0.2,10,5,64730.76923076922,2172.9999999999995,2669.108375702172,2613.383026571462,2582.422831948992,2670.1387469785473
1,2,0.2,10,5,77676.92307692306,2172.9999999999995,2666.7815942785255,2602.875866437059,2572.1302253758377,2668.2206089696397
1,2,0.2,10,5,90623.07692307691,2172.9999999999995,2663.752536233827,2592.672982406997,2562.1734619997665,2665.623494319337
1,2,0.2,10,5,103569.23076923075,2172.9999999999995,2659.994123634246,2582.754878364815,2552.5375466371365,2662.29853358558
1,2,0.2,10,5,116515.3846153846,2172.9999999999995,2655.6036283918847,2573.073714745978,2543.1714473868924,2658.3331284498277
1,2,0.2,10,5,129461.53846153844,2172.9999999999995,2650.5696040652824,2563.622881110929,2534.0724204599537,2653.6973968227435
1,2,0.2,10,5,142407.69230769228,2172.9999999999995,2644.8997710037256,2554.4017124041293,2525.2414497461527,2648.38387923154
1,2,0.2,10,5,155353.84615384613,2172.9999999999995,2638.6467341441944,2545.406451919637,2516.6697181537893,2642.436704984394
1,2,0.2,10,5,168299.99999999997,2172.9999999999995,2631.8919551413333,2536.630759679848,2508.3405746699864,2635.935501089659
1,2,0.2,10,5,181246.15384615381,2172.9999999999995,2624.725025312971,2528.067567750711,2500.2369241169085,2628.9728518156476
1,2,0.2,10,5,194192.30769230766,2172.9999999999995,2617.2306903102244,2519.710134390788,2492.3493976445766,2621.638830803015
1,2,0.2,10,5,207138.4615384615,2172.9999999999995,2609.4833527160763,2511.5523602676667,2484.676801356815,2614.0137433032464
1,2,0.2,10,5,220084.61538461535,2172.9999999999995,2601.5460622333617,2503.5887439172698,2477.215934023746,2606.166464115178
1,2,0.2,10,5,233030.7692307692,2172.9999999999995,2593.472531523428,2495.8141937743617,2469.9569359081092,2598.1555694856347
1,2,0.2,10,5,245976.92307692303,2172.9999999999995,2585.3100703252353,2488.22388822704,2462.88870839124,2590.0312426456794
1,2,0.2,10,5,258923.07692307688,2172.9999999999995,2577.1000740584864,2480.8132126631003,2455.9989691471624,2581.8368122864285
1,2,0.2,10,5,271869.23076923075,2172.9999999999995,2568.876910156727,2473.577790767515,2449.280071917366,2573.609667689199
1,2,0.2,10,5,284815.38461538457,2172.9999999999995,2560.667657489178,2466.513396632266,2442.7216618434986,2565.381808342679
1,2,0.2,10,5,297761.5384615384,2172.9999999999995,2552.500300770889,2459.615017037131,2436.316676041396,2557.185858386787
1,2,0.2,10,5,310707.69230769225,2172.9999999999995,2544.3908461837177,2452.879619107614,2430.0711054697017,2549.0369851695687
1,2,0.2,10,5,323653.8461538461,2172.9999999999995,2536.3624645516284,2446.302533591404,2423.999839249888,2540.9577681110936
1,2,0.2,10,5,336599.99999999994,2172.9999999999995,2528.4241845718616,2439.8809132073275,2418.092256431589,2532.9600087675844
1,2,0.2,10,5,349546.15384615376,2172.9999999999995,2520.5864584945757,2433.610326565515,2412.308564619325,2525.059816547976
1,2,0.2,10,5,362492.30769230763,2172.9999999999995,2512.857450631824,2427.487905849671,2406.646108615428,2517.264926942146
1,2,0.2,10,5,375438.4615384615,2172.9999999999995,2505.250237660056,2421.509283676467,2401.1289855380205,2509.586215986762
1,2,0.2,10,5,388384.6153846153,2172.9999999999995,2497.7689958408205,2415.6718020574735,2395.7575895539903,2502.0290792891806
1,2,0.2,10,5,401330.76923076913,2172.9999999999995,2490.418462584519,2409.971378556462,2390.518827204588,2494.6008075057703
1,2,0.2,10,5,414276.923076923,2172.9999999999995,2483.201772690141,2404.4054456472604,2385.4002067166666,2487.3045551305736
