% Model,LargeGraphiteBlockDischarge_v3_finemesh_transient_k_10.mph
% Version,COMSOL 6.0.0.405
% Date,"Aug 9 2022, 18:29"
% Table,Accumulated Probe Table 2 - 
% hours (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_1","Temperature (K), outlet_T_2","Temperature (K), outlet_T_3","Temperature (K), outlet_T_4","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), block_2","Temperature (K), block_3","Temperature (K), block_4","Temperature (K), block_5","Temperature (K), Sn_block_1","Temperature (K), Sn_block_2","Temperature (K), Sn_block_3","Temperature (K), Sn_block_4","Temperature (K), Sn_block_5"
10,0,2181.423877847979,2673.000001344492,2673.0000013459367,2673.0000013455788,2673.0000013469753,2673.0000013590907,2672.3469156456217,2673.0000000221585,2673.0000000221535,2673.000000022146,2673.000000022142,2626.424553287971,2673.000001078118,2673.0000010774324,2673.000001077169,2673.0000010778663
10,100,2177.007926338203,2662.345294378701,2672.933487559284,2672.9996755852426,2673.0000024265582,2673.000004004322,2665.7634906816193,2672.9343656072183,2672.9996499450253,2672.999998529919,2673.000000196554,2527.476306369976,2670.910427120881,2672.9878981310853,2672.9999448100157,2673.0000035089706
10,200,2176.5097474230547,2646.5257200207766,2672.3846621390735,2672.9889920511027,2672.9998221283377,2673.000001867192,2659.0820004499046,2672.6212551692415,2672.992810506655,2672.9998792007837,2672.999998425198,2500.3571349783033,2666.0228899121867,2672.851683649867,2672.9974162036287,2672.999962000768
10,300,2176.26126141734,2635.2706606726465,2671.385927930047,2672.9409165490247,2672.9978607386647,2672.9999260676977,2652.5889683119753,2672.074044979844,2672.965359842039,2672.9987427690858,2672.9999544855596,2486.0461260933916,2661.4271268938132,2672.535989519998,2672.9831362826044,2672.99939068678
10,400,2176.060691640365,2625.407968696902,2670.2782220416825,2672.8791306353887,2672.9951487736157,2672.9998172774463,2646.155579067325,2671.4607856310113,2672.930383674817,2672.997181231196,2672.999891698559,2474.298380434074,2657.06213816158,2672.167786050536,2672.9643279001994,2672.9985913558376
10,500,2175.9064214965256,2617.204255113969,2669.077475510044,2672.7943270561013,2672.990744381998,2672.9996192927574,2639.809675599049,2670.7593135756733,2672.882055583614,2672.9946561983907,2672.999778024643,2465.082444242458,2653.0999860244333,2671.736963445543,2672.937107517295,2672.99724671377
10,600,2175.7865335649535,2610.397648040054,2667.828954496656,2672.684712280399,2672.9840224882146,2672.999277932855,2633.554057120298,2669.972542567526,2672.818128304248,2672.9907831346545,2672.99958206304,2457.793691969408,2649.552392533013,2671.255379245756,2672.900011705187,2672.995115552675
10,700,2175.6871542328754,2604.563631480223,2666.57608138134,2672.5527907968185,2672.9745907140064,2672.9987370547396,2627.3806074855893,2669.11319668302,2672.7383413988496,2672.9852708590042,2672.999269909655,2451.71999756351,2646.348791578543,2670.7418152526743,2672.85311051766,2672.9920099759133
10,800,2175.599192135069,2599.375881974858,2665.3413226647745,2672.4020533736348,2672.9622129955114,2672.997939380491,2621.281700769767,2668.191794480023,2672.642961462973,2672.9778768216383,2672.9988046687367,2446.384171527707,2643.406754265007,2670.2101229405876,2672.7970600435187,2672.9877823756105
10,900,2175.5175488507393,2594.6119876275707,2664.1304310977416,2672.2358453931884,2672.9467904343564,2672.9968307054946,2615.2516150199476,2667.2157130463515,2672.5324281612907,2672.968404438133,2672.9981480824918,2441.5007292932855,2640.652248126542,2669.668199768952,2672.7327467699033,2672.98232919885
