% Model,LargeGraphiteBlockDischarge_v3_finemesh.mph
% Version,COMSOL 5.6.0.401
% Date,"Apr 30 2022, 12:31"
% Table,Accumulated Probe Table 2 - 
% hours (h),Time (s) (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_1","Temperature (K), outlet_T_2","Temperature (K), outlet_T_3","Temperature (K), outlet_T_4","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), block_2","Temperature (K), block_3","Temperature (K), block_4","Temperature (K), block_5","Temperature (K), Sn_block_1","Temperature (K), Sn_block_2","Temperature (K), Sn_block_3","Temperature (K), Sn_block_4","Temperature (K), Sn_block_5"
10,0,2189.738380699755,2673.0000012637115,2673.0000012651158,2673.0000012647556,2673.0000012661467,2673.0000012957184,2672.3260299816543,2673.0000000227537,2673.0000000227456,2673.000000022744,2673.0000000227387,2630.4937996155095,2673.0000009639934,2673.000000963518,2673.000000963287,2673.000000963804
10,100,2183.755003875193,2672.482913628734,2672.9997403131506,2673.0000020271955,2673.00000217636,2673.0000022027193,2665.346576192206,2672.9955012524633,2672.999997893715,2673.000000213351,2673.000000214741,2594.1454666789637,2672.935146480678,2672.9999687823806,2673.0000018769556,2673.000001897317
10,200,2182.4670169646574,2671.464050125042,2672.998272663464,2673.000000890613,2673.000002514781,2673.0000025421637,2658.260392035238,2672.9781395872124,2672.999979511753,2673.000000390557,2673.0000004099106,2581.232593693537,2672.776858631854,2672.999764277315,2673.0000020283214,2673.0000022532013
10,300,2181.7042615034,2670.319510429986,2672.994456802755,2672.999993978869,2673.0000027407773,2673.0000027780075,2651.171486303039,2672.9434283937526,2672.9999065872544,2673.0000004673557,2673.000000605408,2572.298767304234,2672.568695180483,2672.99916953614,2673.0000012021756,2673.0000025005515
10,400,2181.141691485988,2669.107584974631,2672.9880471965275,2672.9999771165235,2673.000002904492,2673.00000297704,2644.092078189804,2672.8916691615273,2672.999748950026,2673.000000318985,2673.0000008006,2564.8904354347974,2672.3267822572857,2672.998101986241,2672.9999987219767,2673.0000027040364
10,500,2180.641686044633,2667.824208244729,2672.978660533886,2672.9999443259085,2673.0000030045667,2673.0000031639906,2637.0282963137793,2672.8216857683587,2672.999465749307,2672.9999997331083,2673.000000994683,2558.0484596367305,2672.0537675350133,2672.9964526955346,2672.999993508117,2673.000002885258
10,600,2180.155191105239,2666.4466638769295,2672.965901779546,2672.99988831063,2673.0000030104397,2673.0000033491733,2629.983725728411,2672.732160085952,2672.9990099871097,2672.999998397669,2673.000001186376,2551.343992549781,2671.747262543096,2672.9941097742126,2672.999984154371,2673.000003048471
10,700,2179.6887034432875,2664.9511027554768,2672.9493106371806,2672.9998003252745,2673.00000286558,2673.0000035347007,2622.960679733993,2672.6215267350663,2672.998328087404,2672.9999958798094,2673.000001373643,2544.6476635032727,2671.4027359101633,2672.9909486718407,2672.999968900453,2673.0000031863647
10,800,2179.2598098521926,2663.3207685916364,2672.9283379963076,2672.999669907309,2673.0000024889832,2673.0000037197096,2615.96107941231,2672.488003105882,2672.997358899397,2672.999991601853,2673.000001553365,2537.949955149567,2671.0156379138316,2672.9868253564186,2672.9999455775255,2673.000003283895
10,900,2178.8731567348655,2661.5466783989923,2672.9023488139364,2672.999484549814,2673.00000177151,2673.0000039037486,2608.9868376598783,2672.3296633637747,2672.996032596642,2672.9999848131033,2673.000001720917,2531.271461547806,2670.5822380399186,2672.981573982308,2672.999911534122,2673.0000033195015
