% Model,LargeGraphiteBlockDischarge_v3_longblock_sweep_LUDk.mph
% Version,COMSOL 6.0.0.405
% Date,"Mar 26 2024, 13:19"
% Table,Accumulated Probe Table 2 - 
% k_C (W/(m*K)),D_C (m),H (m),k_Sn (W/(m*K)),U_Sn (m/s),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block","Temperature (K), Sn_block","Temperature (K), bottom_right_corner"
10,0.2,1,60,0.01,0,2173.0000000000005,2673.0000000119076,2672.985003680786,2668.403032412464,2673
10,0.2,1,60,0.01,227.5308241401687,2173.0000000000005,2672.989728860353,2667.805749899077,2615.276649357182,2672.9999056476136
10,0.2,1,60,0.01,455.0616482803374,2173.0000000000005,2672.9075523281963,2662.5284811521446,2602.9423767434923,2672.996552547577
10,0.2,1,60,0.01,682.592472420506,2173.0000000000005,2672.7474396499156,2657.2524236451504,2594.639427339994,2672.9855086755647
10,0.2,1,60,0.01,910.1232965606748,2173.0000000000005,2672.494899009226,2651.9839375254764,2588.752217551241,2672.9584475368706
10,0.2,1,60,0.01,1137.6541207008436,2173.0000000000005,2672.179056450511,2646.7246956884505,2583.391093605909,2672.9120693894015
10,0.2,1,60,0.01,1365.184944841012,2173.0000000000005,2671.8015827860618,2641.476405067418,2578.174664698711,2672.83985579124
10,0.2,1,60,0.01,1592.7157689811809,2173.0000000000005,2671.351168094383,2636.24175479279,2573.0547122306784,2672.7305442020256
10,0.2,1,60,0.01,1820.2465931213496,2173.0000000000005,2670.84192081402,2631.01797036497,2567.9740643746213,2672.5875364485214
10,0.2,1,60,0.01,2047.7774172615184,2173.0000000000005,2670.2655325278442,2625.8061328486438,2562.917517027086,2672.4048975906967
10,0.2,1,60,0.01,2275.308241401687,2173.0000000000005,2669.614204098625,2620.607146902649,2557.876011805124,2672.1772747397526
10,0.2,1,60,0.01,2502.8390655418557,2173.0000000000005,2668.88314018354,2615.4214492349643,2552.846520744294,2671.9002592969027
10,0.2,1,60,0.01,2730.369889682024,2173.0000000000005,2668.068809955947,2610.249401330863,2547.8344972925597,2671.5696001955826
10,0.2,1,60,0.01,2957.900713822193,2173.0000000000005,2667.1677324304756,2605.091505174845,2542.847632931576,2671.1810910172994
10,0.2,1,60,0.01,3185.4315379623617,2173.0000000000005,2666.17609853888,2599.948432581534,2537.888229766671,2670.730571519126
10,0.2,1,60,0.01,3412.9623621025307,2173.0000000000005,2665.0903518667074,2594.8209327961195,2532.9524501092437,2670.213948502932
10,0.2,1,60,0.01,3640.4931862426993,2173.0000000000005,2663.9079878174566,2589.709725997063,2528.036200426532,2669.6272332852477
10,0.2,1,60,0.01,3868.024010382868,2173.0000000000005,2662.627766028203,2584.6154848886968,2523.1407583864407,2668.9666019586202
10,0.2,1,60,0.01,4095.554834523037,2173.0000000000005,2661.2490153661206,2579.5389277961217,2518.272483757136,2668.2284588236253
10,0.2,1,60,0.01,4323.085658663205,2173.0000000000005,2659.7707634154654,2574.480875492402,2513.436900498076,2667.4094728371406
10,0.2,1,60,0.01,4550.616482803374,2173.0000000000005,2658.191629109069,2569.442216023036,2508.6341153077346,2666.5065779615793
10,0.2,1,60,0.01,4778.147306943542,2173.0000000000005,2656.510411116893,2564.423830558695,2503.8609985002595,2665.516955402723
10,0.2,1,60,0.01,5005.678131083711,2173.0000000000005,2654.726562421114,2559.426563246383,2499.11646125316,2664.4380264282854
10,0.2,1,60,0.01,5233.20895522388,2173.0000000000005,2652.840171245785,2554.4512749119303,2494.402921032957,2663.2674725447705
10,0.2,1,60,0.01,5460.739779364048,2173.0000000000005,2650.8515050824,2549.4988742865926,2489.723720784521,2662.003266494137
10,0.2,1,60,0.01,5688.270603504217,2173.0000000000005,2648.7607697601084,2544.570295271574,2485.0802918552367,2660.64368795625
10,0.2,1,60,0.01,5915.801427644386,2173.0000000000005,2646.568657327881,2539.6664457208544,2480.4722642453344,2659.1873213533345
10,0.2,1,60,0.01,6143.332251784555,2173.0000000000005,2644.2768087194204,2534.78818562359,2475.9003170360847,2657.6330458391412
10,0.2,1,60,0.01,6370.8630759247235,2173.0000000000005,2641.8872492920195,2529.936380365812,2471.366772126841,2655.9800290891735
10,0.2,1,60,0.01,6598.3939000648925,2173.0000000000005,2639.401374831106,2525.1119398174146,2466.8729180614605,2654.22772479487
10,0.2,1,60,0.01,6825.9247242050615,2173.0000000000005,2636.8197096161593,2520.315792016052,2462.4174761357417,2652.375863914653
10,0.2,1,60,0.01,7053.4555483452295,2173.0000000000005,2634.142785130412,2515.548823873441,2457.998595835178,2650.4244348271445
10,0.2,1,60,0.01,7280.9863724853985,2173.0000000000005,2631.3723198835523,2510.8118505701887,2453.6175843846277,2648.3736645016656
10,0.2,1,60,0.01,7508.5171966255675,2173.0000000000005,2628.511542122635,2506.1056634435563,2449.2791746262296,2646.2240172478423
10,0.2,1,60,0.01,7736.048020765736,2173.0000000000005,2625.5642826583867,2501.431083293274,2444.9868365649427,2643.9762153363185
10,0.2,1,60,0.01,7963.578844905905,2173.0000000000005,2622.533612966589,2496.7889519212026,2440.739184026356,2641.631256476695
