Material,cost($/kWh-t),energy density (kWh-t/m3),phase,Melting T,Boiling T
Cement,1.269151527,147.500118,solid,1550,2900
Concrete,0.91841347,235.000188,solid,1200,2900
Sand,0.113142767,147.777896,solid,1700,2900
Iron ore,1.289551207,279.16689,solid,1600,2600
Fire bricks,8.100283316,311.11136,solid,2000,3000
CaO,1.919998464,347.916945,solid,2600,2900
MgO,1.19999904,450.00036,solid,2800,3600
Graphite,3.59999712,437.50035,solid,4000,4000
Salt (NaCl),5.142853029,408.33366,liquid,204,850
Mineral oil,24.81876363,117.0485381,liquid,-4,300
Al,12.20338007,389.2364225,liquid,658,2200
Mg,17.19876058,267.0890137,liquid,657,1110
Si,4.230550617,1275.720465,PCM,1420,2600
Cu,120.4896995,545.8059922,liquid,1083,2500
Fe,4.39024039,794.9450804,liquid,1200,2500
Ni,157.8080929,791.8478557,liquid,1452,2730
Sn,749.9994,233.0001864,liquid,232,2500
Ga,5169.226634,329.3335968,liquid,29.8,2403
Ca,49.37138907,167.4654118,liquid,850,1439
Na,14.85713097,162.2251298,liquid,97.5,880
K,217.3226608,87.6300701,liquid,63,762
