% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"May 31 2024, 18:43"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K)
0,1066.1688666723094,1044.2328093452907
1,1066.1712385575624,1044.2297441670946
2,1066.1736104428146,1044.2266789888993
3,1066.1759823280668,1044.2236138107044
4,1066.1783542133192,1044.2205486325079
5,1066.180726098571,1044.2174834543116
6,1066.1830979838235,1044.2144182761165
7,1066.1858801295207,1044.200333038679
8,1066.1886622752174,1044.1862478012422
9,1066.1914444209149,1044.1721625638047
10,1066.194226566612,1044.1580773263681
11,1066.1970087123088,1044.1439920889306
12,1066.1997908580063,1044.1299068514936
13,1066.1994394613039,1044.1164087218704
14,1066.198192766774,1044.1030783373378
15,1066.1960507744138,1044.0899156978955
16,1066.1930134842266,1044.0769208035413
17,1066.18908089621,1044.0640936542782
18,1066.184253010366,1044.0514342501046
19,1066.1785298266936,1044.038942591021
20,1066.1719113451923,1044.0266186770273
21,1066.164397565862,1044.014462508123
22,1066.1559884887045,1044.0024740843085
23,1066.1466841137185,1043.9906534055838
24,1066.1364844409034,1043.9790004719496
25,1066.093341814937,1043.9642391470124
26,1066.0501991889714,1043.949477822075
27,1066.0070565630049,1043.9347164971375
28,1065.9639139370395,1043.9199551722008
29,1065.9207713110736,1043.9051938472626
30,1065.877628685107,1043.8904325223257
31,1065.8344860591412,1043.8756711973892
32,1065.791343433175,1043.8609098724519
33,1065.7482008072086,1043.8461485475152
34,1065.7050581812437,1043.8313872225776
35,1065.661915555277,1043.8166258976414
36,1065.6187729293113,1043.8018645727032
37,1065.5756303033447,1043.787103247766
38,1065.532487677379,1043.7723419228291
39,1065.4893450514132,1043.7575805978922
40,1065.4462024254474,1043.7428192729546
41,1065.4030597994813,1043.7280579480182
42,1065.359917173515,1043.7132966230804
43,1065.316774547549,1043.6985352981435
44,1065.2736319215826,1043.6837739732066
45,1065.2304892956172,1043.6690126482697
46,1065.1873466696507,1043.654251323332
47,1065.1442040436846,1043.6394899983948
48,1065.1010614177187,1043.6247286734576
49,1065.0441362930558,1043.5981402954749
50,1064.9872111683928,1043.5715519174935
51,1064.9302860437301,1043.5449635395107
52,1064.8733609190676,1043.5183751615286
53,1064.816435794405,1043.4917867835468
54,1064.7595106697424,1043.4651984055638
55,1064.70258554508,1043.4386100275815
56,1064.645660420417,1043.4120216496
57,1064.5887352957538,1043.3854332716176
58,1064.5318101710918,1043.3588448936362
59,1064.4748850464287,1043.3322565156532
60,1064.4179599217657,1043.3056681376706
61,1064.361034797103,1043.2790797596883
62,1064.3041096724405,1043.2524913817074
63,1064.2471845477778,1043.2259030037235
64,1064.190259423115,1043.1993146257416
65,1064.1333342984517,1043.1727262477596
66,1064.076409173789,1043.1461378697768
67,1064.0194840491263,1043.1195494917947
68,1063.9625589244638,1043.092961113813
69,1063.905633799802,1043.0663727358306
70,1063.848708675138,1043.039784357848
71,1063.7917835504754,1043.0131959798662
72,1063.7348584258125,1042.9866076018836
73,1063.6779333011507,1042.960019223902
74,1063.6210081764882,1042.9334308459192
75,1063.5640830518246,1042.906842467937
76,1063.5071579271623,1042.8802540899549
77,1063.4502328024992,1042.853665711973
78,1063.3933076778371,1042.8270773339905
79,1063.3363825531737,1042.8004889560082
80,1063.2794574285113,1042.773900578026
81,1063.2225323038485,1042.7473122000438
82,1063.1656071791854,1042.7207238220612
83,1063.1086820545222,1042.694135444079
84,1063.0517569298602,1042.6675470660969
85,1062.9948318051972,1042.6409586881146
86,1062.9379066805343,1042.6143703101325
87,1062.8809815558718,1042.5877819321504
88,1062.8240564312089,1042.561193554168
89,1062.7671313065464,1042.5346051761856
90,1062.7102061818834,1042.5080167982035
91,1062.653281057221,1042.4814284202212
92,1062.5963559325583,1042.4548400422386
93,1062.5394308078953,1042.428251664257
94,1062.4825056832328,1042.4016632862752
95,1062.4255805585703,1042.3750749082915
96,1062.3686554339079,1042.3484865303096
97,1062.3086330446126,1042.3020250125287
