% Model,tin_tegs_model_4_constin.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 4 2024, 18:19"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 51"
0,793.6520316336743,772.0000000000001,844.8286187688071
1,793.6792941997983,772.0000000000001,843.5739058826097
2,793.706556765922,772.0000000000001,842.3191929964124
3,793.7338193320456,772.0000000000001,841.064480110215
4,793.761081898169,772.0000000000001,839.8097672240177
5,793.7883444642925,772.0000000000001,838.5550543378203
6,793.8186606451385,772.0000000000001,837.4914042162649
7,793.84320150868,772.0000000000001,836.5916593900328
8,793.8658172664533,772.0000000000001,835.7465496622416
9,793.889250880925,769.3117670701905,834.9381458619974
10,793.9151380654902,758.5588353509518,834.2398598443943
11,793.9410252500553,747.8059036317139,833.5415738267913
12,793.968285294514,722.4367750959871,832.8846647119032
13,793.9973365070277,677.9979185147587,832.2817399742131
14,794.0263877195418,633.5590619335309,831.6788152365231
15,794.054954219238,592.0749733981958,831.1206748270512
16,794.0832208433959,552.4189005979911,830.5902409770787
17,794.1100668489345,518.1834167058789,830.0736519561639
18,794.1300279504366,510.2183434200069,829.6241606898101
19,794.1499890519387,502.2532701341345,829.1746694234561
20,794.1597265203142,499.76120247775674,828.7840992605758
21,794.1655723836392,499.35242322615477,828.4159572952848
22,794.1575377015246,499.35753613034865,828.1018507630473
23,794.1368039325155,499.74131228476693,827.8371803760009
24,794.1042377013126,500.0068262597122,827.6039087992486
25,794.0465450631206,500.0212087622641,827.437313056609
26,793.9821168725799,500.0320658201844,827.282204006451
27,793.8673816923579,500.01659177746257,827.212887611487
28,793.7526465121356,500.0011177347413,827.1435712165234
29,793.5979761841284,499.9924977351869,827.1025101491413
30,793.4128543863519,499.9891041013735,827.0829944196734
31,793.1997685789095,499.9905099121596,827.0832640746963
32,792.9587187617999,499.9967151675446,827.1033191142102
33,792.6729693049684,500.0014802912537,827.1291060077282
34,792.3332406687133,500.001345575133,827.1528323809174
35,791.952246318573,500.00105100433166,827.1851742032478
36,791.5299862545479,500.0005965788525,827.226131474719
37,791.0653067134548,500.0000330557386,827.2669887957048
38,790.547174331006,499.9998458213995,827.2244013512262
39,789.9830282295516,499.9997076094837,827.1545634497221
40,789.3728684090928,499.99961841999044,827.0574750911925
41,788.7166948696284,499.9995782529196,826.9331362756371
42,788.0145076111588,499.9995871082717,826.7815470030558
43,787.2663066336846,499.999644986046,826.6027072734495
44,786.4720919372045,499.9997518862435,826.3966170868172
45,785.6318635217198,499.9999078088629,826.1632764431594
46,784.7573827776562,500.00004688829233,825.8911718344583
47,783.8700110250832,500.0000494978238,825.5593921506351
48,782.9452511887888,500.00005282488087,825.1919181679112
49,781.9831032687729,500.00005686946383,824.7887498862866
50,780.9835672650348,500.0000616315724,824.3498873057612
51,779.946643177575,500.0000671112069,823.8753304263349
52,778.8723310063937,500.0000733083668,823.3650792480079
53,777.7606307514908,500.0000802230533,822.8191337707802
54,776.6485842551394,500.00008280302956,822.2364980425242
55,775.5583777514427,500.00007802225616,821.616575537104
56,774.4505277690163,500.00007126598894,820.9604278552634
57,773.3250343078606,500.00006253422896,820.2680549970027
58,772.1818973679748,500.00005182697475,819.5394569623214
59,771.0211169493592,500.00003914422723,818.7746337512202
