% Model,tin_tegs_model_5_insulation.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 5 2024, 16:06"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 51",Temperature (degC)
0,797.7009067156455,771.0824658095463,805.6024144398986,855.2052161524313
100,795.4412414248044,768.8693844672531,804.8624275707333,842.3141364295699
200,791.4579417906451,763.8953408225104,801.8791119486895,836.0934676580181
300,786.847981501825,757.6219491841151,797.9342327951744,830.5758631446926
400,781.4974938114196,750.3836539727344,793.1863517855708,825.5458650481593
500,775.7966868224864,742.88454526597,788.048028723084,820.5341049028665
600,769.4309394417222,735.2440814577368,782.1495034410938,815.3254996952445
700,763.0651920609581,727.6036176495036,776.2509781591033,810.1168944876225
800,756.6968763420861,719.9693657051982,770.3476872439672,804.9045726232074
900,750.125661912708,712.8258510112063,764.0679113103314,799.398634872139
1000,743.5544474833305,705.682336317215,757.7881353766955,793.8926971210709
1100,736.983233053953,698.5388216232242,751.5083594430597,788.3867593700028
1200,730.5989137819345,692.0251272047892,745.2525807365569,782.6453772226845
1300,724.2577241616142,685.6567759268676,739.0023398517003,776.8496617531549
1400,717.916534541294,679.2884246489461,732.7520989668434,771.0539462836249
1500,711.575344920974,672.9200733710247,726.5018580819867,765.2582308140953
1600,705.2341553006544,666.5517220931031,720.25161719713,759.4625153445658
1700,699.1912281584003,660.6816499698003,714.2033682431364,753.6086025019059
1800,693.2171308187766,654.9265653437175,708.2017328116498,747.7412594962159
1900,687.2430334791534,649.1714807176345,702.2000973801631,741.873916490526
2000,681.2689361395301,643.4163960915521,696.1984619486766,736.0065734848362
2100,675.2948387999065,637.6613114654696,690.1968265171897,730.1392304791462
2200,669.6325965731968,632.2927480990224,684.4529623103629,724.3445540775374
2300,664.0423209110049,627.0133819463389,678.7685837707651,718.5666468922551
2400,658.4520452488133,621.7340157936547,673.0842052311674,712.7887397069726
2500,652.8617695866217,616.4546496409705,667.3998266915696,707.0108325216903
2600,647.2714939244298,611.1752834882869,661.7154481519717,701.2329253364079
2700,641.9761282377551,606.2274019194895,656.3024596684231,695.6154207640941
2800,636.7488186992773,601.3560167931279,650.9520996593471,690.0349321793885
2900,631.5215091607987,596.4846316667658,645.6017396502712,684.454443594683
3000,626.2941996223207,591.6132465404036,640.2513796411952,678.8739550099774
3100,621.0668900838422,586.7418614140421,634.9010196321192,673.2934664252718
3200,615.9755244747389,582.0388408321077,629.6745185744952,667.7959995608096
3300,610.9677042250438,577.4392899412484,624.5241359626349,662.3495543159838
3400,606.0174549363412,572.9110398334718,619.4262064385688,656.938267979979
3500,601.1247766086311,568.4540905087779,614.3807300022969,651.562140552795
3600,596.289669241913,564.0684419671663,609.3877066538196,646.2211720344322
3700,591.5120548655622,559.6908457249417,604.4647069851999,640.9533131432642
3800,586.7919635327711,555.345680436696,599.6049585432521,635.7439360589748
3900,582.1294101411539,551.0450308003071,594.8051041677061,630.585789651751
4000,577.5243946907111,546.7888968157748,590.0651438585618,625.4788739215921
4100,572.9769171814414,542.577278483099,585.3850776158195,620.423188868499
4200,568.4757623397887,538.4009894090641,580.7590483240788,615.4365549516417
4300,564.0252530089929,534.2635704201714,576.1893135646271,610.5121034084287
4400,559.6275320576983,530.1667767329886,571.6769924389182,605.6464293372319
4500,555.2825994859062,526.1106083475169,567.222084946952,600.8395327380509
4600,550.9904552936158,522.0950652637556,562.8245910887285,596.0914136108861
4700,546.7455311095167,518.1287939403142,558.4753504737611,591.4049659170701
4800,542.5499732206474,514.2084616644446,554.177893905993,586.7790742008702
4900,538.4048455589965,510.3324163832616,549.9339716337297,582.2131855217835
5000,534.3101481245625,506.5006580967644,545.7435836569719,577.7072998798102
