% Model,tin_tegs_model_5_insulation.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 5 2024, 22:31"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 51"
0,794.3445769174858,796.9654102740187,871.0317073995192
100,792.6544278264156,795.7182029813168,865.855946455268
200,788.3130776721814,792.5376375989485,859.4086850953121
300,782.9747454533262,788.0780946792397,852.5810776411305
400,776.5406309989597,782.0428580822685,845.002237818734
500,769.832570985715,775.6136980659813,837.2355899042838
600,763.1245109724704,769.1845380496944,829.4689419898333
700,756.0770457571317,762.5768813791078,821.5055142512628
800,748.8033104070638,755.8502269389883,813.4108999632789
900,741.5295750569956,749.123572498869,805.316285675295
1000,734.2529884185597,742.5984148322257,797.3417347957187
1100,726.9721248475711,736.3755023257985,789.5472790287539
1200,719.6912612765823,730.1525898193706,781.7528232617889
1300,712.4103977055938,723.9296773129433,773.9583674948241
1400,705.1295341346049,717.7067648065157,766.1639117278593
1500,698.0328841737596,711.735569879168,758.6250266506378
1600,691.2125546281289,706.1419513204398,751.4694976080308
1700,684.392225082498,700.5483327617118,744.3139685654237
1800,677.5718955368671,694.954714202983,737.1584395228167
1900,670.7515659912366,689.361095644255,730.0029104802096
2000,664.1648783638071,683.960286152562,723.1100712729276
2100,657.92865361368,678.848690261422,716.6112668186329
2200,651.6924288635527,673.7370943702824,710.1124623643381
2300,645.4562041134255,668.6254984791424,703.6136579100433
2400,639.2199793632984,663.5139025880025,697.1148534557486
2500,633.2183775708374,658.5675883590728,690.8607353911758
2600,627.5687102148761,653.8691966234582,684.9736469111859
2700,621.9190428589143,649.1708048878432,679.0865584311962
2800,616.2693755029526,644.4724131522287,673.1994699512062
2900,610.6197081469909,639.7740214166138,667.3123814712163
3000,605.1750188706372,635.2111439687891,661.6315508084359
3100,600.0377967136957,630.85153795265,656.2601068714697
3200,594.9005745567539,626.4919319365106,650.8886629345034
3300,589.7633523998126,622.1323259203714,645.5172189975372
3400,584.6261302428712,617.7727199042318,640.1457750605709
3500,579.6730175142775,613.5255572481027,634.9554111543467
3600,574.9960689282063,609.4470596319893,630.0366672942354
3700,570.3191203421352,605.3685620158753,625.1179234341241
3800,565.6421717560643,601.2900643997614,620.1991795740129
3900,560.965223169993,597.2115667836478,615.2804357139017
4000,556.358176446923,593.179939803635,610.4310879789185
4100,551.9012892814112,589.2489978937638,605.7308134016181
4200,547.5091260631226,585.3614547210228,601.0947944957323
4300,543.1816867920576,581.5173102854122,596.5230312612617
4400,538.9189714682157,577.7165645869317,592.0155236982059
4500,534.7165017148283,573.9524915113108,587.5667417270422
4600,530.5691356919016,570.2173684829044,583.1703359972075
4700,526.4823469710416,566.5194163080442,578.8330654947853
4800,522.4561355522488,562.8586349867298,574.5549302197752
4900,518.4905014355228,559.2350245189618,570.3359301721777
5000,514.5825875831138,555.6488322554917,566.1736071231143
