% Model,tin_tegs_model_6_Rcont.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 6 2024, 12:15"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 43"
0,798.0090239272314,771.0928686168492,852.3922622104202
100,823.3667297088248,768.876051284312,840.0564465484719
200,824.5884051769061,763.9660385868508,825.9192389233866
300,819.1470831906215,757.8165176097806,813.0934784289524
400,809.5623853183737,750.4044950720926,801.5121979589832
500,799.2646466830621,742.7984700023559,790.5184723009767
600,788.7564891038945,735.183249264336,780.4694322659428
700,778.2483315247266,727.5680285263157,770.4203922309092
800,767.869366405851,720.0219746379538,760.5397553877875
900,758.197944674835,712.8547241799516,751.5814058411751
1000,748.5265229438187,705.6874737219504,742.6230562945626
1100,738.8662154731743,698.5269762360007,733.6743061952068
1200,730.1827656063695,691.9600128113321,725.5692733322273
1300,721.4993157395645,685.3930493866636,717.4642404692481
1400,712.8158658727596,678.8260859619955,709.3592076062688
1500,705.197835651968,672.769295842176,702.1487737736596
1600,697.7416883429458,666.7900229151405,695.0742678793463
1700,690.2855410339236,660.810749988105,687.999761985033
1800,682.8293937249015,654.8314770610694,680.9252560907197
1900,675.3732464158791,648.8522041340334,673.8507501964062
2000,668.7421835084713,643.3286736157913,667.4857708236054
2100,662.2364862876157,637.8743899041276,661.2285989421624
2200,655.73078906676,632.4201061924639,654.9714270607193
2300,649.2250918459047,626.9658224808002,648.7142551792763
2400,642.7193946250491,621.5115387691359,642.4570832978332
2500,636.8420871061144,616.4126723892198,636.7490899967305
2600,631.0602589178388,611.3678091364026,631.1245404616589
2700,625.2784307295635,606.3229458835852,625.4999909265872
2800,619.4966025412881,601.2780826307675,619.8754413915156
2900,613.7147743530127,596.2332193779504,614.2508918564439
3000,608.1861979985761,591.3953546868228,608.8596978899678
3100,602.788973695312,586.6648522416297,603.5895365419847
3200,597.4911790921831,582.0156199085036,598.4109933823424
3300,592.2928141891892,577.4476576874438,593.3240684110413
3400,587.1938789863308,572.9609655784519,588.3287616280811
3500,582.1604527915997,568.4804684520628,583.3935863812244
3600,577.2088629299395,564.0423028362007,578.5336983990854
3700,572.3433850988697,559.6559319383002,573.7530665688798
3800,567.5640192983902,555.3213557583621,569.0516908906075
3900,562.8707655285009,551.0385742963856,564.4295713642687
4000,558.2509849983863,546.7839391307552,559.8684060970678
4100,553.7107612409086,542.5688331502395,555.3770044891991
4200,549.251687373523,538.3962372344045,550.9576734911693
4300,544.8737633962301,534.2661513832509,546.6104131029786
4400,540.5769893090293,530.1785755967771,542.3352233246267
4500,536.3268165385093,526.1310254717869,538.1004917800489
4600,532.1398746329202,522.1246968464507,533.9214347135401
4700,528.0205184341268,518.159902879374,529.8020368597836
4800,523.968747942129,514.2366435705561,525.7422982187795
4900,519.9845631569267,510.35491891999766,521.7422187905277
5000,516.0390896659023,506.5150627637258,517.7804590236756
