% Model,tin_tegs_model_6_Rcont_2.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 6 2024, 14:48"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 43"
0,797.3292873048345,708.6033579010897,862.5443332520432
100,791.2178800376482,712.9428147544958,852.8660054374878
200,782.4124526000159,714.5555814672449,842.9468372641417
300,773.3337742499,714.8029048395263,834.0002140396897
400,764.2804854359861,713.4327961573296,825.6590595595054
500,755.8171757610119,710.2512043781545,817.6937876195663
600,747.480571537295,706.6805737870969,809.8092411896297
700,739.3092846903568,702.8493409723441,802.0012697334663
800,731.7005369968168,698.1313353503525,794.4538662935473
900,724.0917893032765,693.4133297283606,786.9064628536281
1000,717.0785626546588,688.3693505267581,779.7371377068852
1100,710.4135106053557,683.1347891090674,772.7888580787827
1200,703.7484585560529,677.9002276913768,765.8405784506803
1300,697.0834065067502,672.665666273686,758.8922988225778
1400,690.4183544574475,667.4311048559954,751.9440191944753
1500,684.2398347369466,662.2555070828355,745.4090090301634
1600,678.3457687735025,657.1143827233087,739.1156190926947
1700,672.4517028100586,651.9732583637818,732.8222291552263
1800,666.5576368466146,646.8321340042548,726.5288392177576
1900,660.6635708831706,641.6910096447278,720.2354492802892
2000,655.1560294758617,636.7420283581552,714.3075003514725
2100,649.8744717405075,631.9053845582375,708.5932084845609
2200,644.5929140051534,627.0687407583198,702.8789166176493
2300,639.3113562697993,622.2320969584025,697.1646247507377
2400,634.0297985344451,617.3954531584849,691.4503328838261
2500,628.8996508566777,612.6644626152045,685.8906517954621
2600,623.9275231723024,608.0437377120123,680.4923311516673
2700,619.0406132289731,603.4824773649291,675.1810297026288
2800,614.2389210266899,598.9806815739541,669.9567474483467
2900,609.522446565453,594.5383503390879,664.819484388821
3000,604.882224406117,590.1693722367581,659.7636465729062
3100,600.3178631547537,585.8743535846695,654.7889897918715
3200,595.8336736489217,581.6466163611508,649.8982037761709
3300,591.4296558886215,577.4861605662021,645.0912885258043
3400,587.1058098738529,573.3929861998231,640.3682440407716
3500,582.8587529946352,569.3607101716627,635.7199324080373
3600,578.6883375802319,565.3890538224417,631.1459547041774
3700,574.5961900855117,561.4810863231384,626.6507046970918
3800,570.5823105104744,557.6368076737523,622.2341823867806
3900,566.6466988551201,553.8562178742839,617.896387773244
4000,562.7726481804984,550.1094734040073,613.6094915641565
4100,558.9594291308737,546.3952714184525,609.3722788479155
4200,555.2150748765964,542.7279615292728,605.1981307379998
4300,551.5395854176666,539.1075437364686,601.0870472344097
4400,547.9329607540843,535.5340180400394,597.0390283371449
4500,544.3766939457656,531.994756623871,593.0367573670693
4600,540.8699770563826,528.4892082098304,589.0794783497164
4700,537.4217087479109,525.0234446102526,585.1755176358217
4800,534.0318890203504,521.5974658251378,581.3248752253847
4900,530.7005178737011,518.211271854486,577.5275511184058
5000,527.4009878363372,514.8536550314304,573.7634899989013
