% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 1 2024, 11:32"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K),"Temperature (K), Point: 51"
0,1066.1773866530389,1044.2325214684884,1096.9535335829091
1,1066.1712712474102,1044.241326345014,1095.6226740744457
2,1066.159915866287,1044.2456275463337,1094.6064003449394
3,1066.1541798316894,1044.2409332265167,1093.8215873236509
4,1066.1497405693653,1044.234163017205,1093.0901883119514
5,1066.1469410292164,1044.2248532468334,1092.4326563276059
6,1066.1477488778498,1044.2099564421308,1091.9376318034397
7,1066.1485567264838,1044.1950596374284,1091.4426072792735
8,1066.1493645751175,1044.1801628327255,1090.9475827551075
9,1066.1501724237512,1044.1652660280229,1090.4525582309416
10,1066.1489307980876,1044.151454965751,1089.9984753868616
11,1066.14318032897,1044.1400325368277,1089.634464238971
12,1066.137429859852,1044.1286101079043,1089.2704530910805
13,1066.131679390734,1044.1171876789804,1088.9064419431902
14,1066.125928921616,1044.1057652500558,1088.5424307952997
15,1066.1201784524983,1044.0943428211324,1088.1784196474093
16,1066.1144279833804,1044.0829203922083,1087.8144084995188
17,1066.1086775142621,1044.0714979632846,1087.4503973516282
18,1066.1029270451443,1044.0600755343614,1087.0863862037377
19,1066.0971765760269,1044.048653105437,1086.7223750558474
20,1066.0845436755417,1044.0368058587187,1086.4042221305024
21,1066.0567694260485,1044.024024012853,1086.186957294758
22,1066.0289951765546,1044.011242166987,1085.9696924590137
23,1066.0012209270621,1043.9984603211203,1085.7524276232696
24,1065.9734466775685,1043.985678475254,1085.5351627875252
25,1065.945672428076,1043.9728966293878,1085.3178979517809
26,1065.9178981785822,1043.9601147835217,1085.1006331160365
27,1065.8901239290888,1043.9473329376551,1084.8833682802924
28,1065.862349679596,1043.9345510917888,1084.666103444548
29,1065.8345754301029,1043.9217692459217,1084.4488386088037
30,1065.8068011806097,1043.9089874000558,1084.2315737730594
31,1065.7790269311158,1043.89620555419,1084.014308937315
32,1065.751252681623,1043.883423708323,1083.7970441015707
33,1065.7234784321302,1043.870641862458,1083.5797792658263
34,1065.695704182637,1043.8578600165918,1083.362514430082
35,1065.6679299331436,1043.8450781707247,1083.1452495943379
36,1065.6401556836506,1043.8322963248593,1082.9279847585935
37,1065.6123814341574,1043.819514478992,1082.7107199228492
38,1065.584607184664,1043.8067326331263,1082.4934550871048
39,1065.556832935171,1043.79395078726,1082.2761902513607
40,1065.5243626283655,1043.7779104835465,1082.081192567105
41,1065.4815609954721,1043.7547015725715,1081.9351826161253
42,1065.4387593625795,1043.731492661597,1081.789172665145
43,1065.3959577296864,1043.708283750621,1081.6431627141653
44,1065.353156096793,1043.6850748396462,1081.4971527631853
45,1065.3103544639005,1043.6618659286712,1081.3511428122054
46,1065.2675528310076,1043.6386570176962,1081.2051328612254
47,1065.2247511981147,1043.6154481067206,1081.0591229102454
48,1065.1819495652212,1043.5922391957454,1080.9131129592654
49,1065.139147932329,1043.5690302847706,1080.7671030082854
50,1065.0963462994353,1043.5458213737952,1080.6210930573056
51,1065.0535446665422,1043.5226124628202,1080.4750831063254
52,1065.0107430336495,1043.4994035518448,1080.3290731553454
53,1064.9679414007567,1043.4761946408698,1080.1830632043657
