% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 1 2024, 12:17"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K),Temperature (K)
0,1066.169848514648,1044.262846196926,1089.089157350362
1,1066.183941402927,1044.255769640607,1088.8324629167696
2,1066.1980342912066,1044.2486930842879,1088.575768483176
3,1066.2121271794858,1044.2416165279687,1088.3190740495834
4,1066.226220067764,1044.2345399716503,1088.06237961599
5,1066.2403129560435,1044.227463415332,1087.8056851823967
6,1066.2430214738451,1044.2116864010418,1087.6002915452787
7,1066.2457299916462,1044.1959093867515,1087.394897908161
8,1066.2484385094479,1044.1801323724615,1087.1895042710448
9,1066.2511470272493,1044.1643553581705,1086.984110633926
10,1066.253855545051,1044.148578343881,1086.7787169968096
11,1066.2586139139507,1044.1349281395242,1086.5860251203078
12,1066.2640555665503,1044.1219868718126,1086.3975671640112
13,1066.2701805028487,1044.1097545407451,1086.2133431279192
14,1066.2769887228471,1044.0982311463226,1086.033353012034
15,1066.2844802265452,1044.0874166885453,1085.857596816352
16,1066.2926550139416,1044.0773111674112,1085.686074540876
17,1066.3015130850386,1044.0679145829215,1085.5187861856052
18,1066.3110544398337,1044.0592269350782,1085.3557317505388
19,1066.3212790783296,1044.0512482238778,1085.1969112356776
20,1066.3321870005245,1044.0439784493228,1085.0423246410217
21,1066.305064296379,1044.0306369402747,1084.9233665224258
22,1066.277941592233,1044.0172954312275,1084.804408403829
23,1066.2508188880881,1044.0039539221793,1084.6854502852327
24,1066.223696183942,1043.9906124131303,1084.5664921666357
25,1066.1965734797973,1043.9772709040826,1084.4475340480387
26,1066.1694507756513,1043.963929395035,1084.3285759294426
27,1066.142328071506,1043.9505878859857,1084.2096178108457
28,1066.1152053673604,1043.9372463769387,1084.0906596922493
29,1066.0880826632147,1043.9239048678903,1083.9717015736526
30,1066.0609599590694,1043.9105633588426,1083.8527434550565
31,1066.0338372549238,1043.8972218497952,1083.7337853364602
32,1066.0067145507783,1043.8838803407464,1083.6148272178634
33,1065.9795918466332,1043.870538831698,1083.4958690992667
34,1065.9524691424872,1043.85719732265,1083.3769109806706
35,1065.9253464383419,1043.843855813602,1083.2579528620724
36,1065.8982237341963,1043.8305143045538,1083.1389947434775
37,1065.8711010300506,1043.8171727955062,1083.02003662488
38,1065.843978325905,1043.8038312864576,1082.901078506284
39,1065.8168556217597,1043.7904897774094,1082.782120387687
40,1065.7897329176144,1043.7771482683615,1082.663162269091
41,1065.7472731647174,1043.7534368086624,1082.5697678693753
42,1065.704813411822,1043.7297253489628,1082.4763734696592
43,1065.6623536589257,1043.7060138892637,1082.3829790699444
44,1065.6198939060293,1043.6823024295643,1082.2895846702288
45,1065.5774341531335,1043.658590969865,1082.1961902705123
46,1065.5349744002374,1043.6348795101658,1082.1027958707953
47,1065.4925146473417,1043.6111680504666,1082.0094014710794
48,1065.4500548944457,1043.587456590768,1081.9160070713644
49,1065.4075951415496,1043.563745131068,1081.8226126716488
50,1065.365135388654,1043.5400336713687,1081.7292182719316
51,1065.3226756357574,1043.5163222116696,1081.635823872217
52,1065.2802158828613,1043.4926107519705,1081.5424294725005
53,1065.2377561299652,1043.468899292271,1081.4490350727847
54,1065.195296377069,1043.4451878325724,1081.3556406730684
55,1065.1528366241728,1043.4214763728735,1081.2622462733532
