% Model,tin_tegs_model_3_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 3 2024, 14:57"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 43"
0,793.6483318576923,771.0900324518517,856.4074059854762
1,793.650250546059,771.0926942594964,855.5144789928719
2,793.6561527244268,771.090867327863,854.7008606940198
3,793.663382732795,771.0875441498027,853.9136786264186
4,793.6716881218756,771.0821117033937,853.1590657666862
5,793.6832196530942,771.0703514519328,852.5021605305611
6,793.6947511843125,771.0585912004722,851.845255294436
7,793.7062827155308,771.0468309490105,851.1883500583111
8,793.7178142467491,771.0350706975498,850.5314448221858
9,793.7258513776931,771.0234473012026,849.9059459499684
10,793.7234053078137,771.0122344701938,849.3746661694735
11,793.7209592379342,771.0010216391851,848.8433863889785
12,793.7185131680546,770.9898088081768,848.3121066084838
13,793.7160670981752,770.9785959771681,847.7808268279888
14,793.7136210282955,770.9673831461597,847.2495470474938
15,793.7111749584163,770.9561703151508,846.7182672669989
16,793.7087288885366,770.9449574841431,846.1869874865041
17,793.7062828186573,770.9337446531338,845.6557077060091
18,793.7038367487777,770.922531822126,845.1244279255142
19,793.6922729832855,770.9108691400606,844.6374363485307
20,793.6533561309546,770.8978569048246,844.2833093820817
21,793.6144392786235,770.8848446695891,843.9291824156327
22,793.5755224262928,770.8718324343538,843.5750554491837
23,793.536605573962,770.8588201991181,843.2209284827346
24,793.497688721631,770.8458079638813,842.8668015162856
25,793.4587718692999,770.8327957286461,842.5126745498366
26,793.4198550169692,770.8197834934102,842.1585475833875
27,793.3809381646386,770.8067712581746,841.8044206169383
28,793.3420213123075,770.7937590229393,841.4502936504892
29,793.3031044599765,770.7807467877036,841.0961666840402
30,793.2641876076458,770.7677345524676,840.7420397175912
31,793.2252707553147,770.7547223172318,840.3879127511422
32,793.1863539029838,770.7417100819956,840.0337857846931
33,793.1474370506533,770.72869784676,839.6796588182441
34,793.108520198322,770.7156856115241,839.3255318517951
35,793.069603345991,770.7026733762892,838.971404885346
36,793.0306864936604,770.6896611410531,838.617277918897
37,792.9917696413295,770.6766489058175,838.2631509524477
38,792.9528527889986,770.6636366705814,837.9090239859987
39,792.9073035781984,770.6480368924316,837.5818062661925
40,792.8418572919906,770.6246744855393,837.3353162863142
41,792.776411005783,770.6013120786465,837.0888263064363
42,792.7109647195749,770.5779496717545,836.842336326558
43,792.6455184333671,770.5545872648622,836.5958463466799
44,792.5800721471592,770.5312248579706,836.3493563668018
45,792.5146258609512,770.5078624510778,836.1028663869234
46,792.4491795747435,770.484500044185,835.8563764070456
47,792.3837332885357,770.4611376372935,835.6098864271672
48,792.3182870023284,770.4377752304011,835.3633964472891
